"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study"
"1","Review of climate change adaptation and mitigation implementation in Canada's forest ecosystems part II: successes and barriers to effective implementation","Antwi, E. K.; Burkhardt, H.; Boakye-Danquah, J.; Doucet, T.; Abolina, E.","With its northern location, the exposure and vulnerability of Canada's forest ecosystems to climate change impacts are all too glaring. While there is now an extensive body of literature describing expected climate change impacts and potential responses, studies characterizing the implementation of adaptation and mitigation practices in forest management remain rare in the Canadian forest sector. Using a systematic literature review, we examined reports on forest management practices implemented in response to climate change, specifically focusing on governance and institutional arrangements that either support or limit climate change adaptation and mitigation responses. Our literature sample size of 24 documents suggests that the body of literature reporting on adaptation and mitigation practices in forest management is scarce. Governments remain the dominant actors providing funding and leading the implementation and reporting of climate change adaptation practices, primarily in response to national or international climate change commitments. Forest practices such as enhanced silviculture, assisted migration, and nature -based solutions were the most frequently reported. However, given the scarcity of literature, it is difficult to conclude the scope of climate change adaptation practice uptake in Canada. Barriers such as lack of information/data, inter -jurisdictional knowledge transfer, policy conflicts, forest tenure models, technical capacity gaps, and economic barriers to adaptation need to be overcome to strengthen climate change response in forest management. Better coordination of reporting at the provincial and national levels and improved information flows between private sector organizations and governments are needed.",2024,"MAR","Environmental Reviews","32","1","42-67","WOS:001161460100001","10.1139/er-2022-0131","","#514","Antwi 2024","Tyler McIntosh (2024-10-23 07:47:18)(Select): on transboundary information flow: """"Our results suggest that the majority (54%) of all practices
were informed by other studies, particularly from the United
States""""; ","Biotic; Intervention; Sociocultural; Transboundary unclear",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"2","A critical review of successional dynamics in boreal forests of North America","Anyomi, K. A.; Neary, B.; Chen, J. X.; Mayor, S. J.","Forest succession is a dynamic process of progressive compositional development of ecological communities of species following natural or anthropogenic disturbance. Despite a rich history of conceptual frameworks, models, and empirical advances, the complex interactions among climatic conditions, disturbances, edaphic factors, and silvicultural treatments still challenge our ability to accurately predict forest succession, hindering application to forest management. Our goal was to improve understanding of forest succession in the managed boreal forests of North America by clarifying advances in knowledge and limitations in our understanding. We reviewed 152 peer-reviewed papers to: (i) document conceptual developments in forest succession; (ii) summarize drivers of North American boreal forest succession, including changes to forest composition and successional trajectories given climate change; and (iii) discuss the implications of the synthesized information for boreal forest management. While the element of stochasticity is expected to increase under climate change, successional dynamics are anticipated to remain predominantly deterministic. Southern boreal forests are at increased risk of mortality due to warming-driven drought and increased fires. Following disturbance, regeneration is likely to favor deciduous hardwoods. In boreal mixedwoods, increased fires would promote jack pine, and also black spruce on hydric and xeric sites. Dynamics of the northern boreal will depend on the balance between precipitation and evapotranspiration. Forest management must carefully select prescriptions to promote forest regeneration and composition that consider the long-term effects of changing climate and disturbance regimes. For instance, combining retention cut with mechanical site preparation would maintain site productivity and reverse open black spruce stand development in northern boreal stands. Our work shows that multiple disturbances have compounding effects on forest development, but further work is needed to better define thresholds for synergistic and buffering interactions. Modeling of boreal forest succession can be improved by incorporating more of the influential factors, but this is often limited by the lack of data. This information will guide the development of forest management strategies by exploring combinations of prescribed fire and variable intensity selection cutting systems to reproduce the effects of multiple interacting natural disturbances under climate change on successional dynamics.",2022,"2022 AUG 19","Environmental Reviews","","","","WOS:000844986800001","10.1139/er-2021-0106","","#520","Anyomi 2022","","Biotic; Intervention; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"3","Biases and information gaps in the study of habitat connectivity in the Carnivora in the AmericasPalabras clave","Balbuena-Serrano, A.; Zarco-González, M. M.; Monroy-Vilchis, O.","Habitat connectivity is essential to mitigate the effects of fragmentation by maintaining ecological processes, exchange of individuals, and gene flow among isolated populations. In the last two decades, the importance of habitat connectivity has been highlighted and the number of studies that address this issue has increased. We review and describe the habitat-connectivity studies for the Carnivora in the Americas to identify taxonomic, geographic, and methodological biases, and we examine the number of publications on habitat connectivity and their relationship with country-level parameters. We reviewed habitat-connectivity studies published between 2000 and 2020. We quantified studies by region, country, family, and species. We identified information gaps and analysed each country based on the proportion of land modified by humans, species richness, percentage of carnivoran species that are at risk of extinction, and the percentage of territory that is within Protected Areas. G-tests were performed to verify if the number of published connectivity studies differed based on these variables. There is an increasing trend in the number of studies; however, this increasing is not proportional among countries, among families, or among carnivoran species. We identified that there is a regional bias, since more than 75% of the studies were carried out in North America, in addition, taxonomic bias indicates that the studies focused on large carnivorans. Regarding the methodological bias, the least-cost path was the most used approach. There are fewer studies on habitat connectivity in countries with higher fragmentation rates, higher percentages of species that are at risk of extinction and less percentage of land in Protected Areas. The capability of countries to invest in research, the study focused on large charismatic species and the difficulty to obtaining dispersion data are factors that have influenced in the study of habitat connectivity.",2023,"APR","Mammal Review","53","2","99-115","WOS:000941062600001","10.1111/mam.12312","","#789","Balbuena-Serrano 2023","Anna LoPresti (2024-08-17 03:58:04)(Select): most relevant for interventions section but including because the paper mentions transboundary grizzly corridors between US and Canada. A few other transboundary species are mentioned (e.g., jaguar) but the transboundary connection is not discussed ; ","Biophysical; Biotic; Intervention",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Review of Conservation Challenges and Possible Solutions for Grassland Birds of the North American Great Plains","Bernath-Plaisted, J. S.; Correll, M. D.; Somershoe, S. G.; Dwyer, A. M.; Bankert, A.; Beh, A.; Berlanga, H.; Boyle, W. A.; Cruz-Romo, J. L.; George, T. L.; Herkert, J.; Koper, N.; Macías-Duarte, A.; Panjabi, A. O.; Ramírez-Flores, O. M.; Robinson, B.; Ruvalcaba-Ortega, I.; Sibbing, J.; Strasser, E. H.; Titulaer, M.; Van Pelt, W. E.; VerCauteren, T.","North America's grassland birds remain in crisis despite decades of conservation effort s. This review provides an overview of factors contributing to these declines, as well as strategies and resources available to a diversity of stakeholders to help conserve grassland bird communities with an emphasis on the Great Plains-a grassland region of global ecological significance and a habitat stronghold for grassland birds. Grassland bird declines are driven by historical and continuing threats across the full annual cycle including grassland habitat loss, agriculture intensification, woody encroachment, and disruption of fire and grazing regimes. More recently, energy development activities, the use of neonicotinoid pesticides, and anthropogenic climate change have emerged as additional threats. While threats to grassland birds are numerous and often synergistic, possibilities for conservation are also diverse and multifaceted. Land set-aside programs, incentives and voluntary practices for producers, improved environmental management by energy and utility companies, and policy and regulation can all contribute to the conservation of these unique species. We suggest that future grassland bird research should focus on poorly studied aspects of the annual cycle, such as overwinter survival and habitat use, and the migratory period, which remains completely unexplored for many species. Filling these knowledge gaps may facilitate more sophisticated population modeling that can identify limiting factors and more effectively guide investment in conservation. (c) 2023 The Authors. Published by Elsevier Inc. on behalf of The Society for Range Management. This is an open access article under the CC BY license ( http://creativecommons.org/licenses/by/4.0/ )",2023,"SEP","Rangeland Ecology & Management","90","","165-185","WOS:001078157700001","10.1016/j.rama.2023.07.002","","#1112","Bernath-Plaisted 2023","Anabel Kinsey (2024-09-04 04:19:47)(Select): Transboundary isn't SUPER clear, but the Great Plains area covers multiple countries and the discussion of drier conditions in the Southern Great Plains shows that a flow might be relevant here. Also, there are intervention strategies for that section; ","Biotic; Intervention; Potentially relevant; Transboundary unclear; save for other sections",FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"5","Rewilding in the face of climate change","Carroll, C.; Noss, R. F.","Expansion of the global protected-area network has been proposed as a strategy to address threats from accelerating climate change and species extinction. A key step in increasing the effectiveness of such expansion is understanding how novel threats to biodiversity from climate change alter concepts such as rewilding, which have underpinned many proposals for large interconnected reserves. We reviewed potential challenges that climate change poses to rewilding and found that the conservation value of large protected areas persists under climate change. Nevertheless, more attention should be given to protection of microrefugia, macrorefugia, complete environmental gradients, and areas that connect current and future suitable climates and to maintaining ecosystem processes and stabilizing feedbacks via conservation strategies that are resilient to uncertainty regarding climate trends. Because a major element of the threat from climate change stems from its novel geographic patterns, we examined, as an example, the implications for climate-adaptation planning of latitudinal, longitudinal (continental to maritime), and elevational gradients in climate-change exposure across the Yellowstone-to-Yukon region, the locus of an iconic conservation proposal initially designed to conserve wide-ranging carnivore species. In addition to a continued emphasis on conserving intact landscapes, restoration of degraded low-elevation areas within the region is needed to capture sites important for landscape-level climate resilience. Extreme climate exposure projected for boreal North America suggests the need for ambitious goals for expansion of the protected-area network there to include refugia created by topography and ecological features, such as peatlands, whose conservation can also reduce emissions from carbon stored in soil. Qualitative understanding of underlying reserve design rules and the geography of climate-change exposure can strengthen the outcomes of inclusive regional planning processes that identify specific sites for protection.",2021,"FEB","Conservation Biology","35","1","155-167","WOS:000536718800001","10.1111/cobi.13531","","#1882","Carroll 2021","","Biotic; Intervention; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"6","Arctic and boreal ecosystems of western North America as components of the climate system","Chapin, F. S.; McGuire, A. D.; Randerson, J.; Pielke, R.; Baldocchi, D.; Hobbie, S. E.; Roulet, N.; Eugster, W.; Kasischke, E.; Rastetter, E. B.; Zimov, S. A.; Running, S. W.","Synthesis of results from several Arctic and boreal research programmes provides evidence for the strong role of high-latitude ecosystems in the climate system. Average surface air temperature has increased 0.3 degreesC per decade during the twentieth century in the western North American Arctic and boreal forest zones. Precipitation has also increased, but changes in soil moisture are uncertain. Disturbance rates have increased in the boreal forest; for example, there has been a doubling of the area burned in North America in the past 20 years. The disturbance regime in tundra may not have changed. Tundra has a 3-6-fold higher winter albedo than boreal forest, but summer albedo and energy partitioning differ more strongly among ecosystems within either tundra or boreal forest than between these two biomes. This indicates a need to improve our understanding of vegetation dynamics within, as well as between, biomes. If regional surface warming were to continue, changes in albedo and energy absorption would likely act as a positive feedback to regional warming due to earlier melting of snow and, over the long term, the northward movement of treeline. Surface drying and a change in dominance from mosses to vascular plants would also enhance sensible heat flux and regional warming in tundra. In the boreal forest of western North America, deciduous forests have twice the albedo of conifer forests in both winter and summer, 50-80% higher evapotranspiration, and therefore only 30-50% of the sensible heat flux of conifers in summer. Therefore, a warming-induced increase in fire frequency that increased the proportion of deciduous forests in the landscape, would act as a negative feedback to regional warming. Changes in thermokarst and the aerial extent of wetlands, lakes, and ponds would alter high-latitude methane flux. There is currently a wide discrepancy among estimates of the size and direction of CO2 flux between high-latitude ecosystems and the atmosphere. These discrepancies relate more strongly to the approach and assumptions for extrapolation than to inconsistencies in the underlying data. Inverse modelling from atmospheric CO2 concentrations suggests that high latitudes are neutral or net sinks for atmospheric CO2, whereas field measurements suggest that high latitudes are neutral or a net CO2 source. Both approaches rely on assumptions that are difficult to verify. The most parsimonious explanation of the available data is that drying in tundra and disturbance in boreal forest enhance CO2 efflux. Nevertheless, many areas of both tundra and boreal forests remain net sinks due to regional variation in climate and local variation in topographically determined soil moisture. Improved understanding of the role of high-latitude ecosystems in the climate system requires a concerted research effort that focuses on geographical variation in the processes controlling land-atmosphere exchange, species composition, and ecosystem structure. Future studies must be conducted over a long enough time-period to detect and quantify ecosystem feedbacks.",2000,"DEC","Global Change Biology","6","","211-223","WOS:000166799900015","10.1046/j.1365-2486.2000.06022.x","","#2042","Chapin 2000","","Biophysical; Intervention; Perspective paper",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"7","Water law and climate change in the United States: A review of the legal scholarship","Craig, R. K.","Climate change's effects on water resources have been some of the first realities of ecological change in the Anthropocene, forcing climate change adaptation efforts even as the international community seeks to mitigate climate change. Water law has thus become one vehicle of climate change adaptation. Legal research into the intersections between climate change and water law in the United States must contend with the facts that: (a) climate change affects different parts of this large country differently; and (b) U.S. water law is itself a complicated subject, with each state having its own laws for surface water and groundwater and the federal government playing a significant role in interstate and international waters, in building and managing large water infrastructure, and in creating water rights for Native American tribes and other federal reservations. Within this complexity, legal research to date has tended to focus on the law governing surface water in the American West, enumerating various problems with the prior appropriation doctrine as the West grows hotter and drier and offering multiple suggestions to increase legal flexibility so that western water can be re-allocated to reflect changing social-ecological realities. These suggestions extend to new, more comprehensive, and more adaptive water governance approaches. Far less legal scholarship has focused on eastern riparian rights, the various groundwater doctrines at play in the United States, or the increasing role of tribes in managing water resources, but these areas warrant future attention. This article is categorized under: Engineering Water > Planning Water Human Water > Water Governance Science of Water > Water and Environmental Change",2020,"MAY","WILEY INTERDISCIPLINARY REVIEWS-WATER","7","3","","WOS:000530332500005","10.1002/wat2.1423","","#2535","Craig 2020","Tyler McIntosh (2024-08-31 00:41:03)(Select): c1: not a systematic review, but an overview of topic so yes
c2: yes - focused on how climate change is impacting water law and governance
c3: yes - discussion of endangered species, aquatic species, etc
c4: yes
c5: yes - clear discussions of US-sovereign state relationships & transboundary flow of governance impacts; ","Intervention; Sociocultural; Transboundary unclear",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"8","Invasive hematophagous arthropods and associated diseases in a changing world","Cuthbert, R. N.; Darriet, F.; Chabrerie, O.; Lenoir, J.; Courchamp, F.; Claeys, C.; Robert, V.; Jourdain, F.; Ulmer, R.; Diagne, C.; Ayala, D.; Simard, F.; Morand, S.; Renault, D.","Biological invasions have increased significantly with the tremendous growth of international trade and transport. Hematophagous arthropods can be vectors of infectious and potentially lethal pathogens and parasites, thus constituting a growing threat to humans-especially when associated with biological invasions. Today, several major vector-borne diseases, currently described as emerging or re-emerging, are expanding in a world dominated by climate change, land-use change and intensive transportation of humans and goods. In this review, we retrace the historical trajectory of these invasions to better understand their ecological, physiological and genetic drivers and their impacts on ecosystems and human health. We also discuss arthropod management strategies to mitigate future risks by harnessing ecology, public health, economics and social-ethnological considerations. Trade and transport of goods and materials, including vertebrate introductions and worn tires, have historically been important introduction pathways for the most prominent invasive hematophagous arthropods, but sources and pathways are likely to diversify with future globalization. Burgeoning urbanization, climate change and the urban heat island effect are likely to interact to favor invasive hematophagous arthropods and the diseases they can vector. To mitigate future invasions of hematophagous arthropods and novel disease outbreaks, stronger preventative monitoring and transboundary surveillance measures are urgently required. Proactive approaches, such as the use of monitoring and increased engagement in citizen science, would reduce epidemiological and ecological risks and could save millions of lives and billions of dollars spent on arthropod control and disease management. Last, our capacities to manage invasive hematophagous arthropods in a sustainable way for worldwide ecosystems can be improved by promoting interactions among experts of the health sector, stakeholders in environmental issues and policymakers (e.g. the One Health approach) while considering wider social perceptions.",2023,"AUG 17","PARASITES & VECTORS","16","1","","WOS:001050459900001","10.1186/s13071-023-05887-x","","#2617","Cuthbert 2023","","Biotic; Intervention",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Aquatic ecosystems across boundaries: Significance of international agreements and cooperation","Dave, G.; Munawar, M.","Historically, international environmental agreements on shared transboundary waters have dealt with exploitation of natural resources like oil, minerals, forests, fisheries, shipping and trade. Presently the focus is on environmental issues relevant to conservation, restoration, protection, sustainability over-fishing, pollution, invasive species and climate change. Global assessment indicates a lack of international agreements between multiple users. A brief review of major conventions and agreements is offered with emphasis on the Great Lakes Water Quality Agreement on the North American Great Lakes and the European Water Framework Directive, since they appear to be ecologically sound and predominantly ecosystem-based. This article exemplifies the history behind these agreements with examples of environmental threats and consequences (eutrophication, pollution, invasive species and loss of biodiversity). It is concluded that such ecosystem-based agreements are essential for all large aquatic ecosystems shared by multiple users or countries for holistic and integrated management of aquatic resources.",2014,"","Aquatic Ecosystem Health & Management","17","4","437-446","WOS:000346423200014","10.1080/14634988.2014.978245","","#2753","Dave 2014","","Biophysical; Biotic; Intervention",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","From participatory engagement to co-production: modelling climate-sensitive processes in the Arctic","Davis, K.; Ford, J. D.; Quinn, C.; Harper, S. L.; Ihacc Res Team","Participation is increasingly being used in the modelling of climate-sensitive systems to improve usability. Bottom-up, place-based approaches to modelling can challenge the dominantly positivist approaches used until recently. We examined how participation is reported within modelling research that uses participatory approaches, focusing on the Arctic. Our systematic scoping review identified 26 articles that used participatory approaches in modelling research to explore a climate-sensitive process in an Arctic setting and analysed the degree of participation at each stage of the process for each article. A diversity of topics, modelling approaches, and participant groups were identified. Most studies (71%) occurred in Arctic North America, and all studies engaged with non-Western knowledge types to some degree. Participation was most commonly reported at the model generation and participant identification stages, and least commonly reported in the choice of modelling type. Participatory scores - based on the number and degree of participatory stages of a study - were higher where authors gave instrumental or transformative rationales for the use of participation, and among studies that described prioritising non-Western knowledge types. Detailed reporting of participatory processes was frequently absent, suggesting a need for clearer discussions of these issues in the descriptions of the process. Key words: Arctic, climate change, participatory modelling, participation, community-based participatory research, non-Western knowledge systems.",2021,"DEC","Arctic Science","7","4","699-722","WOS:000730161000001","10.1139/as-2020.0032","","#2770","Davis 2021","Enrique Martinez-Meyer (2024-08-21 06:10:12)(Select): Actually transboundary because it includes Canada and US (Alaska); Colleen Miller (2024-08-20 01:29:15)(Select): Some interesting takeaways on how different groups think about CC in the arctic and what types of information is valued in those studies. ; Kyle Manley (2024-08-09 08:00:53)(Select): to me this could be considered a transboundary flow of knowledge that is becoming more recognized due to climate change;","Intervention; Sociocultural; save for other sections",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
