Citation,DOI
"Hunter and Simon, 2022",10.1177/01979183221074343
"Grayson and Johnson, 2017, Journal of Animal Ecology","10.1111/1365-2656.12755	"
"Chi et al., 2024",10.1007/s10113-024-02212-9
"Hori & Syugyo et al., (2020) International Environmental Agreements",https://doi.org/10.1007/s10784-020-09475-7
"Jordan & Huitema et al., (2014) Global Environmental Change",https://doi.org/10.1016/j.gloenvcha.2014.09.005
"Mucioki, 2024",10.1002/ppp3.10500
"Sabater, 2023, Biological Reviews",doi: 10.1111/brv.12914
"Peacock, 2011, Canadian Journal of Zoology",10.1139/Z11-021
"Laamrani et al., 2020, Forests",https://doi.org/10.3390/f11111176
"Bernath-Plaisted et al., 2023, Rangeland Ecology & Management",10.1016/j.rama.2023.07.002
"Bitterlin & Van Buskirk, 2014, Climate Research",doi: 10.3354/cr01238
"Böhning-Gaese & Lemoine, 2004, Advances in Ecological Research",10.1016/S0065-2504(04)35010-5
"Bowers & Kajuira, 2023, Environ Biol Fish",10.1007/s10641-023-01449-3
"Carlisle et al., 2009, The Condor",10.1525/cond.2009.080096
"Wrathall, 2018, Food and Agriculture Organization of the United Nations",https://openknowledge.fao.org/server/api/core/bitstreams/24eba882-35e4-4e04-a793-eaab4cd6259c/content
"McMichael, 2012, Environ Health Perspect",10.1289/ehp.1104375
"Piguet, 2010, WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE","10.1002/wcc.54	"
"Hunter et al., 2021, Population and Environment",https://doi.org/10.1007/s11111-021-00377-7
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	"
"Cohen et al., 2017, The Condor",10.1650/CONDOR-17-20.1
"Dahms & Killen, 2023, Global Change Biology",10.1111/gcb.16770
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162
"Faaborg et al., 2010, Ecological Monographs",10.1890/09-0395.1
"Morin et al., 2018, Environment International",10.1016/j.envint.2018.06.018
"Morin et al., 2018, Environment International",10.1016/j.envint.2018.06.018
