"","Flow","NCP","NCPDirection","count"
"1","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Air.Quality","Increase",0
"2","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Air.Quality","Decrease",2
"3","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Air.Quality","Complex",0
"4","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Air.Quality","NotConsidered",178
"5","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",1
"6","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Air.Quality","NotMeasured",11
"7","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Air.Quality","Increase",0
"8","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Air.Quality","Decrease",0
"9","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Air.Quality","Complex",0
"10","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Air.Quality","NotConsidered",64
"11","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"12","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Air.Quality","NotMeasured",10
"13","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Air.Quality","Increase",0
"14","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Air.Quality","Decrease",3
"15","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Air.Quality","Complex",0
"16","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Air.Quality","NotConsidered",100
"17","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",1
"18","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Air.Quality","NotMeasured",10
"19","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Air.Quality","Increase",0
"20","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Air.Quality","Decrease",0
"21","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Air.Quality","Complex",0
"22","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Air.Quality","NotConsidered",44
"23","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"24","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Air.Quality","NotMeasured",9
"25","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Air.Quality","Increase",0
"26","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Air.Quality","Decrease",0
"27","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Air.Quality","Complex",0
"28","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Air.Quality","NotConsidered",74
"29","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"30","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Air.Quality","NotMeasured",8
"31","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Air.Quality","Increase",0
"32","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Air.Quality","Decrease",1
"33","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Air.Quality","Complex",0
"34","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Air.Quality","NotConsidered",55
"35","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"36","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Air.Quality","NotMeasured",6
"37","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Air.Quality","Increase",0
"38","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Air.Quality","Decrease",3
"39","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Air.Quality","Complex",0
"40","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Air.Quality","NotConsidered",65
"41","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",1
"42","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Air.Quality","NotMeasured",6
"43","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Air.Quality","Increase",0
"44","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Air.Quality","Decrease",0
"45","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Air.Quality","Complex",0
"46","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Air.Quality","NotConsidered",32
"47","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"48","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Air.Quality","NotMeasured",7
"49","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Air.Quality","Increase",0
"50","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Air.Quality","Decrease",0
"51","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Air.Quality","Complex",0
"52","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Air.Quality","NotConsidered",71
"53","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"54","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Air.Quality","NotMeasured",9
"55","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Air.Quality","Increase",0
"56","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Air.Quality","Decrease",0
"57","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Air.Quality","Complex",0
"58","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Air.Quality","NotConsidered",44
"59","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"60","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Air.Quality","NotMeasured",9
"61","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Air.Quality","Increase",0
"62","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Air.Quality","Decrease",0
"63","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Air.Quality","Complex",0
"64","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Air.Quality","NotConsidered",19
"65","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Air.Quality","NoChangeMeasured",0
"66","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Air.Quality","NotMeasured",0
"67","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Climate","Increase",2
"68","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Climate","Decrease",2
"69","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Climate","Complex",0
"70","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Climate","NotConsidered",172
"71","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Climate","NoChangeMeasured",3
"72","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Climate","NotMeasured",11
"73","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Climate","Increase",1
"74","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Climate","Decrease",1
"75","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Climate","Complex",0
"76","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Climate","NotConsidered",62
"77","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Climate","NoChangeMeasured",0
"78","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Climate","NotMeasured",9
"79","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Climate","Increase",2
"80","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Climate","Decrease",4
"81","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Climate","Complex",0
"82","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Climate","NotConsidered",96
"83","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Climate","NoChangeMeasured",1
"84","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Climate","NotMeasured",9
"85","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Climate","Increase",2
"86","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Climate","Decrease",1
"87","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Climate","Complex",0
"88","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Climate","NotConsidered",41
"89","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Climate","NoChangeMeasured",0
"90","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Climate","NotMeasured",8
"91","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Climate","Increase",1
"92","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Climate","Decrease",2
"93","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Climate","Complex",0
"94","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Climate","NotConsidered",69
"95","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Climate","NoChangeMeasured",2
"96","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Climate","NotMeasured",7
"97","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Climate","Increase",1
"98","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Climate","Decrease",3
"99","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Climate","Complex",0
"100","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Climate","NotConsidered",52
"101","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Climate","NoChangeMeasured",0
"102","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Climate","NotMeasured",6
"103","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Climate","Increase",1
"104","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Climate","Decrease",4
"105","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Climate","Complex",0
"106","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Climate","NotConsidered",63
"107","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Climate","NoChangeMeasured",1
"108","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Climate","NotMeasured",5
"109","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Climate","Increase",1
"110","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Climate","Decrease",0
"111","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Climate","Complex",0
"112","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Climate","NotConsidered",31
"113","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Climate","NoChangeMeasured",0
"114","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Climate","NotMeasured",6
"115","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Climate","Increase",1
"116","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Climate","Decrease",1
"117","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Climate","Complex",0
"118","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Climate","NotConsidered",67
"119","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Climate","NoChangeMeasured",2
"120","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Climate","NotMeasured",8
"121","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Climate","Increase",1
"122","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Climate","Decrease",0
"123","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Climate","Complex",0
"124","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Climate","NotConsidered",43
"125","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Climate","NoChangeMeasured",0
"126","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Climate","NotMeasured",8
"127","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Climate","Increase",0
"128","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Climate","Decrease",0
"129","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Climate","Complex",0
"130","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Climate","NotConsidered",16
"131","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Climate","NoChangeMeasured",2
"132","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Climate","NotMeasured",1
"133","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Acidification","Increase",0
"134","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Acidification","Decrease",1
"135","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Acidification","Complex",0
"136","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Acidification","NotConsidered",179
"137","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Acidification","NoChangeMeasured",1
"138","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Acidification","NotMeasured",11
"139","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Acidification","Increase",0
"140","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Acidification","Decrease",0
"141","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Acidification","Complex",0
"142","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Acidification","NotConsidered",64
"143","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"144","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Acidification","NotMeasured",10
"145","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Acidification","Increase",0
"146","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Acidification","Decrease",0
"147","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Acidification","Complex",0
"148","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Acidification","NotConsidered",104
"149","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Acidification","NoChangeMeasured",1
"150","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Acidification","NotMeasured",10
"151","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Acidification","Increase",0
"152","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Acidification","Decrease",0
"153","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Acidification","Complex",0
"154","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Acidification","NotConsidered",44
"155","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"156","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Acidification","NotMeasured",9
"157","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Acidification","Increase",0
"158","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Acidification","Decrease",0
"159","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Acidification","Complex",0
"160","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Acidification","NotConsidered",74
"161","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"162","X2.7.Altered.Flow..Timing","X2.16.NCP.ES..Acidification","NotMeasured",8
"163","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Acidification","Increase",0
"164","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Acidification","Decrease",0
"165","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Acidification","Complex",0
"166","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Acidification","NotConsidered",56
"167","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"168","X2.7.Altered.Flow..Frequency","X2.16.NCP.ES..Acidification","NotMeasured",6
"169","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Acidification","Increase",0
"170","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Acidification","Decrease",0
"171","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Acidification","Complex",0
"172","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Acidification","NotConsidered",68
"173","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Acidification","NoChangeMeasured",1
"174","X2.7.Altered.Flow..Duration","X2.16.NCP.ES..Acidification","NotMeasured",6
"175","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Acidification","Increase",0
"176","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Acidification","Decrease",0
"177","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Acidification","Complex",0
"178","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Acidification","NotConsidered",33
"179","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"180","X2.7.Altered.Flow..Speed","X2.16.NCP.ES..Acidification","NotMeasured",7
"181","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Acidification","Increase",0
"182","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Acidification","Decrease",1
"183","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Acidification","Complex",0
"184","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Acidification","NotConsidered",70
"185","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"186","X2.7.Altered.Flow..Feedbacks","X2.16.NCP.ES..Acidification","NotMeasured",9
"187","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Acidification","Increase",0
"188","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Acidification","Decrease",0
"189","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Acidification","Complex",0
"190","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Acidification","NotConsidered",45
"191","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"192","X2.7.Altered.Flow..Mechanism","X2.16.NCP.ES..Acidification","NotMeasured",9
"193","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Acidification","Increase",0
"194","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Acidification","Decrease",0
"195","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Acidification","Complex",0
"196","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Acidification","NotConsidered",19
"197","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Acidification","NoChangeMeasured",0
"198","X2.7.Altered.Flow..Other","X2.16.NCP.ES..Acidification","NotMeasured",0
"199","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Freshwater","Increase",0
"200","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Freshwater","Decrease",16
"201","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Freshwater","Complex",0
"202","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Freshwater","NotConsidered",151
"203","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Freshwater","NoChangeMeasured",1
"204","X2.7.Altered.Flow..Quantity","X2.16.NCP.ES..Freshwater","NotMeasured",11
"205","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Freshwater","Increase",0
"206","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Freshwater","Decrease",4
"207","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Freshwater","Complex",0
"208","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Freshwater","NotConsidered",54
"209","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Freshwater","NoChangeMeasured",0
"210","X2.7.Altered.Flow..Direction","X2.16.NCP.ES..Freshwater","NotMeasured",8
"211","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Freshwater","Increase",0
"212","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Freshwater","Decrease",8
"213","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Freshwater","Complex",0
"214","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Freshwater","NotConsidered",93
"215","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Freshwater","NoChangeMeasured",1
"216","X2.7.Altered.Flow..Location","X2.16.NCP.ES..Freshwater","NotMeasured",9
"217","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Freshwater","Increase",0
"218","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Freshwater","Decrease",3
"219","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Freshwater","Complex",0
"220","X2.7.Altered.Flow..Distance","X2.16.NCP.ES..Freshwater","NotConsidered",36
