"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic"
"1","Forecasting the consequences of climate-driven shifts in human behavior on cetaceans","Alter, S. E.; Simmonds, M. P.; Brandon, J. R.","While climate change is expected to affect cetaceans primarily via loss of habitat and changes in prey availability, additional consequences may result from climate-driven shifts in human behaviors and economic activities. For example, increases in shipping, oil and gas exploration and fishing due to the loss of Arctic sea ice are highly likely to exacerbate acoustic disturbance, ship strikes, bycatch and prey depletion for Arctic cetaceans. In the tropics, climate change may result in increased hunting pressure on near-shore dolphins and whales off Asia, Latin America, Africa, and elsewhere as the availability of other marine resources diminishes. This study explores the range of potential consequences to cetaceans worldwide from predicted climate-driven shifts in human behavior, and evaluates the risks to particular species given their geographic ranges and habitat preferences. While concern about impacts of climate change on cetaceans has largely focused on polar species, the analysis presented here suggests tropical coastal and riverine cetaceans such as the lrawaddy dolphin, Indo-Pacific humpback dolphin, and finless porpoise are particularly vulnerable to those aspects of climate change that are mediated by changes in human behavior. Policy recommendations include the following: (1) information about cetacean populations should be incorporated into national, regional and international climate adaptation decisions wherever possible (for example, via GEF-sponsored adaptation initiatives); and (2) human-mediated impacts of climate change should be included in cetacean conservation and management plans, such as the management procedures of the International Whaling Commission (IWC), where possible. Because human responses to climate change are likely to evolve rapidly over the coming years and decades, it is important that local, regional and international cetacean conservation and management plans include regular reviews to allow them to adapt to new information. (C) 2010 Elsevier Ltd. All rights reserved.",2010,"SEP","MARINE POLICY","34","5","943-954","WOS:000279029700015","10.1016/j.marpol.2010.01.026","","#354","Alter 2010","","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Perennial Systems (Temperate Fruit Trees and Grapes)","Andresen, J. A.; Baule, W. J.; Hatfield, J. L.; Sivakumar, M. V. K.; Prueger, J. H.","Perennial fruit crops are produced across a wide variety of climates and geographical settings worldwide. As specialty crops with relatively high input costs, farmgate value, and multiple-year production cycles, they require high levels of management and are susceptible to a large number of weather- and climate-related impacts. This review considers eight economically important perennial crops grown that share similar environmental limitations: tree fruits apple, pear, sour (tart) cherry, sweet cherry, peach, apricot, plum, and vining fruit grapes. While the global area on which these crops is produced is limited with just under 2 million hectares or about 2.8% of total global non-forage related cropland (FAO, 2018), their economic impact is significant. For example, in the United States during 2016 these crops collectively had a net farmgate value of just under $11.9 billion on a production area of only 661,000 ha (NASS USDA, 2017). In contrast to some agricultural crops, crop quality is typically of greater importance in the production cycle than crop yield and quantity. Major weather and climate-related constraints include temperature fluctuations and extremes, especially spring freezes, insufficient or untimely rainfall, hail, and pressure from a variety of weather-dependent plant disease and insect pests. Recent climatic changes have resulted in a longer and warmer growing season in many production areas, with some regions becoming too warm to meet cool season chilling requirements. Impacts from projected future changes in climate include a continuation of recent trends, a potential poleward shift for some crop production areas, and the introduction of new and exotic pest species.",2019,"","AGROCLIMATOLOGY: LINKING AGRICULTURE TO CLIMATE","60","","425-452","WOS:000667934200017","10.2134/agronmonogr60.2016.001610.2134/agronmonogr60","","#468","Andresen 2019","Tyler McIntosh (2024-08-31 01:18:01)(Select): adding sociocultural and biotic tags. This flow is about shift in temperate fruit tree/grape growing areas, which may drive shifts in production/trade/employment as well as agricultural community shifts

c1: yes
c2: yes
c3: yes
c4: global, does include significant discussions of great lakes region
c5: this is in the uncertain category, but given discussion of northward movement and significant production in great lakes region, it seems likely that there may be transboundary flow to production in Canada; Tyler McIntosh (2024-08-22 05:15:03)(Select): This is a book chapter, rather than a stand-alone paper.; ","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Climate Change, Natural Disasters, and Migration-a Survey of the Empirical Evidence","Berlemann, M.; Steinhardt, M. F.","Climate-induced migration is one of the most hotly debated topics in the current discourse on global warming and its consequences. There is a burgeoning field in economics and other social sciences linking climatic factors or climate-related natural disasters to migration. Existent empirical studies use different measures to quantify migration flows and climatic factors and apply a variety of methodologies to disparate data sets and samples of countries. Our review article aims to provide a unifying perspective over this complex field by structuring the literature and summarizing the empirical findings. (JEL codes: F22, J11, J61, O13, O15, Q54, R23).",2017,"DEC","CESIFO ECONOMIC STUDIES","63","4","353-385","WOS:000417343000001","10.1093/cesifo/ifx019","","#1107","Berlemann 2017","","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Climate Change Cross-Border Migration and the Biden Administration: What the Future Holds?","Bhardwaj, C.","This article comments on the """"Report on the Impact of Climate Change Migration, 2021"""" in the context of cross-border migration induced by climate change and existing domestic laws to protect immigrants fleeing climate change and environmental disasters in their country of origin. The Report will guide future domestic mechanisms to protect immigrants fleeing climate change under Executive Order (EO) 14013. The Biden Administration, through its EO 14013 in January 2021, had directed the National Security Advisor to prepare a report on the intersection of climate change and migration. The Report was released in October 2021 and consisted of cross-cutting themes that can guide future action plans built on principles of justice and equity, gender equality, and inclusion of marginalized communities. There is compelling evidence that disparate treatment exists in the United States on the basis of nationality, origin, race, and so on against migrants fleeing environmental disasters and climate change in their countries of origin. For example, historically, the United States has protected people disproportionately affected by disasters and ecological crises under domestic laws such as the Azorean Refugees Act 1958. However, the Azorean Refugees Act only covered the Europeans, and ever since, no domestic law has not been extended to protect people fleeing environmental disasters from non-European countries. Today, U.S. domestic laws fail to protect people of all nationalities fleeing environmental difficulties. The existing U.S. Immigration Law sets forth Temporary Protected Status and humanitarian visas that may be applied to protect such cross-border migrants. However, these laws have not been applied equally to vulnerable global communities.",2023,"AUG 1","ENVIRONMENTAL JUSTICE","16","4","254-260","WOS:000874210000001","10.1089/env.2021.0117","","#1161","Bhardwaj 2023","","Human movement; Perspective paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Geography and health: role of human translocation and access to care","Brattig, N.; Bergquist, R.; Vienneau, D.; Zhou, X. N.","Natural, geographical barriers have historically limited the spread of communicable diseases. This is no longer the case in today's interconnected world, paired with its unprecedented environmental and climate change, emphasising the intersection of evolutionary biology, epidemiology and geography (i.e. biogeography). A total of 14 articles of the special issue entitled """"Geography and health: role of human translocation and access to care"""" document enhanced disease transmission of diseases, such as malaria, leishmaniasis, schistosomiasis, COVID-19 (Severe acute respiratory syndrome corona 2) and Oropouche fever in spite of spatiotemporal surveillance. High-resolution satellite images can be used to understand spatial distributions of transmission risks and disease spread and to highlight the major avenue increasing the incidence and geographic range of zoonoses represented by spill-over transmission of coronaviruses from bats to pigs or civets. Climate change and globalization have increased the spread and establishment of invasive mosquitoes in non-tropical areas leading to emerging outbreaks of infections warranting improved physical, chemical and biological vector control strategies. The translocation of pathogens and their vectors is closely connected with human mobility, migration and the global transport of goods. Other contributing factors are deforestation with urbanization encroaching into wildlife zones. The destruction of natural ecosystems, coupled with low income and socioeconomic status, increase transmission probability of neglected tropical and zoonotic diseases. The articles in this special issue document emerging or re-emerging diseases and surveillance of fever symptoms. Health equity is intricately connected to accessibility to health care and the targeting of healthcare resources, necessitating a spatial approach. Public health comprises successful disease management integrating spatial surveillance systems, including access to sanitation facilities. Antimicrobial resistance caused, e.g. by increased use of antibiotics in health, agriculture and aquaculture, or acquisition of resistance genes, can be spread by horizontal gene transfer. This editorial reviews the key findings of this 14-article special issue, identifies important gaps relevant to our interconnected world and makes a number of specific recommendations to mitigate the transmission risks of infectious diseases in the post-COVID-19 pandemic era.",2024,"MAY 23","Infectious Diseases of Poverty","13","1","","WOS:001230263700002","10.1186/s40249-024-01205-4","","#1497","Brattig 2024","Laura  Dee (2024-08-15 07:06:02)(Select): useful for human movement section as well; Grace Westphal (2024-08-14 04:05:21)(Select): Summarizes the special issue rather than reviews the literature;","Biotic; Human movement; Transboundary unclear; save for other sections",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"6","Migration as adaptation to freshwater and inland hydroclimatic changes? A meta-review of existing evidence","Caretta, M. A.; Fanghella, V.; Rittelmeyer, P.; Srinivasan, J.; Panday, P. K.; Parajuli, J.; Priya, R.; Reddy, Ebub; Seigerman, C. K.; Mukherji, A.","Due to its potential geo-political and environmental implications, climate migration is an increasing concern to the international community. However, while there is considerable attention devoted to migration in response to sea-level rise, there is a limited understanding of human mobility due to freshwater and inland hydroclimatic changes. Hence, the aim of this paper is to examine the existing evidence on migration as an adaptation strategy due to freshwater and inland hydroclimatic changes. A meta-review of papers published between 2014 and 2019 yielded 67 publications, the majority of which focus on a handful of countries in the Global South. Droughts, floods, extreme heat, and changes in seasonal precipitation patterns were singled out as the most common hazards triggering migration. Importantly, most of the papers discuss mobility as part of a portfolio of responses. Motivations to migrate at the household level range from survival to searching for better economic opportunities. The outcomes of migration are mixed - spanning from higher incomes to difficulties in finding employment after moving and struggles with a higher cost of living. While remittances can be beneficial, migration does not always have a positive outcome for those who are left behind. Furthermore, this meta-review shows that migration, even when desired, is not an option for some of the most vulnerable households. These multifaceted results suggest that, while climate mobility is certainly happening due to freshwater and inland hydroclimatic changes, studies reviewing it are limited and substantial gaps remain in terms of geographical coverage, implementation assessments, and outcomes evaluation. We argue that these gaps need to be filled to inform climate and migration policies that increasingly need to be intertwined rather than shaped in isolation from each other.",2023,"AUG","Climatic Change","176","8","","WOS:001029146100001","10.1007/s10584-023-03573-6","","#1844","Caretta 2023","","Human movement",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","The current research landscape of disaster-induced migration: A systematic review and bibliometric analysis","Chumky, T.; Basu, M.; Onitsuka, K.; Hoshino, S.","Migration induced by disasters has gained attention across the globe. Several international agencies have already highlighted the extent of disaster-induced migration and called for interventions. Though these agencies present a broad perspective, either at international, national, or regional level, the status of existing empirical studies on migration induced by specific disaster events is somewhat unknown. Hence, this paper reviews the existing empirical literature on disaster-induced migration with a special emphasis on the spatio-temporal variability in migration types and patterns in response to both slow onset and rapid onset disasters. Using the Web of Science database, PRISMA framework is followed to select 43 research articles to conduct bibliometric analysis and systematic review. The review findings demonstrate a prevalence of studies on migration due to rapid onset disasters like flood, landslides and earthquakes compared to slow onset disasters like droughts. Also, migration from rural areas to urban areas are found to be the most common spatial pattern of migration irrespective of the type of disaster. The existing studies are found to concentrate on the economic drivers that induced disaster-induced migration with very less or no focus on other social or political drivers or an interplay of drivers that may lead to migration. The review demonstrates that apart from considering migration as an adaptation strategy, it is important to conduct more extensive studies on the dynamics, types and patterns, and interaction mechanism of different drivers of migration for future disaster preparedness.",2022,"MAY","INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION","74","","","WOS:000790836000001","10.1016/j.ijdrr.2022.102931","","#2283","Chumky 2022","Laura  Dee (2024-08-30 23:23:03)(Select): I think we will want this at least for background on climate impacts on human movement flows ; Tyler McIntosh (2024-08-16 13:38:32)(Select): A nice review of disaster-induced migration that does not include any mention of subsequent biodiversity impacts (even broadly defined);","Human movement; Transboundary unclear; save for other sections",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Environmental migration? A systematic review and meta-analysis of the literature","Cipollina, M.; De Benedictis, L.; Scibè, E.","This article provides a comprehensive quantitative overview of the literature on the relationship between environmental changes and human migration. It begins with a systematic approach to bibliographic research and offers a bibliometric analysis of the empirical contributions. Specifically, we map the literature and conduct systematic research using main bibliographic databases, reviews, and bibliometric analysis of all resulting papers. By constructing a citation-based network, we identify four separate clusters of papers grouped according to certain characteristics of the analysis and resulting outcomes. Finally, we apply a meta-analysis to a sample of 96 published and unpublished studies between 2003 and 2020, providing 3904 point estimates of the effect of slow-onset events and 2065 point estimates of the effect of fast-onset events. Overall, the meta-analytic average effect on migration is small for both slow- and rapid-onset events; however, it is positive and significant. Accounting for the clustering of the literature, which highlights how specific common features of the collected studies influence the magnitude of the estimated effect, reveals a significant heterogeneity among the four clusters of papers. This heterogeneity gives rise to new evidence on the formation of club-like convergence of literature outcomes.",2024,"2024 MAR 30","REVIEW OF WORLD ECONOMICS","","","","WOS:001194579100001","10.1007/s10290-024-00529-5","","#2301","Cipollina 2024","","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Temporal and Spatial Patterns of Ship Traffic in the Canadian Arctic from 1990 to 2015","Dawson, J.; Pizzolato, L.; Howell, S. E. L.; Copland, L.; Johnston, M. E.","The limited availability of consistent, longitudinal data sources for marine traffic in Arctic Canada has presented significant challenges for researchers, policy makers, and planners. Temporally and spatially accurate shipping data that reveal historical and current traffic trends are vital to plan safe shipping corridors, develop infrastructure, plan and manage protected areas, and understand the potential environmental and cultural impacts of change, as well as for sovereignty and safety considerations. This study uses a recently developed geospatial database of ship traffic to provide the first synthesized overview of the spatial and temporal variability of different vessel types in Arctic Canada during the 26-year period from 1990 to 2015. This examination shows that, overall, the distance traveled by ships in Arctic Canada nearly tripled (from 364 179 km in 1990 to 918 266 km in 2015), that the largest proportion of ship traffic in the region is from general cargo vessels and government icebreakers (including research ships), and that the fastest growing vessel type by far is pleasure craft (private yachts). Spatial shifts in vessel activity over the last quarter century have favoured areas with active mine sites, as well as the southern route of the Northwest Passage. As a result, some communities, including Baker Lake, Chesterfield Inlet, Pond Inlet, and Cambridge Bay, are experiencing greater increases in ship traffic.",2018,"MAR","Arctic","71","1","15-26","WOS:000462918400002","10.14430/arctic4698","","#2786","Dawson 2018","Tyler McIntosh (2024-08-20 07:46:48)(Select): Another climate change impacts shipping patterns in the Arctic paper. The subsequent biodiversity impact in this paper is primarily changes in fishing pressure.;","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Exploring climate finance for tourism adaptation development: an overview","do Nascimento, D. V.","Purpose - The purpose of this paper is to provide an overview of the links between climate finance and tourism adaptation development. Besides increasing adaptation and mitigation efforts to limit greenhouse gas emissions, climate change remains a major challenge in the twenty-first century and beyond especially for tourism which is highly climate sensitive. Hence, it is necessary for tourism to adapt to survive. The aim of the study is to provide a systematic overview of the topic to offer a foundation for better understanding different ways of integrating climate finance initiatives with tourism. Design/methodology/approach - The research focused on the top-ranked, peer reviewed journals of each of the two selected research fields. To address this topic, an in-depth systematic literature review in the fields of climate change finance and tourism adaptation development was conducted. Furthermore, because it is a relatively new research topic, conference proceedings were also explored. To guarantee wide coverage of the literature, a query of the following scholarly databases was considered: Elsevier, ScienceDirect and Web of Science. Findings - Based on the analyses of the literature available on the topic, the paper highlights the main research trends and conclusions. It is argued that there is imbalance of knowledge on climate change finance as it relates to tourism. To date, there have been relatively few published articles on this topic in the context of tourism. Based on the findings, promising areas for future research were identified, and in particular for small island communities and recommendations for future research are outlined. Research limitations/implications - The paper is limited by the scope of the literature review accessed by the researcher. The results of this review may vary according to the databases used. Originality/value - Currently, there is no extensive review of articles on climate finance and tourism adaptation. This paper aims at reviewing climate finance studies published in English language to explore knowledge gaps in tourism adaptation. Sets of themes being advanced are also highlighted. Recommendations for future research are provided.",2016,"","WORLDWIDE HOSPITALITY AND TOURISM THEMES","8","5","593-605","WOS:000393225000008","10.1108/WHATT-06-2016-0036","","#3111","doNascimento 2016","Rachel Wilwerding (2024-08-14 02:55:49)(Select): Relevant to trade and human movement- a global study with specific mention of Canadian finance and Caribbean tourism;","Human movement; Transboundary unclear",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
