"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic","biotic_physical"
"1","The easternmost tropical Pacific. Part II: Seasonal and intraseasonal modes of atmospheric variability","Amador, J. A.; Durán-Quesada, A. M.; Rivera, E. R.; Mora, G.; Sáenz, F.; Calderón, B.; Mora, N.","This is Part II of a two-part review about climate and climate variability focused on the Eastern Tropical Pacific (ETP) and the Caribbean Sea (CS). Both parts are aimed at providing oceanographers, marine biologists, and other ocean scientists, a guiding base for ocean-atmosphere interaction processes affecting the CS, the ETP, and the waters of Isla del Coco. Isla del Coco National Park is a Costa Rican World Heritage site. Part I analyzed the mean fields for both basins and a larger region covering 25 degrees S - 35 degrees N, 20 degrees W - 130 degrees W. Here we focus on a smaller area (65 degrees W - 95 degrees W, 0 degrees - 20 degrees N), as a complement to Part 1. Incoming solar radiation and surface energy fluxes reveal the complex nature of the ETP and CS for convective activity and precipitation on seasonal and intraseasonal time scales. Both regions are relevant as sources of evaporation and the associated moisture transport processes. The American Monsoon System influences the climate and climate variability of the ETP and CS, however, the precise way systems affect regional precipitation and transport of moisture, within the Intra Americas Sea (IAS) are not clear. Although the Caribbean Low-Level Jet (CLLJ) is known to act as a conveyor belt for moisture transport, intraseasonal and seasonal modes of the CLLJ and their interactions with other IAS systems, have to be further investigated. Trans-isthmic jets, exert a variable seasonal wind stress force over the ocean surface co-generating regions of great marine productivity. Isolated convection, the seasonal migration of the Intertropical Convergence Zone, the hurricane season, the Mid-Summer Drought, the seasonal and intraseasonal behavior of low-level jets and their interactions with transients, and the southward incursion of cold fronts contribute to regional seasonal precipitation. Many large-scale systems, such as El Nino-Southern Oscillation, the Atlantic Multidecadal Oscillation and the Madden-Julian Oscillation (MJO, also influence the variability of precipitation by modulating regional features associated with convection and precipitation. Monthly tropical storm (TS) activity in the CS and ETP basins is restricted to the period May-November, with very few cases in December. The CS presents TS peak activity during August, as well as for the number of hurricanes and major hurricanes, in contrast to the ETP that shows the same features during September. Rev. Biol. Trop. 64 (Suppl. 1): S23-S57. Epub 2016 Febrary 01.",2016,"FEB","REVISTA DE BIOLOGIA TROPICAL","64","","S23-S57","WOS:000383463900003","","","#376","Amador 2016","","Biophysical; Biotic",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"2","Ecology, evolution and conservation of tidepool fishes of the Americas","Andrades, R.; González-Murcia, S.; Buser, T. J.; Macieira, R. M.; Andrade, J. M.; Pinheiro, H. T.; Vilar, C. C.; Pimentel, C. R.; Gasparini, J. L.; Quintao, T. L.; Machado, F. S.; Castellanos-Galindo, G.; Ruiz-Campos, G.; Ojeda, F. P.; Martin, K. L.; Giarrizzo, T.; Joyeux, J. C.","Intertidal ecology has been considered the cradle of modern marine ecology with insightful investigations on the biological and ecological mechanisms allowing """"life between the tides"""". Most of the early investigations focused on macrophytes (seagrasses and macroalgae) and benthic invertebrates inhabiting emerged intertidal substrata. However, tidepools also shelter a rich fauna, including fishes, which display a wide diversity and a variety of ecological interactions and functions. Here, we review the diversity, ecology, evolution and conservation of the American tidepool fishes, from definition to trophic roles, ecological vulnerabilities and societal importance that reveal an extraordinary biodiversity and the important roles fishes play in the coastal ecosystems. Tidepool fish studies increased sharply from the mid twentieth century onwards, but many geographic gaps still exist. Tidepool fishes connect marine and terrestrial communities via substantial predation upon insects and exporting energy to land as prey for terrestrial fauna. Sea-level rise driven by climate change will reduce or eliminate current intertidal habitats, where little or no space is available for landward accommodation in the supralittoral zone. Concurrently, tidepool habitat would be 'squeezed' to a narrow intertidal stripe by 'coastal squeeze' process. Endemic, habitat-restricted, and specialist species could be particularly affected by human-induced habitat loss on the coastal stripe. Tidepool fishes provide many ecological services, such as well-being, environmental awareness, outdoor recreation, and bioinspiration for ancient and current societies. The level of intertidal rocky shore protection varies among American countries, but in most cases rocky shores are included in the least effective protection categories allowing extractive activities.",2023,"DEC","Reviews in Fish Biology and Fisheries","33","4","1263-1290","WOS:001070349500002","10.1007/s11160-023-09798-z","","#461","Andrades 2023","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Climate Change Impacts on Water Resources and Sustainable Water Management Strategies in North America","Asif, Z.; Chen, Z.; Sadiq, R.; Zhu, Y. Y.","Water scarcity is exacerbating in many regions across North America because of climate change compounded by population growth, overexploitation of freshwater resources, and lack of proper management. Considering the regional urgency, there is an immense need to find more equitable solutions for water management. Therefore, this paper aims to examine the climatic factors impacting the hydrological regime in North America, including changes in surface runoff, groundwater storage, and the forested watershed, based on current trends and future projection scenarios. Moreover, this paper critically overviews need-based solutions for effective water management at a regional scale. The study shows that many areas of North America are exposed to extreme events such as prolonged droughts, devastating floods, wildfires, and altering precipitation patterns. Consequently, these changes are triggering wide-ranging impacts on water resources, leading to water supply deficiencies and influencing water flows and quality in the Southwestern United States, prairie provinces in Canada, and Mexico. The projection of warming around the region experiences spatial and seasonal variations because of the diversity in climatic conditions. Overall, in North America, winter is expected to warm more than other seasons causing earlier runoff and a decline in snowmelt. Given the physical and economic constraints that limit the development of new utilities, emphasis should be placed on strengthening nature-based solutions such as green infrastructure. Thus, the findings suggest an integrated water resource management approach is required, along with climate-induced innovative technologies, to secure the water resources while preparing for the forecasted challenges of tomorrow.",2023,"MAY","Water Resources Management","37","6-7","2771-2786","WOS:000936063200001","10.1007/s11269-023-03474-4","","#618","Asif 2023","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","Biases and information gaps in the study of habitat connectivity in the Carnivora in the AmericasPalabras clave","Balbuena-Serrano, A.; Zarco-González, M. M.; Monroy-Vilchis, O.","Habitat connectivity is essential to mitigate the effects of fragmentation by maintaining ecological processes, exchange of individuals, and gene flow among isolated populations. In the last two decades, the importance of habitat connectivity has been highlighted and the number of studies that address this issue has increased. We review and describe the habitat-connectivity studies for the Carnivora in the Americas to identify taxonomic, geographic, and methodological biases, and we examine the number of publications on habitat connectivity and their relationship with country-level parameters. We reviewed habitat-connectivity studies published between 2000 and 2020. We quantified studies by region, country, family, and species. We identified information gaps and analysed each country based on the proportion of land modified by humans, species richness, percentage of carnivoran species that are at risk of extinction, and the percentage of territory that is within Protected Areas. G-tests were performed to verify if the number of published connectivity studies differed based on these variables. There is an increasing trend in the number of studies; however, this increasing is not proportional among countries, among families, or among carnivoran species. We identified that there is a regional bias, since more than 75% of the studies were carried out in North America, in addition, taxonomic bias indicates that the studies focused on large carnivorans. Regarding the methodological bias, the least-cost path was the most used approach. There are fewer studies on habitat connectivity in countries with higher fragmentation rates, higher percentages of species that are at risk of extinction and less percentage of land in Protected Areas. The capability of countries to invest in research, the study focused on large charismatic species and the difficulty to obtaining dispersion data are factors that have influenced in the study of habitat connectivity.",2023,"APR","Mammal Review","53","2","99-115","WOS:000941062600001","10.1111/mam.12312","","#789","Balbuena-Serrano 2023","Anna LoPresti (2024-08-17 03:58:04)(Select): most relevant for interventions section but including because the paper mentions transboundary grizzly corridors between US and Canada. A few other transboundary species are mentioned (e.g., jaguar) but the transboundary connection is not discussed ; ","Biophysical; Biotic; Intervention",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"5","Environmental Evaluation: Lessons Learned from Case Studies","Banjoko, B.; Eslamian, S.","Drought is a compelling global environmental phenomenon, and meteorological conditions have been observed to be the most important factors in the evolution of drought. Manifestations of drought vary from place to place but water deficit underpins all types of these manifestations. The impact of drought can be overwhelming, and environmental evaluation enables the determination of the degree of impact, which is normally classified as mild, moderate, or severe. Some of these environmental evaluations include air, temperature, rainfall (precipitation), soil temperature, crop performance, and occurrence of El Nino/Southern Oscillation (ENSO). However, there is no single method that can properly capture the onset and the severity of drought; hence, multiple approaches are being utilized for detection and mitigation. Satellites, computers, communication and information technology, modeling, and mathematical algorithms are some of the technologies employed in the environmental evaluation of drought. Being a global disaster, there is a need for international cooperation in information sharing and technological transfer, training, and capacity building with regard to drought prediction, monitoring, mitigation, and management, particularly with respect to developing countries. Continuous environmental evaluation and more research are desirable in drought management, particularly the interfaces between drought and other related extreme events like floods and forest fires. All these will enable different countries to develop drought mitigation and management policies and to improve the existing ones.",2016,"","HANDBOOK OF DROUGHT AND WATER SCARCITY: ENVIRONMENTAL IMPACTS AND ANALYSIS OF DROUGHT AND WATER SCARCITY","","","631-663","WOS:000465343300033","10.1201/9781315226781","","#837","Banjoko 2016","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Heat Waves: Physical Understanding and Scientific Challenges","Barriopedro, D.; García-Herrera, R.; Ordóñez, C.; Miralles, D. G.; Salcedo-Sanz, S.","Heat waves (HWs) can cause large socioeconomic and environmental impacts. The observed increases in their frequency, intensity and duration are projected to continue with global warming. This review synthesizes the state of knowledge and scientific challenges. It discusses different aspects related to the definition, triggering mechanisms, observed changes and future projections of HWs, as well as emerging research lines on subseasonal forecasts and specific types of HWs. We also identify gaps that limit progress and delineate priorities for future research. Overall, the physical drivers of HWs are not well understood, partly due to difficulties in the quantification of their interactions and responses to climate change. Influential factors convey processes at different spatio-temporal scales, from global warming and the large-scale atmospheric circulation to regional and local factors in the affected area and upwind regions. Although some thermodynamic processes have been identified, there is a lack of understanding of dynamical aspects, regional forcings and feedbacks, and their future changes. This hampers the attribution of regional trends and individual events, and reduces the ability to provide accurate forecasts and regional projections. Sustained observational networks, models of diverse complexity, narrative-based methodological approaches and artificial intelligence offer new opportunities toward process-based understanding and interdisciplinary research. Plain Language Summary Heat waves (HWs) are climate extremes of major societal concern whose frequency, intensity and duration will continue increasing during this century. This review synthesizes the physical understanding and the main scientific challenges. We discuss problems involved in HW definition, including the diversity of HW indicators, and the consideration of adaptive capabilities in a changing climate. We also review observed and projected trends and the associated atmospheric patterns in different areas of the globe, with special attention to the mechanisms and drivers responsible for HW occurrence. These act at different scales, from planetary to local, and include thermodynamic and dynamical processes. There is a limited and fragmentary understanding of the interactions among these processes on regional scales, and their changes under global warming. Process-based understanding will benefit HW forecasts at time horizons longer than weather predictions, attribution of HW trends and events to human activities, and regional climate projections. Improved technological capabilities, models of diverse complexity, or machine-learning techniques will help overcome these challenges.",2023,"JUN","REVIEWS OF GEOPHYSICS","61","2","","WOS:001089337800001","10.1029/2022RG000780","","#905","Barriopedro 2023","","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Carrion cycling in food webs: comparisons among terrestrial and marine ecosystems","Beasley, J. C.; Olson, Z. H.; DeVault, T. L.","In light of current global changes to ecosystem function (e.g. climate change, trophic downgrading, and invasive species), there has been a recent surge of interest in exploring differences in nutrient cycling among ecosystem types. In particular, a growing awareness has emerged concerning the importance of scavenging in food web dynamics, although no studies have focused specifically on exploring differences in carrion consumption between aquatic and terrestrial ecosystems. In this forum we synthesize the scavenging literature to elucidate differences in scavenging dynamics between terrestrial and marine ecosystems, and identify areas where future research is needed to more clearly understand the role of carrion consumption in maintaining ecosystem function within each of these environments. Although scavenging plays a similar functional role in terrestrial and aquatic food webs, here we suggest that several fundamental differences exist in scavenging dynamics among these ecosystem types due to the unique selection pressures imposed by the physical properties of water and air. In particular, the movement of carcasses in marine ecosystems (e.g. wave action, upwelling, and sinking) diffuses biological activity associated with scavenging and decomposition across large, three-dimensional spatial scales, creating a unique spatial disconnect between the processes of production, scavenging, and decomposition, which in contrast are tightly linked in terrestrial ecosystems. Moreover, the limited role of bacteria and temporal stability of environmental conditions on the sea floor appears to have facilitated the evolution of a much more diverse community of macrofauna that relies on carrion for a higher portion of its nutrient consumption than is present in terrestrial ecosystems. Our observations are further discussed as they pertain to the potential impacts of climate change and trophic downgrading (i.e. removal of apex consumers from ecosystems) on scavenging dynamics within marine and terrestrial ecosystems.",2012,"JUL","Oikos","121","7","1021-1026","WOS:000305614300004","10.1111/j.1600-0706.2012.20353.x","","#973","Beasley 2012","Grace Westphal (2024-08-13 09:02:40)(Select): Only the last two pages (1/3 of article) focus on climate change impacts on carrion cycling. Paper is very general on geography, but the principles discussed in the paper should also apply to North America.; ","Biophysical; Biotic; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"8","Carbon dynamics in lakes of the boreal forest under a changing climate","Benoy, G.; Cash, K.; McCauley, E.; Wrona, F.","Water-covered lands comprise approximately 30% of the total area of the world's boreal forest biome. Most of these lands are peatlands (i.e., bogs and fens), which store over half of the total carbon in the biome. Because climate warming threatens to alter the carbon stocks of peatlands, much attention has been devoted to understanding the climatic and hydrologic conditions that affect peatland biogeochemistry. However, there are other aquatic systems that are widespread in the boreal forest that also process and store carbon, including lakes and ponds. Although non-peatland aquatic systems cover a much smaller portion of the boreal landscape, they still contain approximately 15% of the total carbon pool for the biome, much of it stored as either profundal or littoral sediments. Further, the carbon dynamics of boreal lakes are dynamically coupled to watershed processes. Excepting major disturbances to boreal catchments, such as forest fires and forest harvest, surface waters are the only locations of net loss of carbon to the atmosphere. Our objectives are to review what is known about factors that affect lake ecosystem carbon dynamics in the boreal forest and to identify areas of study that we deem to be profitable for forecasting the impacts of climate change on carbon pools and flux rates. We primarily focus on the boreal forest of North America, but recognize that our findings may also be relevant for boreal areas of Fennoscandia and Russia. The following research priorities are identified: (i) estimation of carbon pools in profundal and littoral sediments across the boreal forest, (ii) warming experiments that include quantification of ecosystem carbon dynamics in addition to measuring changes to aquatic food web structure, (iii) whole system experiments to understand the hydrologic and biogeochemical conditions by which allochthonous carbon is integrated into aquatic food webs, especially in the context of increased nutrient concentrations associated with a warmer, and possibly drier, climate, as forecast for the southern boreal forest, (iv) watershed-scale assessment of carbon budgets for lakes that straddle transitional zones between the boreal forest and prairie-parkland, temperate forest or tundra, to detect evidence of ecosystem migration, and (v) integration of lacustrine carbon pools and flux rates into carbon budgets at scales that range from local watersheds to the boreal forest biome.",2007,"","Environmental Reviews","15","","175-189","WOS:000253048300009","10.1139/A07-006","","#1078","Benoy 2007","Elliott Parsons (2024-08-27 08:52:15)(Select): 1 = yes (this is a review), 2 = yes (ecosystem migration is mentioned so flow is biotic, and climate change is considered), 3 = biodiversity is mentioned - see page 183, 4 = yes, within NA geography, 5 yes (see ecosystem migration, and as southern range of boreal forest is in US, this implies a shift over the border). Yes to this paper.; ","Biophysical; Transboundary unclear",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Future Evolution of Greenland's Marine-Terminating Outlet Glaciers","Catania, G. A.; Stearns, L. A.; Moon, T. A.; Enderlin, E. M.; Jackson, R. H.","Mass loss from the Greenland ice sheet (GrIS) has increased over the last two decades in response to changes in global climate, motivating the scientific community to question how the GrIS will contribute to sea-level rise on timescales that are relevant to coastal communities. Observations also indicate that the impact of a melting GrIS extends beyond sea-level rise, including changes to ocean properties and circulation, nutrient and sediment cycling, and ecosystem function. Unfortunately, despite the rapid growth of interest in GrIS mass loss and its impacts, we still lack the ability to confidently predict the rate of future mass loss and the full impacts of this mass loss on the globe. Uncertainty in GrIS mass loss projections in part stems from the nonlinear response of the ice sheet to climate forcing, with many processes at play that influence how mass is lost. This is particularly true for outlet glaciers in Greenland that terminate in the ocean because their flow is strongly controlled by multiple processes that alter their boundary conditions at the ice-atmosphere, ice-ocean, and ice-bed interfaces. Many of these processes change on a range of overlapping timescales and are challenging to observe, making them difficult to understand and thus missing in prognostic ice sheet/climate models. For example, recent (beginning in the late 1990s) mass loss via outlet glaciers has been attributed primarily to changing ice-ocean interactions, driven by both oceanic and atmospheric warming, but the exact mechanisms controlling the onset of glacier retreat and the processes that regulate the amount of retreat remain uncertain. Here we review the progress in understanding GrIS outlet glacier sensitivity to climate change, how mass loss has changed over time, and how our understanding has evolved as observational capacity expanded. Although many processes are far better understood than they were even a decade ago, fundamental gaps in our understanding of certain processes remain. These gaps impede our ability to understand past changes in dynamics and to make more accurate mass loss projections under future climate change. As such, there is a pressing need for (1) improved, long-term observations at the ice-ocean and ice-bed boundaries, (2) more observationally constrained numerical ice flow models that are coupled to atmosphere and ocean models, and (3) continued development of a collaborative and interdisciplinary scientific community. Plain Language Summary Increasing mass loss from the Greenland ice sheet (GrIS) in response to changes in global climate has motivated the scientific community to understand how much sea level rise will happen in the coming decades. Observations now indicate that the impact of a melting GrIS are more widespread than just sea-level rise and include changes to ocean properties and circulation, nutrient and sediment cycling, and ecosystem function. Major uncertainties still hamper accurate predictions of these impacts, particularly for outlet glaciers in Greenland that terminate in the ocean because their flow is strongly controlled by multiple processes that alter their boundary conditions at the ice-atmosphere, ice-ocean, and ice-bed interfaces. Many of these processes change on a range of overlapping timescales and are challenging to observe. Here we review the scientific progress in understanding how GrIS outlet glaciers respond to climate and how our understanding has changed over time as observations have increased. We conclude with recommendations for (1) improved, long-term observations at the ice- ocean and ice-bed boundaries, (2) more observationally-constrained ice flow models that are linked to atmosphere and ocean models, and (3) continued development of a collaborative and interdisciplinary scientific community.",2020,"FEB","JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE","125","2","","WOS:000519719500008","10.1029/2018JF004873","","#1932","Catania 2020","","Biophysical",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Arctic and boreal ecosystems of western North America as components of the climate system","Chapin, F. S.; McGuire, A. D.; Randerson, J.; Pielke, R.; Baldocchi, D.; Hobbie, S. E.; Roulet, N.; Eugster, W.; Kasischke, E.; Rastetter, E. B.; Zimov, S. A.; Running, S. W.","Synthesis of results from several Arctic and boreal research programmes provides evidence for the strong role of high-latitude ecosystems in the climate system. Average surface air temperature has increased 0.3 degreesC per decade during the twentieth century in the western North American Arctic and boreal forest zones. Precipitation has also increased, but changes in soil moisture are uncertain. Disturbance rates have increased in the boreal forest; for example, there has been a doubling of the area burned in North America in the past 20 years. The disturbance regime in tundra may not have changed. Tundra has a 3-6-fold higher winter albedo than boreal forest, but summer albedo and energy partitioning differ more strongly among ecosystems within either tundra or boreal forest than between these two biomes. This indicates a need to improve our understanding of vegetation dynamics within, as well as between, biomes. If regional surface warming were to continue, changes in albedo and energy absorption would likely act as a positive feedback to regional warming due to earlier melting of snow and, over the long term, the northward movement of treeline. Surface drying and a change in dominance from mosses to vascular plants would also enhance sensible heat flux and regional warming in tundra. In the boreal forest of western North America, deciduous forests have twice the albedo of conifer forests in both winter and summer, 50-80% higher evapotranspiration, and therefore only 30-50% of the sensible heat flux of conifers in summer. Therefore, a warming-induced increase in fire frequency that increased the proportion of deciduous forests in the landscape, would act as a negative feedback to regional warming. Changes in thermokarst and the aerial extent of wetlands, lakes, and ponds would alter high-latitude methane flux. There is currently a wide discrepancy among estimates of the size and direction of CO2 flux between high-latitude ecosystems and the atmosphere. These discrepancies relate more strongly to the approach and assumptions for extrapolation than to inconsistencies in the underlying data. Inverse modelling from atmospheric CO2 concentrations suggests that high latitudes are neutral or net sinks for atmospheric CO2, whereas field measurements suggest that high latitudes are neutral or a net CO2 source. Both approaches rely on assumptions that are difficult to verify. The most parsimonious explanation of the available data is that drying in tundra and disturbance in boreal forest enhance CO2 efflux. Nevertheless, many areas of both tundra and boreal forests remain net sinks due to regional variation in climate and local variation in topographically determined soil moisture. Improved understanding of the role of high-latitude ecosystems in the climate system requires a concerted research effort that focuses on geographical variation in the processes controlling land-atmosphere exchange, species composition, and ecosystem structure. Future studies must be conducted over a long enough time-period to detect and quantify ecosystem feedbacks.",2000,"DEC","Global Change Biology","6","","211-223","WOS:000166799900015","10.1046/j.1365-2486.2000.06022.x","","#2042","Chapin 2000","","Biophysical; Intervention; Perspective paper",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
