"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic"
"1","Trade-related food policies in a more volatile climate and trade environment*","Anderson, K.","Providing affordable access to enough healthy and safe food for an ever-more-affluent and growing world population has become more challenging in the face of climate change, rising income inequality and a more uncertain global trade environment. Agriculture is expected to contribute more, but is under pressure in both high-income and developing countries to do so more sustainably and inclusively. This paper reviews the roles of food policy in this changing setting. It begins by revisiting the case for keeping food markets open to international trade, investment and technology transfer, and concludes that openness is even more important, especially for developing countries, as the climate becomes warmer and more volatile. It then summarizes trade-related food policy developments globally in the 50 years prior to the global financial crisis, and in the price-spike periods since then. The current situation is calling for more action - including from agriculture - to mitigate climate change and biodiversity loss. The scope for re-purposing food policies to better meet these demands is then assessed. It proposes some alternatives to current measures that could better achieve national societal objectives while simultaneously benefitting the rest of the world in terms of easing natural resource and environmental stresses and reducing national and global poverty, food and nutrition insecurity, and inequalities in income, wealth and health. The review concludes by noting areas where further research could facilitate such transformations in food policies.",2022,"MAY","Food Policy","109","","","WOS:000806138100005","10.1016/j.foodpol.2022.102253","","#445","Anderson 2022","Tyler McIntosh (2024-08-28 08:29:02)(Select): tagging as human movement since that full section title is human movement & trade; Tyler McIntosh (2024-08-28 08:28:29)(Select): c1: yes
c2: Kind of? Evidence of climate driving changes in restrictions & policy(sentences like this: """"These two reasons for governments to alter border restrictions (to insulate the domestic market from international price volatility, or to ensure enough supplies in the wake of a domestic production shortfall) are likely to be invoked more in future insofar as climate change adds to market instability""""), with implicit impacts on subsequent movement of food via trade
c3: yes - actually includes a paragraph about openness to trade impacting biodiversity
c4: kind of - global, includes some mentions of N.Am & US
c5: yes - trade policies in US would certainly impact flows from Mexico & other countries; ","Human movement; Sociocultural; Transboundary unclear",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"2","Review of climate change adaptation and mitigation implementation in Canada's forest ecosystems part II: successes and barriers to effective implementation","Antwi, E. K.; Burkhardt, H.; Boakye-Danquah, J.; Doucet, T.; Abolina, E.","With its northern location, the exposure and vulnerability of Canada's forest ecosystems to climate change impacts are all too glaring. While there is now an extensive body of literature describing expected climate change impacts and potential responses, studies characterizing the implementation of adaptation and mitigation practices in forest management remain rare in the Canadian forest sector. Using a systematic literature review, we examined reports on forest management practices implemented in response to climate change, specifically focusing on governance and institutional arrangements that either support or limit climate change adaptation and mitigation responses. Our literature sample size of 24 documents suggests that the body of literature reporting on adaptation and mitigation practices in forest management is scarce. Governments remain the dominant actors providing funding and leading the implementation and reporting of climate change adaptation practices, primarily in response to national or international climate change commitments. Forest practices such as enhanced silviculture, assisted migration, and nature -based solutions were the most frequently reported. However, given the scarcity of literature, it is difficult to conclude the scope of climate change adaptation practice uptake in Canada. Barriers such as lack of information/data, inter -jurisdictional knowledge transfer, policy conflicts, forest tenure models, technical capacity gaps, and economic barriers to adaptation need to be overcome to strengthen climate change response in forest management. Better coordination of reporting at the provincial and national levels and improved information flows between private sector organizations and governments are needed.",2024,"MAR","Environmental Reviews","32","1","42-67","WOS:001161460100001","10.1139/er-2022-0131","","#514","Antwi 2024","Tyler McIntosh (2024-10-23 07:47:18)(Select): on transboundary information flow: """"Our results suggest that the majority (54%) of all practices
were informed by other studies, particularly from the United
States""""; ","Biotic; Intervention; Sociocultural; Transboundary unclear",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"3","The Triple Challenge: synergies, trade-offs and integrated responses for climate, biodiversity, and human wellbeing goals","Baldwin-Cantello, W.; Tickner, D.; Wright, M.; Clark, M.; Cornelius, S.; Ellis, K.; Francis, A.; Ghazoul, J.; Gordon, J. E.; Matthews, N.; Milner-Gulland, E. J.; Smith, P.; Walmsley, S.; Young, L.","Humankind faces a Triple Challenge: averting dangerous climate change, reversing biodiversity loss, and supporting the wellbeing of a growing population. Action to address each of these issues is inherently dependent on action to address the others. Local, national, and international policy goals on climate change, biological diversity, and human wellbeing have been set. Current implementation measures are insufficient to meet these goals, but the Triple Challenge can still be met if governments, corporations, and other stakeholders take a holistic perspective on management of land and waters. To inform this effort, we identify a set of priority policy responses drawn from recent international assessments that, whilst not being the only potential solutions, can form the core of such a holistic approach. We do this through an iterative process using three methodological approaches: (i) structured literature review; (ii) deliberative expert analysis; and (iii) wider consultation, before synthesizing into this paper. Context-appropriate implementation of responses will be needed to capitalize on potential policy synergies and to ensure that unavoidable trade-offs between management of land and waters for climate mitigation, biodiversity restoration, and human wellbeing outcomes are made explicit. We also set out four approaches to managing trade-offs that can promote fair and just transitions: (1) social and economic policy pivoting towards 'inclusive wealth'; (2) more integrated policymaking across the three areas; (3) 'Triple Challenge dialogues' among state and non-state actors; and (4) a new research portfolio to underpin (1), (2), and (3).Key policy insights:Multiple recent global assessments provide a strong scientific basis for action on each of the three aspects of the Triple Challenge - climate, biodiversity, and human wellbeing (with a focus on food and nutrition) - but they do not provide an integrated perspective on how to address them simultaneously.Synthesis of these assessments identifies a portfolio of five core policy responses that deliver across the Triple Challenge: (i) rapidly cutting fossil fuel use; (ii) promoting sustainable, healthy diets; (iii) increasing food productivity and cutting food loss and waste; (iv) implementing nature-based solutions at scale; and (v) strengthening governance and management of land and waters.Even with widespread implementation of that portfolio, trade-offs between climate, biodiversity, and wellbeing outcomes might be unavoidable. Policymakers, researchers, and other actors should explicitly identify such trade-offs, and take steps to ensure management priorities are set through equitable dialogue processes informed by integrated research.",2023,"JUL 3","Climate Policy","23","6","782-799","WOS:000941945600001","10.1080/14693062.2023.2175637","","#797","Baldwin-Cantello 2023","","Biotic; Human movement; Sociocultural; Transboundary unclear",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"4","A one hundred year review of the socioeconomic and ecological systems of Lake St. Clair, North America","Baustian, M. M.; Mavrommati, G.; Dreelin, E. A.; Esselman, P.; Schultze, S. R.; Qian, L. L.; Aw, T. G.; Luo, L. F.; Rose, J. B.","There is a growing concern about continued impairment of aquatic ecosystems resulting from increasing population size, land use, climate change, and the feedbacks that may harm human well-being. We describe a 100 year multi-disciplinary overview of changes in Lake St. Clair, North America to identify knowledge gaps and needs to build the foundation for creating coupled human and natural system models. Our historical analysis indicates that the socioeconomic dynamics are inextricably linked to the urban dynamics of the Detroit metropolitan area. Environmental degradation and human health issues led to the adoption of relevant policies, including construction of wastewater treatment facilities by the 1960s. Climate trends during the 100-year period indicate a wetter region, which is influencing lake levels. Since the mid-1980s and 90s invasive zebra and quagga mussels (Dreissena polymorpha and Dreissena rostriformis bugenis) have significantly altered the ecological. structure and function of the lake. Waterborne illnesses due to contaminated drinking water were once an issue but current human health risks have shifted to contaminated recreational waters and coastal pollution. Key research needs for building coupled models include geo-referencing socioeconomic and ecological data to accurately represent the processes occurring within the political and watershed boundaries; assessing ecosystem services for human well-being; and developing research hypotheses and management options regarding interactions among land use, people and the lake. Lake St. Clair has gone through extensive changes, both socioeconomically and ecologically over the last 100 years and we suggest that it serves as a useful case study for the larger Great Lakes region. (C) 2013 International Association for Great Lakes Research. Published by Elsevier B.V. All rights reserved.",2014,"MAR","Journal of Great Lakes Research","40","1","15-26","WOS:000333549100002","10.1016/j.jglr.2013.11.006","","#959","Baustian 2014","Anna LoPresti (2024-08-10 07:05:06)(Select): Lake st. clair crosses the US-canadian border so its transboundary;","Biotic; Sociocultural; Transboundary unclear",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"5","PROTECTING BIODIVERSITY IN COASTAL ENVIRONMENTS - INTRODUCTION AND OVERVIEW","Beatley, T.","Much less attention has been paid in recent years to the threats to coastal and marine biodiversity, compared to biodiversity in more terrestrial habitats. The tremendous biodiversity at risk and the severity and magnitude of the pressures being exerted on coastal habitats suggest the need for much greater attention to be focused here by both the policy and scientific communities. The threats to coastal biodiversity are numerous and include air and water pollution; over exploitation and harvesting; the introduction of exotic species; the dramatic loss of habitat due to urbanization, agricultural expansion, and other land use changes; and the potentially serious effects of global climate change. These threats suggest the need for swift action at a number of jurisdictional and governmental levels. Major components of such an effort are identified and described. These include the need for comprehensive management approaches, the expansion of parks and protected areas, restoration and mitigation, multinational and international initiatives, and efforts to promote sustainable development and sustainable lifestyles. Suggestions for future research are also provided.",1991,"JAN-MAR","COASTAL MANAGEMENT","19","1","1-19","WOS:A1991FT24300001","10.1080/08920759109362128","","#974","Beatley 1991","Kyle Manley (2024-10-23 07:04:44)(Select): I think the most ambiguous criteria for this paper is the flow aspect, but I would consider the emphasis on transboundary cooperation on conservation and management in response to climate driven impacts as sociocultural transboundary flow; ","Perspective paper; Potentially relevant; Sociocultural",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","A regional integrated assessment of the impacts of climate change and of the potential adaptation avenues for Quebec?s forests","Boulanger, Y.; Puigdevall, J. P.; Belisle, A. C.; Bergeron, Y.; Brice, M. H.; Cyr, D.; De Grandpre, L.; Fortin, D.; Gauthier, S.; Grondin, P.; Labadie, G.; Leblond, M.; Marchand, M.; Splawinski, T. B.; St-Laurent, M. H.; Thiffault, E.; Tremblay, J. A.; Yamasaki, S. H.","Regional analyses assessing the vulnerabilities of forest ecosystems and the forest sector to climate change are key to con -sidering the heterogeneity of climate change impacts as well as the fact that risks, opportunities, and adaptation capacities might differ regionally. Here we provide the Regional Integrated Assessment of climate change on Quebec's forests, a work that involved several research teams and focused on climate change impacts on Quebec's commercial forests and on potential adaptation solutions. Our work showed that climate change will alter several ecological processes within Quebec's forests. These changes will result in important modifications in forest landscapes. Harvest will cumulate with climate change effects to further alter future forest landscapes, which will also have consequences on wildlife habitats (including woodland caribou habitat), avian biodiversity, carbon budget, and a variety of forest landscape values for Indigenous peoples. The adaptation of the forest sector will be crucial to mitigate the impacts of climate change on forest ecosystem goods and services and improve their resilience. Moving forward, a broad range of adaptation measures, notably through reducing harvest levels, should be explored to help strike a balance among social, ecological, and economic values. We conclude that without climate adaptation, strong negative economic and ecological impacts will likely affect Quebec's forests.",2023,"AUG","Canadian Journal of Forest Research","53","8","556-578","WOS:000971012800001","10.1139/cjfr-2022-0282","","#1409","Boulanger 2023","","Biotic; Sociocultural; Transboundary unclear",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"7","Linking smallholder farmer climate change adaptation decisions to development","Burnham, M.; Ma, Z.","This paper synthesizes peer-reviewed literature on smallholders' adaptation to climate change in developing countries. The synthesis shows that multiple definitions of adaptation were used across studies, resulting in a conceptual murkiness that is a barrier to generalizing the findings to inform planned adaptation policies and projects. By using a seven-category typology to classify and compare smallholder farmer adaptations across communities, the synthesis shows that in order to reduce their vulnerability smallholder farmers have mostly taken action on environmental management and diversified their livelihoods through market exchange. Some have engaged in labour migration. Very few have pursued communal pooling, storage, or mobility as risk-reducing strategies. Despite the increasing recognition that adaptation is driven by multiple stressors, less than half of the adaptation studies included discussions of multiple stressors. The synthesis points to the need for (1) improved methodological clarity in climate change adaptation research, (2) more research on labour migration and climate change interactions, (3) more research to determine the conceptual and practical significance of communal pooling and storage as risk-reducing strategies, (4) the incorporation of the assessment of multiple stressors into climate change adaptation research and policy, and (5) more empirical research on what adaptive strategies are not adopted by smallholder farmers and why.",2016,"","Climate and Development","8","4","289-311","WOS:000380276700001","10.1080/17565529.2015.1067180","","#1676","Burnham 2016","Tyler McIntosh (2024-08-20 01:56:47)(Select): Adding sociocultural tag: significant focus of the paper on shifting smallholder behaviors and decision making (i.e. adaptation) in response to climate change. One could assume that new land management and agricultural adaptation strategies adopted by smallholders must be coming from somewhere, indicating a socio-cultural flow. There is also a mention of labour migration in Central America potentially determining the most appropriate types of adaptation projects, which have direct environmental impacts. There is mention of market exchange, indicating trade-oriented flow as well. ; ","Human movement; Sociocultural",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"8","Wealth, water and wildlife: Landscape aridity intensifies the urban luxury effect","Chamberlain, D.; Reynolds, C.; Amar, A.; Henry, D.; Caprio, E.; Batáry, P.","Aim Urban biodiversity, and its associated ecosystem services, is an important component of the quality of life of urban residents. The """"luxury effect"""" posits a positive association between biodiversity and socioeconomic status in urban areas, and is thus reflective of environmental injustice, as the benefits associated with biodiversity are not equitably shared across society. We aimed to determine the generality of the luxury effect, and to identify the factors causing its variation across published studies. Location Urbanized landscapes globally. Time period Current. Major taxa studied Terrestrial animals and plants. Methods We tested the luxury effect across a sample of 337 estimates of the relationship between biodiversity measures and socioeconomic status from 96 studies via a meta-analysis, addressing three hypotheses: (a) the luxury effect is more pronounced where water availability is limited, (b) the luxury effect is more pronounced in developing than developed countries, (c) the luxury effect is stronger in exotic compared to native species. Results There was a significant overall luxury effect: there was a positive association between terrestrial biodiversity measures and socioeconomic status. The strength of the luxury effect was greater in arid areas. There was limited support for a stronger luxury effect in exotic species, but no support for any association with development status. Main conclusions Many key and emerging climate impacts are concentrated in urban areas. Therefore, the degree of environmental injustice represented by the luxury effect may be amplified in the future, especially in arid regions. The objective to increase urban biodiversity through more equitable management and provision of water resources could form part of a wider strategy for sustainable development of cities to promote environmental justice, enhancing the quality of life of urban residents across all sectors of society. Challenges remain to ensure that any such strategy prioritizes conservation goals for native biodiversity.",2020,"SEP","Global Ecology and Biogeography","29","9","1595-1605","WOS:000538931000001","10.1111/geb.13122","","#1994","Chamberlain 2020","DAVID GONZALEZ (2024-08-21 12:44:17)(Select): No clear mention of North America, but given that it addresses developed and developing countries it might contain North American countries and transboundary interpretations. ; ","Sociocultural; Transboundary unclear",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Knowledge Translation Supports Community Conservation Efforts to Protect and Restore a Local Marine Environment: A Case Study of Atl'ka7tsem/Txwnewu7ts/Howe Sound, British Columbia, Canada","Chapman, J.; Dearden, A.; Miller, A.","Individuals, communities, organizations, and governments are the building blocks of economies. All require awareness, information, and achievable actions to contribute to moving towards healthy oceans, the base of a robust blue economy. Ocean Watch, a program run by Ocean Wise Conservation Association, was created to translate scientific understanding, combined with community and traditional knowledge, to empower local action for improved marine health. Clear improvements have been made in the Atl'ka7tsem/Txwnewu7ts/Howe Sound marine environment, which have been captured in an updated report following from the original 2017 publication. Information within the reports illustrates the connection of communities and the marine environment through articles describing seven themes, which are: (1) Species and Habitat; (2) Clean Water; (3) Sense of Place; (4) Coastal Development and Livelihoods; (5) Stewardship and Governance; (6) Oceanography and Climate Change; and (7) Seafood. Articles such as the 2017 article: """"Sea Stars: wasting disease taking its toll"""" gave background, rationale for importance, current status, current actions, and recommended actions to improve the health status (healthy, caution, critical, limited/no data). The health status for 10 of 28 reassessed articles improved largely due to actions taken by local communities, as recommended in the 2017 report. However, more work is needed, especially for areas of marine health that were not improving and to address threats from climate change. Establishing a sustainable socio-ecological relationship with the ocean is necessary if we are to protect and restore the health of all components of the ecosystem. Empowering communities to take action improves ocean health, which is inherently linked to the health of individuals, communities, and economies.",2020,"OCT","Journal of Marine Science and Engineering","8","10","","WOS:000586942400001","10.3390/jmse8100739","","#2046","Chapman 2020","Laura  Dee (2024-08-14 06:15:32)(Select): Example of transboundary with indigenous and other -- """"Within the area there are ten local governing bodies (i.e., Bowen Island Municipality, Town of Gibsons, Village of Lions Bay, District of Squamish, District of West Vancouver, Resort Municipality of Whistler, Gambier Island Local Trust Committee, Sunshine Coast Regional District, Squamish-Lillooet Regional District, Metro Vancouver) and First Nations (i.e., Sḵwx̱wú7mesh Úxwumixw/Squamish Nation). All connect to and impact the local marine environment; therefore, collaboration is necessary for ocean health. However, cohesive action across diverse groups is challenging. At the local government level, the Howe Sound Community Forum (HSCF) was established in 2000, comprising representatives of local governments, to “provide a forum for local governments, Regional Districts and First Nations discussion to maintain and enhance the economic, environmental, cultural and social well being of the Howe Sound for the benefit of present and future generations” [10]. The Ocean Watch Howe Sound (OWHS) 2017 report supported this vision by providing a single source of evidence-based information regarding the health of the local marine environment [11]. """" ; ","Sociocultural; Transboundary unclear",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Climate impacts on migration in the Arctic North America: existing evidence and research recommendations","Chi, G. Q.; Zhou, S.; Mucioki, M.; Miller, J.; Korkut, E.; Howe, L.; Yin, J. J.; Holen, D.; Randell, H.; Akyildiz, A.; Halvorsen, K. E.; Fowler, L.; Ford, J.; Tickamyer, A.","The Arctic is experiencing a rapid temperature increase, four times faster than lower-latitude regions, disproportionately affecting rural, coastal, and Indigenous communities. These areas confront multiple urgent climate challenges. Adaptation strategies encompass out-migration, community relocation, and enhancing resilience, yet research in this critical area is notably limited, particularly for the most vulnerable communities. This paper presents a comprehensive review of environmental stressors and contextual factors influencing migration decisions in the North American Arctic. While migration is primarily driven by job opportunities, education, healthcare, cultural, and infrastructural factors, factors such as family, culture, safety, subsistence life, and community ties strongly influence residents to stay. The study reveals a lack of clear evidence for climate-driven migration at the individual/household level, but it underscores well-documented community-level relocations. Two major challenges in studying Arctic climate migration are identified: the complexity of migration and the uniqueness of Arctic climate change. Recommendations include considering migration typology, disentangling climate drivers from contextual factors, and addressing data limitations through systematic collection, integration, and creative use of traditional and nontraditional data. The paper underscores the importance of establishing partnerships with local communities to achieve a holistic understanding of factors driving migration or immobility, ensuring research outcomes are connected to addressing community challenges. This review lays the groundwork for empirical research on Arctic migration and community adaptation, aiming to comprehend the challenges faced by these communities and explore potential solutions.",2024,"JUN","Regional Environmental Change","24","2","","WOS:001184613600002","10.1007/s10113-024-02212-9","","#2209","Chi 2024","","Human movement; Sociocultural",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
