"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic"
"1","Global agricultural intensification during climate change: a role for genomics","Abberton, M.; Batley, J.; Bentley, A.; Bryant, J.; Cai, H. W.; Cockram, J.; Costa de Oliveira, A.; Cseke, L. J.; Dempewolf, H.; De Pace, C.; Edwards, D.; Gepts, P.; Greenland, A.; Hall, A. E.; Henry, R.; Hori, K.; Howe, G. T.; Hughes, S.; Humphreys, M.; Lightfoot, D.; Marshall, A.; Mayes, S.; Nguyen, H. T.; Ogbonnaya, F. C.; Ortiz, R.; Paterson, A. H.; Tuberosa, R.; Valliyodan, B.; Varshney, R. K.; Yano, M.","Agriculture is now facing the perfect storm' of climate change, increasing costs of fertilizer and rising food demands from a larger and wealthier human population. These factors point to a global food deficit unless the efficiency and resilience of crop production is increased. The intensification of agriculture has focused on improving production under optimized conditions, with significant agronomic inputs. Furthermore, the intensive cultivation of a limited number of crops has drastically narrowed the number of plant species humans rely on. A new agricultural paradigm is required, reducing dependence on high inputs and increasing crop diversity, yield stability and environmental resilience. Genomics offers unprecedented opportunities to increase crop yield, quality and stability of production through advanced breeding strategies, enhancing the resilience of major crops to climate variability, and increasing the productivity and range of minor crops to diversify the food supply. Here we review the state of the art of genomic-assisted breeding for the most important staples that feed the world, and how to use and adapt such genomic tools to accelerate development of both major and minor crops with desired traits that enhance adaptation to, or mitigate the effects of climate change.",2016,"APR","Plant Biotechnology Journal","14","4","1095-1098","WOS:000373069400004","10.1111/pbi.12467","","#19","Abberton 2016","","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","The Importance of Water Availability to Bats: Climate Warming and Increasing Global Aridity","Adams, R. A.; Hayes, M. A.; Lim, B. K.; Fenton, M. B.; Brigham, R. M.; Mistry, S.; Kurta, A.; Gillam, E. H.; Russell, A.; Ortega, J.","Environmental change due to climate warming is accelerating in most of the world's arid regions, pushing already xeric ecosystems towards drier conditions and expanding desert landscapes. These changes will alter community structures and species interactions globally. Because many arid regions, especially semi-arid zones, are relatively high in bat species richness, reactions of bat populations to increasing and intensifying droughts will affect food web dynamics and ecosystem services on nearly every continent. Although there is evidence that some species have preadaptations for surviving decreasing available water resources in arid regions, many species may succumb to the pace of climate warming and landscape xerification. As drought and aridity increase, many drinking sources will inevitably be lost, increasing competition for progressively limited resources, thereby affecting bats during the reproductive season when they are most vulnerable. Herein, we review how climate warming and increasing drought are currently altering bat population dynamics and model future viability of some species and populations. Documented declines in some bat populations, reductions in species richness, and changes in distributional ranges are already occurring in hardest hit areas and some models have been developed to predict future outcomes for bats living on the leading edge of climate disruption.",2021,"","50 YEARS OF BAT RESEARCH: Foundations and New Frontiers","","","105-120","WOS:000747823400011","10.1007/978-3-030-54727-1_710.1007/978-3-030-54727-1","","#96","Adams 2021","","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","A Review of Potential Impacts of Climate Change on Coffee Cultivation and Mycotoxigenic Fungi","Adhikari, M.; Isaac, E. L.; Paterson, R. R. M.; Maslin, M. A.","Coffee is one of the most traded commodities in the world. It plays a significant role in the global economy, employing over 125 million people. However, it is possible that this vital crop is threatened by changing climate conditions and fungal infections. This paper reviews how suitable areas for coffee cultivation and the toxigenic fungi species of Aspergillus, Penicillium, and Fusarium will be affected due to climate change. By combining climate models with species distribution models, a number of studies have investigated the future distribution of coffee cultivation. Studies predict that suitable coffee cultivation area could drop by similar to 50% under representation concentration pathway (RCP) 6.0 by 2050 for both Arabica and Robusta. These findings agree with other studies which also see an altitudinal migration of suitable cultivation areas to cooler regions, but limited scope for latitudinal migration owing to coffee's inability to tolerate seasonal temperature changes. Increased temperatures will see an overall increase in mycotoxin production such as aflatoxins, particularly in mycotoxigenic fungi (e.g., Aspergillus flavus) more suited to higher temperatures. Arabica and Robusta's limited ability to relocate means both species will be grown in less suitable climates, increasing plant stress and making coffee more susceptible to fungal infection and mycotoxins. Information regarding climate change parameters with respect to mycotoxin concentrations in real coffee samples is provided and how the changed climate affects mycotoxins in non-coffee systems is discussed. In a few areas where relocating farms is possible, mycotoxin contamination may decrease due to the """"parasites lost"""" phenomenon. More research is needed to include the effect of mycotoxins on coffee under various climate change scenarios, as currently there is a significant knowledge gap, and only generalisations can be made. Future modelling of coffee cultivation, which includes the influence of atmospheric carbon dioxide fertilisation and forest management, is also required; however, all indications show that climate change will have an extremely negative effect on future coffee production worldwide in terms of both a loss of suitable cultivation areas and an increase in mycotoxin contamination.",2020,"OCT","Microorganisms","8","10","","WOS:000585269900001","10.3390/microorganisms8101625","","#106","Adhikari 2020","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","The freezer defrosting: global warming and litter decomposition rates in cold biomes","Aerts, R.","1 Decomposition of plant litter, a key component of the global carbon budget, is hierarchically controlled by the triad: climate > litter quality > soil organisms. Given the sensitivity of decomposition to temperature, especially in cold biomes, it has been hypothesized that global warming will lead to increased litter decomposition rates, both through direct temperature effects and through indirect effects on litter quality and soil organisms. 2 A meta-analysis of experimental warming studies in cold biomes (34 site-species combinations) showed that warming resulted in slightly increased decomposition rates. However, this response was strongly dependent on the method used: open top chambers reduced decomposition rates, whereas heating lamps stimulated decomposition rates. The low responsiveness was mainly due to moisture-limited decomposition rates in the warming treatments, especially at mesic and xeric sites. This control of litter decomposition by both temperature and moisture was corroborated by natural gradient studies. 3 Interspecific differences in litter quality and decomposability are substantially larger than warming-induced phenotypic responses. Thus, the changes in the species composition and structure of plant communities that have been observed in medium-term warming studies in cold biomes will have a considerably greater impact on ecosystem litter decomposition than phenotypic responses. 4 Soil fauna communities in cold biomes are responsive to climate warming. Moreover, temperature-driven migration of the, hitherto absent, large comminuters to high-latitude sites may significantly increase decomposition rates. However, we do not know how far-reaching the consequences of changes in the species composition and structure of the soil community are for litter decomposition, as there is a lack of data on functional species redundancy and the species' dispersal ability. 5 Global warming will lead to increased litter decomposition rates only if there is sufficient soil moisture. Hence, climate scenario and experimental studies should focus more on both factors and their interaction. As interspecific differences in potential decomposability and litter chemistry are substantially larger than phenotypic responses to warming, the focus of future research should be on the former. In addition, more light should be shed on the below-ground 'darkness' to evaluate the ecological significance of warming-induced soil fauna community changes for litter decomposition processes in cold biomes.",2006,"JUL","JOURNAL OF ECOLOGY","94","4","713-724","WOS:000237972700001","10.1111/j.1365-2745.2006.01142.x","","#120","Aerts 2006","","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","A Systematic Review of the Effects of Temperature on <i>Anopheles</i> Mosquito Development and Survival: Implications for Malaria Control in a Future Warmer Climate","Agyekum, T. P.; Botwe, P. K.; Arko-Mensah, J.; Issah, I.; Acquah, A. A.; Hogarh, J. N.; Dwomoh, D.; Robins, T. G.; Fobil, J. N.","The rearing temperature of the immature stages can have a significant impact on the life-history traits and the ability of adult mosquitoes to transmit diseases. This review assessed published evidence of the effects of temperature on the immature stages, life-history traits, insecticide susceptibility, and expression of enzymes in the adult Anopheles mosquito. Original articles published through 31 March 2021 were systematically retrieved from Scopus, Google Scholar, Science Direct, PubMed, ProQuest, and Web of Science databases. After applying eligibility criteria, 29 studies were included. The review revealed that immature stages of An. arabiensis were more tolerant (in terms of survival) to a higher temperature than An. funestus and An. quadriannulatus. Higher temperatures resulted in smaller larval sizes and decreased hatching and pupation time. The development rate and survival of An. stephensi was significantly reduced at a higher temperature than a lower temperature. Increasing temperatures decreased the longevity, body size, length of the gonotrophic cycle, and fecundity of Anopheles mosquitoes. Higher rearing temperatures increased pyrethroid resistance in adults of the An. arabiensis SENN DDT strain, and increased pyrethroid tolerance in the An. arabiensis SENN strain. Increasing temperature also significantly increased Nitric Oxide Synthase (NOS) expression and decreased insecticide toxicity. Both extreme low and high temperatures affect Anopheles mosquito development and survival. Climate change could have diverse effects on Anopheles mosquitoes. The sensitivities of Anopeheles mosquitoes to temperature differ from species to species, even among the same complex. Notwithstanding, there seem to be limited studies on the effects of temperature on adult life-history traits of Anopheles mosquitoes, and more studies are needed to clarify this relationship.",2021,"JUL","International Journal of Environmental Research and Public Health","18","14","","WOS:000677349100001","10.3390/ijerph18147255","","#154","Agyekum 2021","Anna LoPresti (2024-08-10 06:47:59)(Select): some of the papers reviewed are from north america (see figure 2). paper touches on northward shifting disease vectors, transboundary in North America is implicit but not explicit; ","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","The Acadian Forest of New Brunswick in the 21st century what shifting heat and water balance imply for future stand dynamics and management","Albert, C.; Taylor, A. R.; Logan, T.; D'Orangeville, L.","Climate change is altering the dynamics of New Brunswick's forests. To mitigate the effects of climate change, it is cru-cial to account for future uncertainties in climate projections and natural disturbance trajectories when designing forestry practices. This paper presents the projected changes in key climatic drivers for New Brunswick's forests, examines the im-pacts of climate change on forest stand dynamics, and reviews adaptive silviculture tools for climate change adaptation. By 2071-2100, a projected 4-6 degrees C increase in mean annual temperature will lead to a 39%-77% rise in growing degree-days and a reduction in summer atmospheric water balance by 48-79 mm across New Brunswick. Foresters should anticipate a doubling of annual area burned, the northward migration of spruce budworm (Choristoneura fumiferana (Clemens)), and the introduction of novel insects and diseases. Forest simulation models project a severe decline in boreal tree species abundance, including a 50% decline in balsam fir (Abies balsamea (L.) Mill) and black spruce (Picea mariana (Mill.) Britton et al.), offset by an increase in temperate species, notably red maple (Acer rubrum L.; +200%) and American beech (Fagus grandifolia Ehrh; +135%). Forests in the highlands and lowlands ecoregions, with 40%-50% and 15%-30% spruce and balsam fir composition, respectively, are particularly vulnerable. To limit climate change effects on forest values, foresters must prioritize climate resiliency in their management plans. Strategies should ensure the steady provision of forest goods and services under changing climatic conditions. Forest thinning enhances stand productivity and resilience, while shelterwood and two-age harvest balances timber production with diversity. Clearcutting, despite drawbacks, establishes younger, more vigorous forests with higher carbon se-questration potential. Assisted migration offers promise in helping threatened tree species adapt. Climate change will have a significant impact on New Brunswick's forests, leading to changes in key climatic drivers, increased risks of disturbances, and a shift toward more temperate tree species. However, there are existing adaptation strategies available. It is crucial to consider future uncertainties when designing and evaluating forestry practices, as this is essential for mitigating the effects of climate change on forest values and ensuring the continued provision of forest goods and services over time.",2023,"DEC","Environmental Reviews","31","4","690-706","WOS:001094677400001","10.1139/er-2022-0122","","#267","Albert 2023","Anna LoPresti (2024-08-13 09:30:01)(Select): partially a review, partially a modeling study. including, but the useful info may stem from the modeling and therefore have to decide if this meets the criteria of being a review; ","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","Habitat ecology of Nearctic-Neotropical migratory landbirds on the nonbreeding grounds","Albert, S.; Wolfe, J. D.; Kellerman, J.; Sherry, T.; Stutchbury, B. J. M.; Bayly, N. J.; Ruiz-Sánchez, A.","Of the approximately 716 bird species that breed in North America, 386 (54%) are considered Nearctic-Neotropical migrants by the U.S. Fish and Wildlife Service. In the past 50 yr, scores of these migratory species, including some once considered common, have declined dramatically. Nearctic-Neotropical migrants normally spend 6-8 months in tropical habitats, making the identification, availability, and management of Neotropical habitats critical issues for their conservation. Yet, for most species, complete and nuanced information about their use of tropical habitats and the relative effects of breeding vs. wintering conditions on survival, productivity, and population trends is not available, though many studies point to Neotropical overwintering habitats as being a strong driver of population change. Particularly important for long-distance Nearctic-Neotropical migrants is an understanding of how""""carry-over effects"""" arise and influence population trends when conditions on wintering grounds and tropical stopover areas affect subsequent reproductive performance on breeding grounds. For example, why some species show strong carry-over effects from tropical habitats while others do not is not fully understood. I n recent years, many studies have offered insights into these issues by taking advantage of new scientific methods and technological innovations. In this review, we explore threats facing North American breeding birds that migrate to the Neotropics, summarize knowledge of habitat selection and use on the wintering grounds, describe how conditions at one point in the annual cycle may manifest in subsequent seasons or life history stages, and discuss conservation concerns such as climate change and the potential for phenological mismatch.",2020,"NOV","Condor","122","4","","WOS:000612517800020","10.1093/condor/duaa055","","#269","Albert 2020","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Plant-virus interactions and the agro-ecological interface","Alexander, H. M.; Mauck, K. E.; Whitfield, A. E.; Garrett, K. A.; Malmstrom, C. M.","As a result of human activities, an ever-increasing portion of Earth's natural landscapes now lie adjacent to agricultural lands. This border between wild and agricultural communities represents an agro-ecological interface, which may be populated with crop plants, weeds of crop systems, and non-crop plants that vary from exotic to native in origin. Plant viruses are important components of the agro-ecological interface because of their ubiquity, dispersal by arthropod vectors, and ability to colonize both crop and wild species. Here we provide an overview of research on plant-virus dynamics across this interface and suggest three research priorities: (1) an increased effort to identify and describe plant virus diversity and distribution in its entirety across agricultural and ecological boundaries; (2) multi-scale studies of virus transmission to develop predictive power in estimating virus propagation across landscapes; and (3) quantitative evaluation of the influence of viruses on plant fitness and populations in environmental contexts beyond crop fields. We close by emphasizing that agro-ecological interfaces are dynamic, influenced by the human-mediated redistribution of plants, vectors, and viruses around the world, climate change, and the development of new crops. Consideration of virus interactions within these environmentally complex systems promises new insight into virus, plant, and vector dynamics from molecular mechanisms to ecological consequences.",2014,"MAR","European Journal of Plant Pathology","138","3","529-547","WOS:000331657800009","10.1007/s10658-013-0317-1","","#286","Alexander 2014","","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Likely Geographic Distributional Shifts among Medically Important Tick Species and Tick-Associated Diseases under Climate Change in North America: A Review","Alkishe, A.; Raghavan, R. K.; Peterson, A. T.","Simple Summary North America is considered as an area likely to be significantly affected by global warming, with climate change causing markedly warmer winter temperatures in the United States in recent decades. Ticks are sensitive to changes in ambient abiotic conditions and, therefore, climate: they are poikilothermic, with the life stages of each species requiring specific sets of environmental conditions for successful development and survival. Our review focuses on (1) identifying and exploring suitable areas for the eight medically important vector tick species in North America; (2) exploring whether and how species' distributions are likely to shift in coming decades in response to climate change, and in what ways; (3) and providing a picture on the status of the tick-associated diseases in North America from the present to the future. Ticks rank high among arthropod vectors in terms of numbers of infectious agents that they transmit to humans, including Lyme disease, Rocky Mountain spotted fever, Colorado tick fever, human monocytic ehrlichiosis, tularemia, and human granulocytic anaplasmosis. Increasing temperature is suspected to affect tick biting rates and pathogen developmental rates, thereby potentially increasing risk for disease incidence. Tick distributions respond to climate change, but how their geographic ranges will shift in future decades and how those shifts may translate into changes in disease incidence remain unclear. In this study, we have assembled correlative ecological niche models for eight tick species of medical or veterinary importance in North America (Ixodes scapularis, I. pacificus, I. cookei, Dermacentor variabilis, D. andersoni, Amblyomma americanum, A. maculatum, and Rhipicephalus sanguineus), assessing the distributional potential of each under both present and future climatic conditions. Our goal was to assess whether and how species' distributions will likely shift in coming decades in response to climate change. We interpret these patterns in terms of likely implications for tick-associated diseases in North America.",2021,"MAR","Insects","12","3","","WOS:000633782200001","10.3390/insects12030225","","#322","Alkishe 2021","","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","A global overview of drought and heat-induced tree mortality reveals emerging climate change risks for forests","Allen, C. D.; Macalady, A. K.; Chenchouni, H.; Bachelet, D.; McDowell, N.; Vennetier, M.; Kitzberger, T.; Rigling, A.; Breshears, D. D.; Hogg, E. H.; Gonzalez, P.; Fensham, R.; Zhang, Z.; Castro, J.; Demidova, N.; Lim, J. H.; Allard, G.; Running, S. W.; Semerci, A.; Cobb, N.","Greenhouse gas emissions have significantly altered global climate, and will continue to do so in the future. Increases in the frequency, duration, and/or severity of drought and heat stress associated with climate change could fundamentally alter the composition, structure, and biogeography of forests in many regions. Of particular concern are potential increases in tree mortality associated with climate-induced physiological stress and interactions with other climate-mediated processes such as insect outbreaks and wildfire. Despite this risk, existing projections of tree mortality are based on models that lack functionally realistic mortality mechanisms, and there has been no attempt to track observations of climate-driven tree mortality globally. Here we present the first global assessment of recent tree mortality attributed to drought and heat stress. Although episodic mortality occurs in the absence of climate change, studies compiled here suggest that at least some of the world's forested ecosystems already may be responding to climate change and raise concern that forests may become increasingly vulnerable to higher background tree mortality rates and die-off in response to future warming and drought, even in environments that are not normally considered water-limited. This further suggests risks to ecosystem services, including the loss of sequestered forest carbon and associated atmospheric feedbacks. Our review also identifies key information gaps and scientific uncertainties that currently hinder our ability to predict tree mortality in response to climate change and emphasizes the need for a globally coordinated observation system. Overall, our review reveals the potential for amplified tree mortality due to drought and heat in forests worldwide. Published by Elsevier B.V.",2010,"FEB 5","Forest Ecology and Management","259","4","660-684","WOS:000275014400002","10.1016/j.foreco.2009.09.001","","#326","Allen 2010","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
