"","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Biotic","Transboundary unclear","Biophysical","Intervention","Potentially relevant","save for other sections","Original_study"
"1","The ecological history of Lake Erie as recorded by the phytoplankton community","Allinger, L. E.; Reavie, E. D.","Lake Erie's water quality has fluctuated since European settlement due to cultural eutrophication and the effects of invasive species. Our attempts to understand the cause-and-effect linkages between observed ecosystem changes and various stressors are evolving. Non-indigenous species, pollutants, land-use and climate change that can alter a lake's physical and chemical environment can manifest rapid changes in community composition and abundance of phytoplankton. As such, for many decades researchers have used phytoplankton data from Lake Erie to track environmental changes. We provide a chronological account of previous and ongoing assessments of pelagic algae to summarize past and present environmental conditions of Lake Erie. This review necessarily focuses on diatom-based assessments as their preserved remains in sediments have been used to hind-cast human-induced impacts and recovery. Because of their uniqueness, this review summarizes where possible the long-term trends according to the western, central and eastern lake basins. Overall, this historical assessment summarizes a period of significant eutrophication throughout most of the 20th century, followed by water quality improvement due to nutrient reductions and establishment of filter-feeding dreissenids. Recent data suggest new issues associated with blooms of diatoms and blue-green algae. The challenges facing Lake Erie underline the need for continued monitoring and evaluation of historical records that will help us distinguish natural from anthropogenic changes, and to reveal the causes and extent of environmental insults in order to make management decisions. (C) 2013 International Association for Great Lakes Research. Published by Elsevier B.V. All rights reserved.",2013,"SEP","Journal of Great Lakes Research","39","3","365-382","WOS:000324843200001","10.1016/j.jglr.2013.06.014","","#333","Allinger 2013","","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Global climate change and contaminants-an overview of opportunities and priorities for modelling the potential implications for long-term human exposure to organic compounds in the Arctic","Armitage, J. M.; Quinn, C. L.; Wania, F.","This overview seeks to provide context and insight into the relative importance of different aspects related to global climate change for the exposure of Northern residents to organic contaminants. A key objective is to identify, from the perspective of researchers engaged in contaminant fate, transport and bioaccumulation modelling, the most useful research questions with respect to projecting the long-term trends in human exposure. Monitoring studies, modelling results, the magnitude of projected changes and simplified quantitative approaches are used to inform the discussion. Besides the influence of temperature on contaminant amplification and distribution, accumulation of organic contaminants in the Arctic is expected to be particularly sensitive to the reduction/elimination of sea-ice cover and also changes to the frequency and intensity of precipitation events (most notably for substances that are highly susceptible to precipitation scavenging). Changes to key food-web interactions, in particular the introduction of additional trophic levels, have the potential to exert a relatively high influence on contaminant exposure but the likelihood of such changes is difficult to assess. Similarly, changes in primary productivity and dynamics of organic matter in aquatic systems could be influential for very hydrophobic contaminants, but the magnitude of change that may occur is uncertain. Shifts in the amount and location of chemical use and emissions are key considerations, in particular if substances with relatively low long range transport potential are used in closer proximity to, or even within, the Arctic in the future. Temperature-dependent increases in emissions via (re)volatilization from primary and secondary sources outside the Arctic are also important in this regard. An increased frequency of boreal forest fires has relevance for compounds emitted via biomass burning and revolatilization from soil during/after burns but compound-specific analyses are limited by the availability of reliable emission factors. However, potentially more influential for human exposure than changes to the physical environment are changes in human behaviour. This includes the gradual displacement of traditional food items by imported foods from other regions, driven by prey availability and/or consumer preference, but also the possibility of increased exposure to chemicals used in packaging materials and other consumer products, driven by dietary and lifestyle choices.",2011,"JUN","Journal of Environmental Monitoring","13","6","1532-1546","WOS:000291403300001","10.1039/c1em10131e","","#572","Armitage 2011","Elliott Parsons (2024-11-06 08:14:52)(Select): This references biotransport - """"(ii) long-range
transport to the Arctic (including ‘biotransport’ with migrating
organisms),"""" and references species in a few places including new invasive species showing up. So implication is border crossing.; ","Biophysical",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"3","Large freshwater lakes: present state, trends, and future","Beeton, A. M.","The large freshwater lakes of the world are an extremely valuable resource, not only because 68% of the global liquid surface fresh water is contained in them, but because of their importance to the economies, social structure, and viability of the riparian countries. This review provides decision makers with the knowledge of large lakes (greater than or equal to500km(2)) essential to establishing policies and implementing strategies compatible with sustainable development. This is achieved by considering the present state of the lakes, the extent of changes and factors causing them, long-term consequences of these changes, major threats and possible states of the lakes into the year 2025. Case studies of lakes are presented, namely the St Lawrence Great Lakes of North America as representatives of glacial scour lakes of North America, northern Europe and Asia, and the African Great Lakes as representatives of tropical tectonic lakes. Lake Baikal is also included because it is unique for its species, great age, and largest single volume of liquid surface fresh water. The Aral Sea is further included because of the ecological disaster following diversion of water away from its basin. The major impacts on large lakes are diversions, eutrophication, invasive species, land-use change, overexploitation of resources, and pollution. These impacts can or do affect all the representative lakes, but to varying degree. The St Lawrence Great Lakes have been severely impacted by eutrophication, land-use change, overfishing, invasive species and pollution. Eutrophication has been reversed for these lakes and constraints are now in place on land use change, such as shoreline alteration and destruction of wetlands. With the demise of most commercial fishing, overfishing is no longer as important. Invasive species have become a major problem as increasingly non-indigenous species gain access to the takes. Pollution continues as a major impact. These problems are likely to continue and seriously impact use of the resources as well as bring about changes in the biota. Among the African Great Lakes, invasive species are a major problem in Lake Victoria, and eutrophication associated with land-use change and overexploitation of resources is a growing problem. Many endemic species have been lost and many are threatened, so that species associations will have changed by 2025. The Aral Sea continues to disappear and in the future, the remaining largest part of it will continue to become increasingly saline and eventually disappear. A small body of water will remain as a freshwater lake with a productive, although small, fishery. Lake Baikal shows evidence of pollution in the southern basin and is likely to be impacted by land-use changes, primarily logging. Some non-indigenous species are present, but so far, they are not a major problem. Overexploitation of resources in the watershed could lead to adverse impacts on inshore waters. Overfishing has been recognized and appears under control. The major threat to Baikal is continued and growing pollution. Climate change and pollution are global problems that will affect all lakes, large and small. At present, while some warming has occurred, climate change appears not to have impacted large lakes. Present studies on the Laurentian Great Lakes predict possible major impacts. Pollution, especially from persistent toxic substances such as PCBs, is a global problem. Diversion of water out or away from large lakes will become more of a threat as global human population growth continues and water supplies from rivers and ground water become depleted.",2002,"MAR","Environmental Conservation","29","1","21-38","WOS:000175924000003","10.1017/S0376892902000036","","#997","Beeton 2002","Elliott Parsons (2024-11-06 09:09:57)(Select): This is an old review and references 2025 as the future for future climate change impacts (next year!). I am going to include this as there is a reference to fish moving northward in the Great Lakes region. Though I almost did not include this - climate change is mentioned twice as not impacting large lakes as of yet.;","Biophysical; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"4","Climate change opens new frontiers for marine species in the Arctic: Current trends and future invasion risks","Chan, F. T.; Stanislawczyk, K.; Sneekes, A. C.; Dvoretsky, A.; Gollasch, S.; Minchin, D.; David, M.; Jelmert, A.; Albretsen, J.; Bailey, S. A.","Climate change and increased anthropogenic activities are expected to elevate the potential of introducing nonindigenous species (NIS) into the Arctic. Yet, the knowledge base needed to identify gaps and priorities for NIS research and management is limited. Here, we reviewed primary introduction events to each ecoregion of the marine Arctic realm to identify temporal and spatial patterns, likely source regions of NIS, and the putative introduction pathways. We included 54 introduction events representing 34 unique NIS. The rate of NIS discovery ranged from zero to four species per year between 1960 and 2015. The Iceland Shelf had the greatest number of introduction events (n = 14), followed by the Barents Sea (n = 11), and the Norwegian Sea (n = 11). Sixteen of the 54 introduction records had no known origins. The majority of those with known source regions were attributed to the Northeast Atlantic and the Northwest Pacific, 19 and 14 records, respectively. Some introduction events were attributed to multiple possible pathways. For these introductions, vessels transferred the greatest number of aquatic NIS (39%) to the Arctic, followed by natural spread (30%) and aquaculture activities (25%). Similar trends were found for introductions attributed to a single pathway. The phyla Arthropoda and Ochrophyta had the highest number of recorded introduction events, with 19 and 12 records, respectively. Recommendations including vector management, horizon scanning, early detection, rapid response, and a pan-Arctic biodiversity inventory are considered in this paper. Our study provides a comprehensive record of primary introductions of NIS for marine environments in the circumpolar Arctic and identifies knowledge gaps and opportunities for NIS research and management. Ecosystems worldwide will face dramatic changes in the coming decades due to global change. Our findings contribute to the knowledge base needed to address two aspects of global change-invasive species and climate change.",2019,"JAN","Global Change Biology","25","1","25-38","WOS:000453370700004","10.1111/gcb.14469","","#2001","Chan 2019","Anabel Kinsey (2024-11-24 05:21:49)(Select): As we are including papers from the Arctic, this is definitely relevant; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","The Decline and Impending Collapse of the Atlantic Salmon (Salmo salar) Population in the North Atlantic Ocean: A Review of Possible Causes","Dadswell, M.; Spares, A.; Reader, J.; McLean, M.; McDermott, T.; Samways, K.; Lilly, J.","Adult returns to many Atlantic salmon wild and hatchery stocks of the North Atlantic have declined or collapsed since 1985. Enhancement, commercial fishery closures, and angling restrictions have failed to halt the decline. Human impacts such as dams, pollution or marine overexploitation were responsible for some stock declines in the past, but adult returns to river and hatchery stocks with no obvious local impacts have also declined or collapsed since 1985. Multiple studies have postulated that the recent widespread occurrence of low adult returns may be caused by climate change, salmon farming, food availability at sea, or marine predators but these possibilities are unsupported by stocks that persist near historic levels, loss of stocks remote from farm sites, a diverse marine prey field, and scarcity of large offshore predators. The decline and collapse of stocks has common characteristics: 1) cyclic annual adult returns cease, 2) annual adult returns flatline, 3) adult mean size declines, and 4) stock collapses occurred earliest among watersheds distant from the North Atlantic Sub-polar Gyre (NASpG). Cyclic annual adult returns were common to all stocks in the past that were not impacted by anthropogenic changes to their natal streams. A flatline of adult abundance and reduction in adult mean size are common characteristics of many overexploited fish stocks and suggest illegal, unreported, and unregulated (IUU) fisheries exploitation at sea. Distance from the NASpG causing higher mortality of migrating post-smolts would increase the potential for collapse of these stocks from IUU exploitation. By-catch of post-smolts and adults in paired-trawl fisheries off Europe and intercept adult fisheries off Greenland, in the Gulf of St. Lawrence, and off Europe have been sources of marine mortality but seem unlikely to be the primary cause of the decline. Distribution in time and space of former, legal high-sea fisheries indicated fishers were well acquainted with the ocean migratory pattern of salmon and combined with lack of surveillance since 1985 outside Exclusive Economic Zones or in remote northern regions may mean high at-sea mortality occurs because of IUU fisheries. The problem of IUU ocean fisheries is acute, has collapsed numerous stocks of desired species worldwide, and is probably linked to the decline and impending collapse of the North Atlantic salmon population.",2022,"MAR 16","REVIEWS IN FISHERIES SCIENCE & AQUACULTURE","30","2","215-258","WOS:000668774600001","10.1080/23308249.2021.1937044","","#2660","Dadswell 2022","Elliott Parsons (2024-11-30 12:40:25)(Select): Review paper indicates that climate change is not responsible for collapse of salmon fisheries """"In our opinion climate change
research has failed to demonstrate a major regime
change in the North Atlantic on the scale of an El
Nino, and we know of no catastrophe that could have
caused the collapse of some Atlantic salmon populations
during the last 35 years."""" I think their evidence that it is not climate change is compelling so I am going to say no climate change impacts for this. Range shifts were mentioned as a future possibility twice, but with no current evidence.; ","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","Consequences of Shifts in Abundance and Distribution of American Chestnut for Restoration of a Foundation Forest Tree","Dalgleish, H. J.; Nelson, C. D.; Scrivani, J. A.; Jacobs, D. F.","Restoration of foundation species, such as the American chestnut (Castanea dentata) that was devastated by an introduced fungus, can restore ecosystem function. Understanding both the current distribution as well as biogeographic patterns is important for restoration planning. We used United States Department of Agriculture Forest Service Forest Inventory and Analysis data to quantify the current density and distribution of C. dentata. We then review the literature concerning biogeographic patterns in C. dentata. Currently, 431 +/- 30.2 million stems remain. The vast majority (360 +/- 22 million) are sprouts <2.5 cm dbh. Although this number is approximately 10% of the estimated pre-blight population, blight has caused a major shift in the size structure. The current-day population has a larger range, particularly west and north, likely due to human translocation. While climate change could facilitate northward expansion, limited seed reproduction makes this unlikely without assisted migration. Previous research demonstrates that the current, smaller population contains slightly higher genetic diversity than expected, although little information exists on biogeographic patterns in the genetics of adaptive traits. Our research provides a baseline characterization of the contemporary population of C. dentata, to enable monitoring stem densities and range limits to support restoration efforts.",2016,"JAN","Forests","7","1","","WOS:000369493400009","10.3390/f7010004","","#2684","Dalgleish 2016","Anabel Kinsey (2024-11-24 05:05:33)(Select): Figure 1 shows expansion into Ontario, definitely transboundary ; ","Biotic; Intervention; Transboundary unclear",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"7","Summary and synthesis of Changing Cold Regions Network (CCRN) research in the interior of western Canada - Part 2: Future change in cryosphere, vegetation, and hydrology","DeBeer, C. M.; Wheater, H. S.; Pomeroy, J. W.; Barr, A. G.; Baltzer, J. L.; Johnstone, J. F.; Turetsky, M. R.; Stewart, R. E.; Hayashi, M.; van der Kamp, G.; Marshall, S.; Campbell, E.; Marsh, P.; Carey, S. K.; Quinton, W. L.; Li, Y. P.; Razavi, S.; Berg, A.; McDonnell, J. J.; Spence, C.; Helgason, W. D.; Ireson, A. M.; Black, T. A.; Elshamy, M.; Yassin, F.; Davison, B.; Howard, A.; Thériault, J. M.; Shook, K.; Demuth, M. N.; Pietroniro, A.","The interior of western Canada, like many similar cold mid- to high-latitude regions worldwide, is undergoing extensive and rapid climate and environmental change, which may accelerate in the coming decades. Understanding and predicting changes in coupled climate-land-hydrological systems are crucial to society yet limited by lack of understanding of changes in cold-region process responses and interactions, along with their representation in most current-generation land-surface and hydrological models. It is essential to consider the underlying processes and base predictive models on the proper physics, especially under conditions of non-stationarity where the past is no longer a reliable guide to the future and system trajectories can be unexpected. These challenges were forefront in the recently completed Changing Cold Regions Network (CCRN), which assembled and focused a wide range of multi-disciplinary expertise to improve the understanding, diagnosis, and prediction of change over the cold interior of western Canada. CCRN advanced knowledge of fundamental cold-region ecological and hydrological processes through observation and experimentation across a network of highly instrumented research basins and other sites. Significant efforts were made to improve the functionality and process representation, based on this improved understanding, within the fine-scale Cold Regions Hydrological Modelling (CRHM) platform and the large-scale Modelisation Environmentale Communautaire (MEC) - Surface and Hydrology (MESH) model. These models were, and continue to be, applied under past and projected future climates and under current and expected future land and vegetation cover configurations to diagnose historical change and predict possible future hydrological responses. This second of two articles synthesizes the nature and understanding of cold-region processes and Earth system responses to future climate, as advanced by CCRN. These include changing precipitation and moisture feedbacks to the atmosphere; altered snow regimes, changing balance of snowfall and rainfall, and glacier loss; vegetation responses to climate and the loss of ecosystem resilience to wildfire and disturbance; thawing permafrost and its influence on landscapes and hydrology; groundwater storage and cycling and its connections to surface water; and stream and river discharge as influenced by the various drivers of hydrological change. Collective insights, expert elicitation, and model application are used to provide a synthesis of this change over the CCRN region for the late 21st century.",2021,"APR 9","Hydrology and Earth System Sciences","25","4","1849-1882","WOS:000639027600002","10.5194/hess-25-1849-2021","","#2886","DeBeer 2021","Elliott Parsons (2024-11-02 06:10:48)(Select): The maps show parts of the U.S., and the ecosystems being discussed certainly overlap at the border, but I could not find any mention of transboundary flows that specifically cross US/Canada borders. There are flows altered by climate change for sure. So it meets all the criteria except transboundary.; ","Biophysical; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"8","Climate Change and Biological Control in Agricultural Systems: Principles and Examples from North America","Eigenbrode, S. D.; Davis, T. S.; Crowder, D. W.","Biological control of pests is a key feature of integrated pest management programmes in many agroecosystems. An assessment of the potential impacts of climate change on biological control is critical but challenging, because biological control depends on inter-wspecific interactions, which are generally complex. This chapter considers the potential effects of projected climate change on the biological control of insect pests, focusing on North American agricultural systems but involving principles that apply globally. The drivers of importance are projected rising surface temperatures, increased atmospheric CO2 concentrations and changes in the amount of and variability in precipitation. We consider how these climate change drivers could affect biological control by: (i) directly affecting the physiology or behaviour of biological control agents and/or pests; (ii) changing the overlap between species in space and time; and (iii) modifying interactions among multiple species involved in biological control within the agroecosystem. We illustrate with the few North American documented examples of the sensitivity of biological control to climate change, or with data that indicate such sensitivities exist. Effects of the first type include increases in the occurrence of temperatures that exceed the thermal optima of natural enemies, such as those that have been documented for coccinellids. Effects of the second type include changes in phenological overlap between insect pests and their natural enemies, illustrated best by a recent report involving the cereal leaf beetle and its principal parasitoid. Effects of the third type include climate-related changes in plant responses to herbivory that influence natural enemies, to the effects of climate on interacting predator assemblages and food webs. Although there is evidence for each of these types of effects, the literature remains sparse. More studies are needed, and we suggest a research agenda to improve understanding of the sensitivity of biological control to climate change.",2015,"","CLIMATE CHANGE AND INSECT PESTS","7","","119-135","WOS:000377029500008","10.1079/9781780643786.0000","","#3372","Eigenbrode 2015","Elliott Parsons (2024-11-06 11:06:29)(Select): Sanford sent me a copy (attached). Yes review (1), 2 = flow is species shifting their ranges, 3 - yes biodiversity mentioned a few times as well as many species that could be affected, 4 = yes within NA, 5 - yes, there is at least one reference to a range shifting species in the U.S. shifting into Canada.; Anabel Kinsey (2024-10-19 04:28:48)(Select): Can't find access; ","Biotic",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","Arctic kelp forests: Diversity, resilience and future","Filbee-Dexter, K.; Wernberg, T.; Fredriksen, S.; Norderhaug, K. M.; Pedersen, M. F.","The Arctic is one of the most rapidly changing places on Earth and it is a sentinel region for understanding the range and magnitude of planetary changes, and their impacts on ecosystems. However, our understanding of arctic coastal ecosystems remains limited, and the impacts of ongoing and future climate change on them are largely unexplored. Kelp forests are the dominant habitat along many rocky Arctic coastlines, providing structure and food for economically and ecologically important species. Here we synthesize existing information on the distribution and diversity of arctic kelp forests and assess how ongoing changes in environmental conditions could impact the extent, productivity, and resilience of these important ecosystems. We identify regions where the range and growth of arctic kelp are likely to undergo rapid short-term increase due to reduced sea ice cover, increased light, and warming. However, we also describe areas where kelps could be negatively impacted by rising freshwater input and coastal erosion due to receding sea ice and melting permafrost. In some regions, arctic kelp forests have undergone sudden regime shifts due to altered ecological interactions or changing environmental conditions. Key knowledge gaps for arctic kelp forests include measures of extent and diversity of kelp communities (especially northern Canada and northeastern Russia), the faunal communities supported by many of these habitats, and the role of arctic kelp forests in structuring nearby pelagic and benthic food webs. Filling in these gaps and strategically prioritizing research in areas of rapid environmental change will enable more effective management of these important habitats, and better predictions of future changes in the coastal ecosystems they support and the services that they provide.",2019,"JAN","Global and Planetary Change","172","","1-14","WOS:000456222800001","10.1016/j.gloplacha.2018.09.005","","#3749","Filbee-Dexter 2019","Elliott Parsons (2024-11-12 09:59:28)(Select): There is a paragraph towards the end on expected northward shifts in kelp species with climate change, so potential flow = kelp. It was unclear whether boundaries were being crossed or would likely be crossed, but my guess is yes, the specifics were likely just in the referenced papers. There is a whole section on ecosystem services and how they create favorable conditions for species - so I think this can be inferred to. So while no explicit transboundary flows crossing US into Canada that affect biodiversity, I think it is implicit.; ","Biotic; Transboundary unclear",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Disturbances in North American boreal forest and Arctic tundra: impacts, interactions, and responses","Foster, A. C.; Wang, J. A.; Frost, G.; Davidson, S. J.; Hoy, E.; Turner, K. W.; Sonnentag, O.; Epstein, H.; Berner, L. T.; Armstrong, A. H.; Kang, M.; Rogers, B. M.; Campbell, E.; Miner, K. R.; Orndahl, K. M.; Bourgeau-Chavez, L. L.; Lutz, D. A.; French, N.; Chen, D.; Du, J. Y.; Shestakova, T. A.; Shuman, J. K.; Tape, K.; Virkkala, A. M.; Potter, C.; Goetz, S.","Ecosystems in the North American Arctic-Boreal Zone (ABZ) experience a diverse set of disturbances associated with wildfire, permafrost dynamics, geomorphic processes, insect outbreaks and pathogens, extreme weather events, and human activity. Climate warming in the ABZ is occurring at over twice the rate of the global average, and as a result the extent, frequency, and severity of these disturbances are increasing rapidly. Disturbances in the ABZ span a wide gradient of spatiotemporal scales and have varying impacts on ecosystem properties and function. However, many ABZ disturbances are relatively understudied and have different sensitivities to climate and trajectories of recovery, resulting in considerable uncertainty in the impacts of climate warming and human land use on ABZ vegetation dynamics and in the interactions between disturbance types. Here we review the current knowledge of ABZ disturbances and their precursors, ecosystem impacts, temporal frequencies, spatial extents, and severity. We also summarize current knowledge of interactions and feedbacks among ABZ disturbances and characterize typical trajectories of vegetation loss and recovery in response to ecosystem disturbance using satellite time-series. We conclude with a summary of critical data and knowledge gaps and identify priorities for future study.",2022,"NOV 1","Environmental Research Letters","17","11","","WOS:000870484700001","10.1088/1748-9326/ac98d7","","#3859","Foster 2022","Elliott Parsons (2024-11-02 11:48:33)(Select): This one is NA, climate impacts, looks at a variety of things including biotic flows.; ","Biophysical; Transboundary unclear",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
