"","V1","Title","Authors","Abstract","Published Year","Published Month","Journal","Volume","Issue","Pages","Accession Number","DOI","Ref","Covidence #","Study","Notes","Tags","Sociocultural","Biophysical","Biotic","IK","Intervention","Potentially relevant","save for other sections","Transboundary unclear","Perspective paper","Human_movement","Original_study","socio_human","socio_biotic","socio_physical","human_biotic"
"1",5,"A Systematic Review of the Effects of Temperature on <i>Anopheles</i> Mosquito Development and Survival: Implications for Malaria Control in a Future Warmer Climate","Agyekum, T. P.; Botwe, P. K.; Arko-Mensah, J.; Issah, I.; Acquah, A. A.; Hogarh, J. N.; Dwomoh, D.; Robins, T. G.; Fobil, J. N.","The rearing temperature of the immature stages can have a significant impact on the life-history traits and the ability of adult mosquitoes to transmit diseases. This review assessed published evidence of the effects of temperature on the immature stages, life-history traits, insecticide susceptibility, and expression of enzymes in the adult Anopheles mosquito. Original articles published through 31 March 2021 were systematically retrieved from Scopus, Google Scholar, Science Direct, PubMed, ProQuest, and Web of Science databases. After applying eligibility criteria, 29 studies were included. The review revealed that immature stages of An. arabiensis were more tolerant (in terms of survival) to a higher temperature than An. funestus and An. quadriannulatus. Higher temperatures resulted in smaller larval sizes and decreased hatching and pupation time. The development rate and survival of An. stephensi was significantly reduced at a higher temperature than a lower temperature. Increasing temperatures decreased the longevity, body size, length of the gonotrophic cycle, and fecundity of Anopheles mosquitoes. Higher rearing temperatures increased pyrethroid resistance in adults of the An. arabiensis SENN DDT strain, and increased pyrethroid tolerance in the An. arabiensis SENN strain. Increasing temperature also significantly increased Nitric Oxide Synthase (NOS) expression and decreased insecticide toxicity. Both extreme low and high temperatures affect Anopheles mosquito development and survival. Climate change could have diverse effects on Anopheles mosquitoes. The sensitivities of Anopeheles mosquitoes to temperature differ from species to species, even among the same complex. Notwithstanding, there seem to be limited studies on the effects of temperature on adult life-history traits of Anopheles mosquitoes, and more studies are needed to clarify this relationship.",2021,"JUL","International Journal of Environmental Research and Public Health","18","14","","WOS:000677349100001","10.3390/ijerph18147255","","#154","Agyekum 2021","Anna LoPresti (2024-08-10 06:47:59)(Select): some of the papers reviewed are from north america (see figure 2). paper touches on northward shifting disease vectors, transboundary in North America is implicit but not explicit; ","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",7,"Habitat ecology of Nearctic-Neotropical migratory landbirds on the nonbreeding grounds","Albert, S.; Wolfe, J. D.; Kellerman, J.; Sherry, T.; Stutchbury, B. J. M.; Bayly, N. J.; Ruiz-Sánchez, A.","Of the approximately 716 bird species that breed in North America, 386 (54%) are considered Nearctic-Neotropical migrants by the U.S. Fish and Wildlife Service. In the past 50 yr, scores of these migratory species, including some once considered common, have declined dramatically. Nearctic-Neotropical migrants normally spend 6-8 months in tropical habitats, making the identification, availability, and management of Neotropical habitats critical issues for their conservation. Yet, for most species, complete and nuanced information about their use of tropical habitats and the relative effects of breeding vs. wintering conditions on survival, productivity, and population trends is not available, though many studies point to Neotropical overwintering habitats as being a strong driver of population change. Particularly important for long-distance Nearctic-Neotropical migrants is an understanding of how""""""""carry-over effects"""""""" arise and influence population trends when conditions on wintering grounds and tropical stopover areas affect subsequent reproductive performance on breeding grounds. For example, why some species show strong carry-over effects from tropical habitats while others do not is not fully understood. I n recent years, many studies have offered insights into these issues by taking advantage of new scientific methods and technological innovations. In this review, we explore threats facing North American breeding birds that migrate to the Neotropics, summarize knowledge of habitat selection and use on the wintering grounds, describe how conditions at one point in the annual cycle may manifest in subsequent seasons or life history stages, and discuss conservation concerns such as climate change and the potential for phenological mismatch.",2020,"NOV","Condor","122","4","","WOS:000612517800020","10.1093/condor/duaa055","","#269","Albert 2020","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",19,"Infectious disease in an era of global change","Baker, R. E.; Mahmud, A. S.; Miller, I. F.; Rajeev, M.; Rasambainarivo, F.; Rice, B. L.; Takahashi, S.; Tatem, A. J.; Wagner, C. E.; Wang, L. F.; Wesolowski, A.; Metcalf, C. J. E.","Global change, including climate change, urbanization and global travel and trade, has affected the emergence and spread of infectious diseases. In the Review, Baker, Metcalf and colleagues examine how global change affects infectious diseases, highlighting examples ranging from COVID-19 to Zika virus disease. The twenty-first century has witnessed a wave of severe infectious disease outbreaks, not least the COVID-19 pandemic, which has had a devastating impact on lives and livelihoods around the globe. The 2003 severe acute respiratory syndrome coronavirus outbreak, the 2009 swine flu pandemic, the 2012 Middle East respiratory syndrome coronavirus outbreak, the 2013-2016 Ebola virus disease epidemic in West Africa and the 2015 Zika virus disease epidemic all resulted in substantial morbidity and mortality while spreading across borders to infect people in multiple countries. At the same time, the past few decades have ushered in an unprecedented era of technological, demographic and climatic change: airline flights have doubled since 2000, since 2007 more people live in urban areas than rural areas, population numbers continue to climb and climate change presents an escalating threat to society. In this Review, we consider the extent to which these recent global changes have increased the risk of infectious disease outbreaks, even as improved sanitation and access to health care have resulted in considerable progress worldwide.",2022,"APR","NATURE REVIEWS MICROBIOLOGY","20","4","193-205","WOS:000706902900001","10.1038/s41579-021-00639-z","","#777","Baker 2022","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",20,"Assessing global biome exposure to climate change through the Holocene-Anthropocene transition","Benito-Garzón, M.; Leadley, P. W.; Fernández-Manjarrés, J. F.","AimTo analyse global patterns of climate during the mid-Holocene and conduct comparisons with pre-industrial and projected future climates. In particular, to assess the exposure of terrestrial biomes and ecoregions to climate-related risks during the Holocene-Anthropocene transition starting at the pre-industrial period. LocationTerrestrial ecosystems of the Earth. MethodsWe calculated long-term climate differences (anomalies) between the mid-Holocene (6 ka cal bp, mH), pre-industrial conditions and projections for 2100 (middle-strength A1B scenario) using six global circulation models available for all periods. Climate differences were synthesized with multivariate statistics and average principal component loadings of temperature and precipitation differences (an estimate of climate-related risks) were calculated on 14 biomes and 766 ecoregions. ResultsOur results suggest that most of the Earth's biomes will probably undergo changes beyond the mH recorded levels of community turnover and range shifts because the magnitude of climate anomalies expected in the future are greater than observed during the mH. A few biomes, like the remnants of North American and Euro-Asian prairies, may experience only slightly greater degrees of climate change in the future as compared with the mH. In addition to recent studies that have identified equatorial regions as the most sensitive to future climate change, we find that boreal forest, tundra and vegetation of the Equatorial Andes could be at greatest risk, since these regions will be exposed to future climates that are well outside natural climate variation during the Holocene. ConclusionsThe Holocene-Anthropocene climate transition, even for a middle-strength future climate change scenario, appears to be of greater magnitude and different from that between the mH and the pre-industrial period. As a consequence, community- and biome-level changes due to of expected climate change may be different in the future from those observed during the mH.",2014,"FEB","Global Ecology and Biogeography","23","2","235-244","WOS:000329139600010","10.1111/geb.12097","","#1063","Benito-Garzón 2014","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5",24,"Dieback of riparian alder caused by the <i>Phytophthora alni</i> complex: projected consequences for stream ecosystems","Bjelke, U.; Boberg, J.; Oliva, J.; Tattersdill, K.; McKie, B. G.","Alder trees (Alnus spp.) are key nitrogen-fixing riparian species in the northern hemisphere. Inputs of nitrogen-rich leaf litter from alder into stream food webs can contribute significantly to nitrogen dynamics at local and landscape scales. Alder trees also provide habitats for terrestrial and aquatic organisms, and help stabilize river banks. Recently, substantial declines in alder stands have occurred along streams in Europe, with damages observed in some parts of North America also. A major driver has been the invasive oomycete pathogen Phytophthora alni species complex, which can spread rapidly along stream networks. This review synthesises information on the pathogen, processes of spread and infection, and its impacts on alder. We further address the potential ecosystem-level and management consequences of the decline of alder, and highlight research needs. The alder dieback caused by P. alni is associated with reductions in shade and quality and quantity of leaf litter. A decline in the structural integrity of branches and roots further threatens bank stability. Stream banks dominated by other tree species or no trees at all will result in ecosystem-level changes both above and below the waterline. The P. alni taxonomic complex includes different species with varying phenotypes. An improved understanding of their environmental tolerances, virulence and evolution, along with the processes regulating the spread and impacts of the pathogen, would assist in identification of the riparian and stream systems most vulnerable not only to invasion but also to the heaviest disease outbreaks and ecosystem-level impacts. Within the P. alni complex, the highly pathogenic hybrid species P. x alni is favoured by mild winters and warm, but not excessively hot summer temperatures suggesting possible changes in distribution and level of impact under future global climate change.",2016,"MAY","Freshwater Biology","61","5","565-579","WOS:000373833400001","10.1111/fwb.12729","","#1231","Bjelke 2016","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",29,"A primer on potential impacts, management priorities, and future directions for <i>Elodea</i> spp. in high latitude systems: learning from the Alaskan experience","Carey, M. P.; Sethi, S. A.; Larsen, S. J.; Rich, C. F.","Invasive species introductions in Arctic and Subarctic ecosystems are growing as climate change manifests and human activity increases in high latitudes. The aquatic plants of the genus Elodea are potential invaders to Arctic and Subarctic ecosystems circumpolar and at least one species is already established in Alaska, USA. To illustrate the problems of preventing, eradicating, containing, and mitigating aquatic, invasive plants in Arctic and Subarctic ecosystems, we review the invasion dynamics of Elodea and provide recommendations for research and management efforts in Alaska. Foremost, we conclude the remoteness of Arctic and Subarctic systems such as Alaska is no longer a protective attribute against invasions, as transportation pathways now reach throughout these regions. Rather, high costs of operating in remote Arctic and Subarctic systems hinders detection of infestations and limits eradication or mitigation, emphasizing management priorities of prevention and containment of aquatic plant invaders in Alaska and other Arctic and Subarctic systems.",2016,"SEP","Hydrobiologia","777","1","1-19","WOS:000379019900001","10.1007/s10750-016-2767-x","","#1847","Carey 2016","Grace Westphal (2024-08-14 08:10:54)(Select): Paper is a case study for how one plant (Elodea) that is native to the contiguous US and Canada subsequently spread through Alaska, and the traits that make it possible to do so. ; ","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",30,"Barnacle Invasions: Introduced, Cryptogenic, and Range Expanding Cirripedia of North and South America","Carlton, J. T.; Newman, W. A.; Pitombo, F. B.; Galil, B. S.; Clark, P. F.; Carlton, J. T.","Barnacles are some of the most conspicuous and well-known ship fouling organisms in the world and thus many species no doubt owe parts of their modern distribution to human-mediated translocations over the past several centuries. Reviewed here, as a window into global patterns, are the introduced, cryptogenic, and range expanding barnacles of the Atlantic and Pacific coasts of North and South America. Five species of thoracic barnacles have invaded the Pacific coasts of the Americas: Amphibalanus improvisus, A. eburneus, and A. subalbidus, all from the Atlantic, and A. amphitrite and A. reticulatus from the Indo-West Pacific. Seven species have invaded the Atlantic coasts of the Americas; six of these are from the Pacific: A. amphitrite and A. reticulatus (shared as invaders with the Pacific coast), and Balanus trigonus, B. glandula, Striatobalanus amaryllis, and Megabalanus coccopoma. The Western North Atlantic A. subalbidus has invaded the Western South Atlantic. Striking are the few barnacle invasions that have occurred on the Pacific coast of South America and these species (A. improvisus, A. amphitrite and A. reticulatus) are reported only from northernmost locations (Ecuador, Colombia, and Peru). For the first 100 years (1853-1955) two species, A. amphitrite and A. improvisus, constituted the majority of invasion events in the Americas, the sole exception being the arrival of the Pacific Balanus trigonus in the 1860s and 1870s in the Atlantic. After 1955, the first records of invasions of A. reticulatus, A. eburneus, B. glandula, M. coccopoma, and S. amaryllis appear, an increased diversity of introductions in close concert with general observations of increasing invasions globally of marine organisms after World War II. Known since the 1970s in Brazil, M. coccopoma appears to be responding to warming northern latitudes and has expanded to North Carolina as of 2005. The native Western Atlantic barnacle Chthamalus fragilis arrived in New England in the 1890s, a range expansion perhaps facilitated by an earlier coastal warming period concomitant with the decline in abundance of its colder-water competitor Semibalanus balanoides, although the latter also appears to have expanded south on the North American Atlantic coast in the twentieth century due to increased habitat availability. Chthamalus is predicted to move north, and Semibalanus is predicted to return to its historical range, both due to continued warming. In turn, the native Eastern North Pacific barnacle Tetraclita rubescens is expanding north due to coastal warming as well. Future invasion scenarios include increased introductions facilitated through a newly expanded Panama Canal, the potential arrival of Austrominius modestus on the North American Atlantic coast (despite its failure to do so throughout the last half of the twentieth century), and the arrival on the warmer North and Central American Pacific coasts of Chthamalus proteus.",2011,"","IN THE WRONG PLACE - ALIEN MARINE CRUSTACEANS: DISTRIBUTION, BIOLOGY AND IMPACTS","6","","159-213","WOS:000293984800005","10.1007/978-94-007-0591-3_510.1007/978-94-007-0591-3","","#1852","Carlton 2011","","Biotic",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",46,"Flaviviruses, an expanding threat in public health: focus on dengue, West Nile, and Japanese encephalitis virus","Daep, C. A.; Muñoz-Jordán, J. L.; Eugenin, E. A.","The flaviviruses dengue, West Nile, and Japanese encephalitis represent three major mosquito-borne viruses worldwide. These pathogens impact the lives of millions of individuals and potentially could affect non-endemic areas already colonized by mosquito vectors. Unintentional transport of infected vectors (Aedes and Culex spp.), traveling within endemic areas, rapid adaptation of the insects into new geographic locations, climate change, and lack of medical surveillance have greatly contributed to the increase in flaviviral infections worldwide. The mechanisms by which flaviviruses alter the immune and the central nervous system have only recently been examined despite the alarming number of infections, related deaths, and increasing global distribution. In this review, we will discuss the expansion of the geographic areas affected by flaviviruses, the potential threats to previously unaffected countries, the mechanisms of pathogenesis, and the potential therapeutic interventions to limit the devastating consequences of these viruses.",2014,"DEC","JOURNAL OF NEUROVIROLOGY","20","6","539-560","WOS:000346237700001","10.1007/s13365-014-0285-z","","#2661","Daep 2014","","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",49,"Arctic marine ecosystems face increasing climate stress","Deb, J. C.; Bailey, S. A.","Arctic warming is occurring at amuch faster rate than in other parts of the globe, with potentially devastating consequences for the diverse array of species within ecologically and biologically sensitive areas in the Arctic marine region. However, climate change research in this region is sparse compared to other biomes, hindering conservation efforts. In this article, we review and synthesize the available literature to understand the observed and potential impacts of climate change on different species and ecosystems in the Arctic marine region. We reviewed 253 articles reporting changes in species and ecosystems in the Arctic marine region in response to climate change (225 studies documenting observed impacts and 28 reporting predicted impacts). The review revealed that most research effort has been concentrated in only a subset of Arctic Large Marine Ecosystems (LMEs) (5/18 LMEs), with the majority of Arctic LMEs being poorly studied. The majority of the reviewed papers focused on marine mammals (19%) followed by microalgae (17%). A number of studies documented variability in planktonic communities (microalgae, macroalgae, zooplankton), resulting in alteration in ecosystem structure and function. Reproductive failure, decline in populations, and changes in diet composition, behavior, and breeding biology were reported for sea birds and mammals. Further, shifts in spatial distribution of fishes were observed by several studies. This review provides persuasive evidence that multiple climate change indices in the Arctic region are changing, with impacts on almost all components of marine biotic ecosystems (from plankton to top predators). We identify a number of gaps (such as limited inventory of biota, robustness of data supporting climate change indices on an Arctic Ocean scale, and climate suitability assessment for all species) in climate change research in Arctic marine ecosystems where future studies can help to quantify the impacts of climate change on species and ecosystems and advance understanding for their adaptive management.",2023,"SEP","Environmental Reviews","31","3","403-451","WOS:000963001200001","10.1139/er-2022-0101","","#2881","Deb 2023","Anabel Kinsey (2024-10-19 04:28:12)(Select): This definitely relates to biodiversity + climate change. Implicit transboundary as the areas of interest span US + Canada ocean zones. ;","Biotic; Intervention; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",51,"ZOONOSIS TRANSMITTED BY FOOD CAN AFFECT ITS EPIDEMIOLOGY, AS A RESULT OF CLIMATE CHANGE AND PROCESSES OF GLOBALIZATION","Donoso, S.; Gadicke, P.; Landaeta, C.","The objective of this review was to evaluate the effects of climate change and globalization on the epidemiological behavior of zoonosis transmitted by food. Globalization has affected people's habits and has led to an increased transport of passengers and movement of animals, greater availability of foods and an increase in the international trade of foods, ingredients and raw materials, resulting in an increased spread of pathological agents. The changes in temperatures and the increased frequency of extreme climatological events, such as severe droughts and flooding, have affected pathogens that can be transmitted by food, leading to the disappearance of old pathogens and emergence of new pathogens in foods. Since climate change and globalization are constant and dynamic processes, further research and support from world organizations for food and human and animal health are needed to determine the effect of these phenomena on zoonosis transmitted by foods.",2016,"JUN-AUG","CHILEAN JOURNAL OF AGRICULTURAL & ANIMAL SCIENCES","32","2","149-156","WOS:000390870300008","10.4067/S0719-38902016000200008","","#3175","Donoso 2016","Tyler McIntosh (2024-08-22 03:17:01)(Select): Translated via ChatGPT to speed up process. Climate change flow limited to pathogens, does not include human movement. BioD connection: """"""""Extreme weather events such as floods and droughts can contaminate soils, agricultural lands, water, and food with pathogens from humans and animals"""""""". Tagging as transboundary unclear since it is unclear how long-distance the transport of pathogens via extreme events might be. Main focus of paper, food-borne disease, does not have adequate climate change-drive for flow.; ","Biotic; Transboundary unclear",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
