Citation,DOI,2.1.Flow.Type,2.1.Flow.Type.NEW,2.2.Subtype,2.2.Subtype.NEW,Flag_QualityCheck,Flag_SubtypeCode,Flag_FlowCode,Flag_SubFlowSplit,Flag_FlowSplit,Flag_MissingData,ID_DOI_by_FlowEntry,ID_DOI_by_Flow,ID_DOI_by_Flow.NEW,Notes
"Charron, D. F.; Thomas, M. K.; Waltner-Toews, D.; Aramini, J. J.; Edge, T.; Kent, R. A.; Maarouf, A. R.; Wilson, J.; Hrudey, S. E., 2004, Journal of Toxicology and Environmental Health. Part A","http://dx.doi.org/10.1080/15287390490492313	",Biotic,Physical,"river flow, run-off",-,0,0,1,1,0,0,30,30,-,need subflow check
"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	",Biotic,Remove,stream flow,-,0,0,1,0,0,0,33,33,-,
Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Biotic,Remove,Nutrient Pollution Flow,-,0,0,1,0,0,0,51,52,-,
"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Biotic,Remove,River and groundwater flows along with sediment and pollunts,-,0,0,1,1,0,0,56,57,-,to be removed; needs to be recoded by Mabel
"Ochs, 2024, Science of the Total Environment",https://doi.org/10.1016/j.scitotenv.2024.171490,Biotic,Remove,"riverine dishcharge, lake circulation",-,0,0,1,0,0,0,65,66,-,
"Mucioki, 2024",10.1002/ppp3.10500,Biotic,Biotic,Biome-shift; Phenological shift,biome-shift,0,1,0,0,0,0,6,6,-,
"Costanza, K. K. L.; Whitney, T. D.; McIntir, C. D.; Livingston, W. H.; Gandhi, K. J. K., 2018, Forest Ecology and Management","10.1016/j.foreco.2018.02.049	",Biotic,Biotic,gene flow,disease spread,0,1,0,0,0,0,22,22,-,
"Park, 2023, Forest Ecology and Management",https://doi.org/10.1016/j.foreco.2023.120854,Biotic,Biotic,assisted migration,gene flow,0,1,0,0,0,0,54,55,-,
"Hayes, 2014, Reviews in Fish Biology and Fisheries",10.1007/s11160-014-9348-8,Biotic,Biotic,Change in migration dynamics,migration,0,1,0,0,0,0,62,63,-,
"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,Biotic,Biotic,transport of toxins through animal migration,migration,1,1,0,1,0,0,72,74,-,to be removed; still needs becky to recode
"Grayson and Johnson, 2017, Journal of Animal Ecology","10.1111/1365-2656.12755	",Biotic,Biotic,Invasion,range-shift,0,1,0,0,0,0,2,2,-,
"Rahel and Olden, 2008, Conservation Biology",https://doi.org/10.1111/j.1523-1739.2008.00950.x,Biotic,Biotic,dispersal,range-shift,0,1,0,0,0,0,35,35,-,
"Krause-Jensen et al., 2020, Frontiers in Marine Science",https://doi.org/10.3389/fmars.2020.617324,Biotic,Biotic,dispersal,range-shift,0,1,0,0,0,0,37,37,-,
"Sorte, C. J. B.; Williams, S. L.; Carlton, J. T., 2010, Global Ecology and Biogeography","10.1111/j.1466-8238.2009.00519.x	",Biotic,Biotic,"range shift, introductions",range-shift,0,1,0,0,0,0,41,42,-,
"Pauli et al., 2022, Mammal Review",https://doi.org/10.1111/mam.12284,Biotic,Biotic,animal movement,range-shift,0,1,0,0,0,0,44,45,-,
"Hayward, 2017, General Technical Report - Pacific Northwest Research Station, USDA Forest Service",https://research.fs.usda.gov/treesearch/54139,Biotic,Biotic,Winter ticks,range-shift,0,1,0,0,0,0,53,54,-,
"Reist, 2006, Ambio",10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2,Biotic,Biotic,Range shift and Invasion because of it,range-shift,0,1,0,0,0,0,55,56,-,
"Lennox, 2019, Global Change Biology Wiley",10.1111/gcb.14957,Biotic,Biotic,Range shift of a invasive species,range-shift,0,1,0,0,0,0,58,59,-,
"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Biotic,Biotic,"range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region",range-shift,0,1,0,0,0,0,63,64,-,
"Dukes et al., 2009, Canadian Journal of Forest Research",https://doi.org/10.1139/X08-171,Biotic,Biotic,"range shifts, population density increases",range-shift,0,1,0,0,0,0,67,69,-,
"Westbrooks, 2014, CABI Invasives Series No.4",http://dx.doi.org/10.1079/9781780641645.0305,Biotic,Biotic,invasive species range shift,range-shift,0,1,0,0,0,0,70,72,-,
"Hayward, 2017, General Technical Report - Pacific Northwest Research Station, USDA Forest Service",https://research.fs.usda.gov/treesearch/54139,Biotic,Biotic,Spruce beetle outbreaks,range-shift,0,1,0,0,0,0,71,73,-,
"Böhning-Gaese & Lemoine, 2004, Advances in Ecological Research",10.1016/S0065-2504(04)35010-5,Biotic,Biotic,Dispersal,range-shift,0,1,0,0,0,0,9,9,-,
"Singh, 2023, Nature Review Microbiology",10.1038/s41579-023-00900-7,Biotic,Biotic,,range-shift,0,1,0,0,0,1,13,13,-,
"Lefort et al., 2020, Canadian Journal of Zoology",dx.doi.org/10.1139/cjz-2019-0207,Biotic,Biotic,Dispersal,range-shift,0,1,0,0,0,0,24,24,-,
"LaDeau, S. L.; Marra, P. P.; Kilpatrick, A. M.; Calder, C. A.,  2008, BioScience","10.1641/B581007	",Biotic,Biotic,"Disease spread, range shift",disease spread,0,1,0,1,0,0,37,38,38a,
"Semenza, J. C.; Rockl√∂v, J.; Ebi, K. L., 2022, Infectious Diseases and Therapy","10.1007/s40121-022-00647-3	",Biotic,Biotic,"range shift, disease spread",disease spread,0,1,0,1,0,0,38,39,39a,
"Schwandt, J. W.; Lockman, I. B.; Kliejunas, J. T.; Muir, J. A.,  2010,  Forest Pathology",10.1111/j.1439-0329.2010.00656.x,Biotic,Biotic,"disease spread, range shift",disease spread,0,1,0,1,0,0,39,40,40a,
"Alkishe et al, 2021, Insects",10.3390/insects12030225,Biotic,Biotic,Range shift,disease spread,0,1,0,1,0,0,42,43,43a,
"Bergevin, M. D.; Ng, V.; Ludwig, A.; Sadeghieh, T.; Menzies, P.; Mubareka, S.; Clow, K. M., 2024, VECTOR-BORNE AND ZOONOTIC DISEASES","10.1089/vbz.2023.0152	",Biotic,Biotic,range-expansion,disease spread,0,1,0,1,0,0,52,53,53a,
"Hasset & Thangamani, 2021, Microorganisms",https://doi.org/10.3390/microorganisms9112317,Biotic,Biotic,Range-shift,disease spread,0,1,0,1,0,0,57,58,58a,
