Citation,DOI,2.1.Flow.Type,2.2.Subtype,2.2.Subtype.NEW,Flag_QualityCheck,Flag_SubtypeCode,Flag_FlowCode,Flag_SubFlowSplit,Flag_FlowSplit,Flag_MissingData,ID_DOI_by_Flow,ID_DOI_by_FlowEntry,notes
"Hori & Syugyo et al., (2020) International Environmental Agreements",https://doi.org/10.1007/s10784-020-09475-7,Sociocultural,Governance,governance,0,0,0,0,0,0,4,4,
"Jordan & Huitema et al., (2014) Global Environmental Change",https://doi.org/10.1016/j.gloenvcha.2014.09.005,Sociocultural,Governance,governance,1,0,0,0,0,1,5,5,missing 2.8.Other.Description
"(Mitchell et.al., 2019, Genealogy)",https://doi.org/10.3390/genealogy4020051,Sociocultural,Knowledge transfer,knowledge transfer,0,0,0,0,0,0,26,26,
"Rayfuse, Rosemary; 2008; Review of European Community and International Environmental Law",https://doi.org/10.1111/j.1467-9388.2008.00583.x,Sociocultural,governance,governance,0,0,0,0,0,0,32,32,
"Kehl, 2018, Journal of Water Resource and Protection",https://doi.org/10.4236/jwarp.2018.1011065,Sociocultural,Economic & political influence,governance,0,1,0,0,0,0,36,36,subtype reclassed
"Koubrak, O.; VanderZwaag, D. L.; 2020; Ecology and Society",10.5751/ES-11835-250442,Sociocultural,governance,governance,0,0,0,0,0,0,41,40,
"Gunderson et al., 2017, Ecology and Society",10.5751/ES-08879-220131,Sociocultural,governance,governance,0,0,0,0,0,0,46,45,
"Craig, 2020, WIREs Water",https://doi.org/10.1002/wat2.1423,Sociocultural,"Knowledge transfer, Legal, Laws",Governance,0,1,0,0,0,0,48,47,"subtype reclassed, sylvia adjusted a few mistakes"
"Davis et. al., 2021, Canadian Science Publishing",https://doi.org/10.1139/as-2020-0032,Sociocultural,Knowledge transfer,knowledge transfer,0,0,0,0,0,0,49,48,
"Rossi, 2014, Agricultural Water Management",10.1016/j.agwat.2014.07.030,Sociocultural,diplomatic,governance,0,1,0,0,0,0,50,49,subtype reclassed
"Chapman, J.; Dearden, A.; Miller, A.; 2020; Journal of Marine Science and Engineering",10.3390/jmse8100739,Sociocultural,information/knowledge exchange + collaboration,Knowledge transfer,0,1,0,0,0,0,62,61,subtype reclassed
"Beatley, T.; 1991; COASTAL MANAGEMENT","10.1080/08920759109362128	",Sociocultural,international and transboundary governance for biodiversity conservation,governance,0,1,0,0,0,0,67,66,subtype reclassed
"Shin et al., 2021, Global Change Biology",10.1111/gcb.16109,Sociocultural,"Governance, Diplomatic/Financial Aid", - ,0,1,0,1,0,0,76,74,"subtype split, kyle recoded"
"Shin et al., 2021, Global Change Biology",10.1111/gcb.16109,Sociocultural,,governance,0,1,0,1,0,0,76,74,"subtype split, kyle recoded"
"Shin et al., 2021, Global Change Biology",10.1111/gcb.16109,Sociocultural,,diplomatic/financial aid,0,1,0,1,0,0,76,74,"subtype split, kyle recoded"
"Anderson, K.; 2022; Food Policy",10.1016/j.foodpol.2022.102253,Sociocultural,international food policies,governance,1,1,0,0,0,0,91,89,"subtype reclassed, Citation and DOI fixed as they were entered incorrectly"
"Baldwin-Cantello, W.; Tickner, D.; Wright, M.; Clark, M.; Cornelius, S.; Ellis, K.; Francis, A.; Ghazoul, J.; Gordon, J. E.; Matthews, N.; Milner-Gulland, E. J.; Smith, P.; Walmsley, S.; Young, L.; 2023; Climate Policy",10.1080/14693062.2023.2175637,Sociocultural,integrated global policy framework to address the triple challenge (climate <-> biodiversity <-> human well-being impacts),governance,0,1,0,0,0,0,101,97,subtype reclassed
