,Citation,DOI,2.1 Flow Type.x,Task,2.1 Flow Type.y,2.2 Subtype.NEW,2.2 Subtype.x.OLD
1," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,Physical,snow melt runoff,runoff
2," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
3," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
4," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
5," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
6," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
7," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
8," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
9," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,,,snow melt runoff,
10,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,Physical,wind flow,wind flow
11,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
12,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
13,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
14,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
15,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
16,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
17,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
18,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,,,wind flow,
19,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,Physical,sea ice retreat,sea ice retreat
20,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
21,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
22,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
23,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
24,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
25,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
26,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
27,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,,,sea ice retreat,
28,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,Physical,Surface water quantity,river flow
29,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
30,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
31,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
32,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
33,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
34,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
35,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
36,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,REMOVE - NO LINK TO BIODIVERSITY,,Surface water quantity,
37,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,Physical,groundwater,groundwater
38,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
39,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
40,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
41,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
42,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
43,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
44,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
45,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,groundwater quantity or quality,,groundwater,
46,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,Physical,River flow,River flow
47,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
48,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
49,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
50,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
51,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
52,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
53,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
54,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,ground or surface?,,River flow,
55,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,"Physical, Biotic",River and groundwater flows along with sediment and pollunts,River and groundwater flows along with sediment and pollunts
56,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
57,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
58,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
59,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
60,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
61,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
62,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
63,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,SPLIT INTO FRESHWATER AND MARINE IMPACTS,,River and groundwater flows along with sediment and pollunts,
64,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,Physical,wildfire,Fire
65,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
66,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
67,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
68,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
69,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
70,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
71,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
72,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,,,wildfire,
73,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,"Physical, Biotic",nutrient flow,Nutrient Pollution Flow
74,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
75,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
76,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
77,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
78,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
79,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
80,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
81,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,,,nutrient flow,
