"","Citation","DOI","2.1 Flow Type","2.2 Subtype","2.2.Subtype.x","2.1.Flow.Type","2.2.Subtype.y","2.2.Subtype.NEW","2.2.Subtype.OLD"
"1"," Gleick & Chalecki, 1999, JAWRA.","DOI:10.1111/j.1752-1688.1999.tb04227.x","Physical","snow melt runoff","snow melt runoff",NA,NA,"snow melt runoff",NA
"2","Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian","Physical","wind flow","wind flow",NA,NA,"wind flow",NA
"3","Blum, 2015, Progress in Oceanography","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Physical","sea ice retreat","sea ice retreat",NA,NA,"sea ice retreat",NA
"4","Chen, 2011, Journal of Sustainable Development","https://doi.org/10.5539/jsd.v4n3p32","Physical","Surface water quantity","Surface water quantity",NA,NA,"Surface water quantity",NA
"5","Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	","Physical","groundwater","groundwater",NA,NA,"groundwater",NA
"6","Covich et al., 1997, Hydrological Processes","https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N","Physical","River flow","River flow",NA,NA,"River flow",NA
"7","Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT","https://doi.org/10.1002/ieam.1360","Physical","River and groundwater flows along with sediment and pollunts","River and groundwater flows along with sediment and pollunts",NA,NA,"River and groundwater flows along with sediment and pollunts",NA
"8","Flannigan, 2000 , Science of the Total Environment","10.1016/S0048-9697(00)00524-6","Physical","wildfire","wildfire",NA,NA,"wildfire",NA
"9","Foulon (2020) Water Quality Research Journal","https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading","Physical","nutrient flow","nutrient flow",NA,NA,"nutrient flow",NA
"10","Gimeno et al., 2019, WIREs Climate Change","10.1002/wcc.588","Physical","Surface water quantity","Surface water quantity",NA,NA,"Surface water quantity",NA
"11","Hartig, 2021, Journal of Great Lakes Research","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Physical","Surface water quantity","Surface water quantity",NA,NA,"Surface water quantity",NA
"12","Hartig, 2021, Journal of Great Lakes Research","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Biotic","range shift","range shift",NA,NA,"range shift",NA
"13","Jager, 2021, Ecology and Evolution","https://doi.org/10.1002/ece3.8026","Physical","wildfire","wildfire",NA,NA,"wildfire",NA
"14","Jager, 2021, Ecology and Evolution","https://doi.org/10.1002/ece3.8026","Biotic","migration","migration",NA,NA,"migration",NA
"15","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Physical","","",NA,NA,"",NA
"16","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Human movement","influx of people","influx of people",NA,NA,"influx of people",NA
"17","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Trade (transport of goods and services)","tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region",NA,NA,"tourism, agriculture,  and other human activities in the North region",NA
"18","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Sociocultural","??","??",NA,NA,"??",NA
"19","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Biotic","range shift","range shift",NA,NA,"range shift",NA
"20","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Physical","wildfire","wildfire",NA,NA,"wildfire",NA
"21","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","biome-shift","biome-shift",NA,NA,"biome-shift",NA
"22","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","Invasion","Invasion",NA,NA,"Invasion",NA
"23","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Sociocultural","knowledge transfer","knowledge transfer",NA,NA,"knowledge transfer",NA
"24","Miller et al., 2024, Biogeochemistry","https://doi.org/10.1007/s10533-023-01108-w","Physical","pollution flow","pollution flow",NA,NA,"pollution flow",NA
"25","Mohan, 2009, Canadian Journal of Forest Research","10.1139/er-2017-0046","Physical","Winter thaws","Winter thaws",NA,NA,"Winter thaws",NA
"26","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","pollution flow","pollution flow",NA,NA,"pollution flow",NA
"27","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","sediment flow","sediment flow",NA,NA,"sediment flow",NA
"28","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","Glacial melt and discharge","Glacial melt and discharge",NA,NA,"Glacial melt and discharge",NA
