Citation,DOI,2.1.Flow.Type,2.1.Flow.Type.NEW,2.2.Subtype,2.2.Subtype.NEW,Flag_QualityCheck,Flag_SubtypeCode,Flag_FlowCode,Flag_SubFlowSplit,Flag_FlowSplit,Flag_MissingData,ID_DOI_byFlowEntry,ID_DOI_by_Flow,ID_DOI_by_Flow.NEW,Notes
" Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,Physical,runoff,snow melt runoff,,Yes,,,,,151,162,,
"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,Physical,wind flow,wind flow,,Yes,,,,,101,105,,
"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,Physical,sea ice retreat,sea ice retreat,,Yes,,,,,157,168,,
"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,Remove,river flow,Surface water quantity,,Yes,,,,,50,51,,
"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,Physical,groundwater,groundwater,,Yes,,Yes,,,21,21,,
"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,Physical,River flow,River flow,,Yes,,,,,91,93,,
"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,Physical,River and groundwater flows along with sediment and pollunts,River and groundwater flows along with sediment and pollunts,,Yes,Yes,,,,129,134,,
"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Biotic,Remove,River and groundwater flows along with sediment and pollunts,River and groundwater flows along with sediment and pollunts,,Yes,Yes,,,,129,135,,
"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,Physical,Fire,wildfire,,,,,,,34,34,,
Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,Physical,Nutrient Pollution Flow,nutrient flow,,,,,,,93,96,,
Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Biotic,Remove,Nutrient Pollution Flow,nutrient flow,,,Yes,,,,93,97,,
