Citation,DOI,2.1 Flow Type,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData
" Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,Physical,Physical,snow melt runoff,runoff,,,,,,
"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,Physical,Physical,wind flow,wind flow,,,,,,
"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,Physical,Physical,sea ice retreat,sea ice retreat,,,,,,
"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,Physical,Physical,Surface water quantity,river flow,,,,,,
"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",Physical,Physical,groundwater,groundwater,Yes,,,,,
"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,Physical,Physical,River flow,River flow,Yes,,,,,
"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,Physical,River and groundwater flows along with sediment and pollunts,River and groundwater flows along with sediment and pollunts,Yes,,,,,
"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,Physical,Biotic,River and groundwater flows along with sediment and pollunts,River and groundwater flows along with sediment and pollunts,,,,,,
"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,Physical,Physical,wildfire,Fire,,,,,,
Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,Physical,nutrient flow,Nutrient Pollution Flow,,,,,,
Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,Physical,Biotic,nutrient flow,Nutrient Pollution Flow,,,,,,
"Gimeno et al., 2019, WIREs Climate Change",10.1002/wcc.588,Physical,Physical,Surface water quantity,river flow,,,,,,
"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf,Physical,Physical,Surface water quantity,lake flow (?? all manner of things impacting the Great Lakes),,,,,,
"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf,Physical,Biotic,Surface water quantity,lake flow (?? all manner of things impacting the Great Lakes),,,,,,
"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf,Biotic,Physical,range shift,lake flow (?? all manner of things impacting the Great Lakes),,,,,,
"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf,Biotic,Biotic,range shift,lake flow (?? all manner of things impacting the Great Lakes),,,,,,
"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,Physical,wildfire,river flow,,,,,,
"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Physical,Biotic,migration,migration,,,,,,
"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,Physical,migration,river flow,,,,,,
"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,Biotic,Biotic,migration,migration,,,,,,
"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,Physical,Physical,,"range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region",Yes,Recode,Recode,Recode,Recocde,Recode
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Physical,Physical,wildfire,wildfire,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Physical,Biotic,invasion,invasion,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Physical,Biotic,biome-shift,biome-shift,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Physical,Sociocultural,knowledge transfer,knowledge transfer,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Biotic,Biotic,biome-shift,invasion,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Biotic,Biotic,biome-shift,biome-shift,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Biotic,Sociocultural,biome-shift,knowledge transfer,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Biotic,Physical,Invasion,wildfire,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Biotic,Biotic,Invasion,invasion,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Biotic,Biotic,Invasion,biome-shift,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Biotic,Sociocultural,Invasion,knowledge transfer,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Sociocultural,Physical,knowledge transfer,wildfire,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Sociocultural,Biotic,knowledge transfer,invasion,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Sociocultural,Biotic,knowledge transfer,biome-shift,,,,,,
