"","driver","altered_flow","impact","count_driver_alteration","count_driver_altflow_bdimpact","count_driver_impact","alteration","direction","count_alteredflow_impact","X2.1.Flow.Type"
"1","Climate change  generic ","Quantity","Connectivity",79,22,192,"Complex change","Decrease",128,"Human movement"
"2","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113,"Human movement"
"3","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115,"Human movement"
"4","Climate change  generic ","Distance","Connectivity",120,19,192,"Increase","Decrease",103,"Human movement"
"5","Climate change  generic ","Timing","Connectivity",72,19,192,"Complex change","Decrease",123,"Human movement"
"6","Climate change  generic ","Frequency","Connectivity",105,16,192,"Increase","Decrease",93,"Human movement"
"7","Climate change  generic ","Duration","Connectivity",120,19,192,"Increase","Decrease",116,"Human movement"
"8","Climate change  generic ","Speed","Connectivity",110,18,192,"Increase","Decrease",93,"Human movement"
"9","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Decrease",118,"Human movement"
"10","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Decrease",97,"Human movement"
"11","Drought","Quantity","Connectivity",30,11,97,"Complex change","Decrease",128,"Human movement"
"12","Drought","Direction","Connectivity",124,10,97,"Complex change","Decrease",113,"Human movement"
"13","Drought","Location","Connectivity",148,12,97,"Complex change","Decrease",115,"Human movement"
"14","Drought","Distance","Connectivity",60,9,97,"Increase","Decrease",103,"Human movement"
"15","Drought","Timing","Connectivity",19,10,97,"Complex change","Decrease",123,"Human movement"
"16","Drought","Frequency","Connectivity",56,8,97,"Increase","Decrease",93,"Human movement"
"17","Drought","Duration","Connectivity",62,10,97,"Increase","Decrease",116,"Human movement"
"18","Drought","Speed","Connectivity",68,8,97,"Increase","Decrease",93,"Human movement"
"19","Drought","Feedbacks","Connectivity",101,10,97,"Complex change","Decrease",118,"Human movement"
"20","Drought","Mechanism","Connectivity",74,9,97,"Complex change","Decrease",97,"Human movement"
"21","Floods","Quantity","Connectivity",9,8,80,"Complex change","Decrease",128,"Human movement"
"22","Floods","Direction","Connectivity",47,8,80,"Complex change","Decrease",113,"Human movement"
"23","Floods","Location","Connectivity",47,8,80,"Complex change","Decrease",115,"Human movement"
"24","Floods","Distance","Connectivity",36,8,80,"Increase","Decrease",103,"Human movement"
"25","Floods","Timing","Connectivity",4,8,80,"Complex change","Decrease",123,"Human movement"
"26","Floods","Frequency","Connectivity",47,8,80,"Increase","Decrease",93,"Human movement"
"27","Floods","Duration","Connectivity",33,8,80,"Increase","Decrease",116,"Human movement"
"28","Floods","Speed","Connectivity",45,8,80,"Increase","Decrease",93,"Human movement"
"29","Floods","Feedbacks","Connectivity",48,8,80,"Complex change","Decrease",118,"Human movement"
"30","Floods","Mechanism","Connectivity",45,8,80,"Complex change","Decrease",97,"Human movement"
"31","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Decrease",284,"Human movement"
"32","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Decrease",179,"Human movement"
"33","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Decrease",224,"Human movement"
"34","Climate change  generic ","Distance","Abundance",120,29,350,"Increase","Decrease",137,"Human movement"
"35","Climate change  generic ","Timing","Abundance",152,38,350,"Increase","Decrease",208,"Human movement"
"36","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Decrease",132,"Human movement"
"37","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Decrease",170,"Human movement"
"38","Climate change  generic ","Speed","Abundance",110,23,350,"Increase","Decrease",111,"Human movement"
"39","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Decrease",170,"Human movement"
"40","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Decrease",112,"Human movement"
"41","Climate change  generic ","Quantity","Composition",214,44,251,"Increase","Complex change",191,"Human movement"
"42","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Complex change",132,"Human movement"
"43","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146,"Human movement"
"44","Climate change  generic ","Distance","Composition",120,21,251,"Increase","Complex change",91,"Human movement"
"45","Climate change  generic ","Timing","Composition",152,27,251,"Increase","Complex change",131,"Human movement"
"46","Climate change  generic ","Frequency","Composition",105,18,251,"Increase","Complex change",81,"Human movement"
"47","Climate change  generic ","Duration","Composition",120,26,251,"Increase","Complex change",122,"Human movement"
"48","Climate change  generic ","Speed","Composition",110,19,251,"Increase","Complex change",76,"Human movement"
"49","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Complex change",114,"Human movement"
"50","Climate change  generic ","Mechanism","Composition",170,17,251,"Complex change","Complex change",67,"Human movement"
"51","Climate change  generic ","Quantity","Connectivity",214,22,192,"Increase","Decrease",128,"Human movement"
"52","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113,"Human movement"
"53","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115,"Human movement"
"54","Climate change  generic ","Distance","Connectivity",120,19,192,"Increase","Decrease",103,"Human movement"
"55","Climate change  generic ","Timing","Connectivity",152,19,192,"Increase","Decrease",123,"Human movement"
"56","Climate change  generic ","Frequency","Connectivity",105,16,192,"Increase","Decrease",93,"Human movement"
"57","Climate change  generic ","Duration","Connectivity",120,19,192,"Increase","Decrease",116,"Human movement"
"58","Climate change  generic ","Speed","Connectivity",110,18,192,"Increase","Decrease",93,"Human movement"
"59","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Decrease",118,"Human movement"
"60","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Decrease",97,"Human movement"
"61","Climate change  generic ","Quantity","Trophic",214,27,185,"Increase","Complex change",168,"Human movement"
