"","Impact","Driver","ImpactDirection","count"
"1","X2.12.Impact..Abundance","driver.Climate.change..generic.","Increase",21
"2","X2.12.Impact..Abundance","driver.Climate.change..generic.","Decrease",46
"3","X2.12.Impact..Abundance","driver.Climate.change..generic.","Complex",46
"4","X2.12.Impact..Richness","driver.Climate.change..generic.","Increase",9
"5","X2.12.Impact..Richness","driver.Climate.change..generic.","Decrease",15
"6","X2.12.Impact..Richness","driver.Climate.change..generic.","Complex",32
"7","X2.12.Impact..Richness","driver.Climate.change..generic.","NoChange",2
"8","X2.12.Impact..Loss","driver.Climate.change..generic.","Increase",24
"9","X2.12.Impact..Loss","driver.Climate.change..generic.","Decrease",5
"10","X2.12.Impact..Loss","driver.Climate.change..generic.","Complex",15
"11","X2.12.Impact..Loss","driver.Climate.change..generic.","NoChange",4
"12","X2.12.Impact..Disease","driver.Climate.change..generic.","Increase",36
"13","X2.12.Impact..Disease","driver.Climate.change..generic.","Complex",10
"14","X2.12.Impact..Disease","driver.Climate.change..generic.","NoChange",4
"15","X2.12.Impact..Invasion","driver.Climate.change..generic.","Increase",42
"16","X2.12.Impact..Invasion","driver.Climate.change..generic.","Complex",6
"17","X2.12.Impact..Invasion","driver.Climate.change..generic.","NoChange",2
"18","X2.12.Impact..Composition","driver.Climate.change..generic.","Increase",19
"19","X2.12.Impact..Composition","driver.Climate.change..generic.","Decrease",2
"20","X2.12.Impact..Composition","driver.Climate.change..generic.","Complex",69
"21","X2.12.Impact..Composition","driver.Climate.change..generic.","NoChange",3
"22","X2.12.Impact..Genetics","driver.Climate.change..generic.","Increase",2
"23","X2.12.Impact..Genetics","driver.Climate.change..generic.","Decrease",7
"24","X2.12.Impact..Genetics","driver.Climate.change..generic.","Complex",11
"25","X2.12.Impact..Genetics","driver.Climate.change..generic.","NoChange",4
"26","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Increase",23
"27","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Decrease",5
"28","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Complex",2
"29","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","NoChange",1
"30","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Increase",5
"31","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Decrease",4
"32","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Complex",5
"33","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","NoChange",1
"34","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Increase",13
"35","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Decrease",1
"36","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Complex",1
"37","X2.12.Impact..Urbanization","driver.Climate.change..generic.","NoChange",2
"38","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Increase",6
"39","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Decrease",17
"40","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Complex",8
"41","X2.12.Impact..Connectivity","driver.Climate.change..generic.","NoChange",1
"42","X2.12.Impact..Trophic","driver.Climate.change..generic.","Increase",12
"43","X2.12.Impact..Trophic","driver.Climate.change..generic.","Decrease",1
"44","X2.12.Impact..Trophic","driver.Climate.change..generic.","Complex",37
"45","X2.12.Impact..Trophic","driver.Climate.change..generic.","NoChange",6
"46","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Increase",3
"47","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Decrease",3
"48","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Complex",8
"49","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","NoChange",2
"50","X2.12.Impact..Management","driver.Climate.change..generic.","Increase",10
"51","X2.12.Impact..Management","driver.Climate.change..generic.","Decrease",1
"52","X2.12.Impact..Management","driver.Climate.change..generic.","Complex",23
"53","X2.12.Impact..Management","driver.Climate.change..generic.","NoChange",4
"54","X2.12.Impact..Other","driver.Climate.change..generic.","Increase",18
"55","X2.12.Impact..Other","driver.Climate.change..generic.","Decrease",5
"56","X2.12.Impact..Other","driver.Climate.change..generic.","Complex",6
"57","X2.12.Impact..Other","driver.Climate.change..generic.","NoChange",3
"58","X2.12.Impact..Abundance","driver.Drought","Increase",21
