"","impact","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","direction","impact.group"
"1","Abundance",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Decrease","good"
"2","Abundance",6,"Biotic","biome-shift","10.1002/ppp3.10500","Decrease","good"
"3","Abundance",8,"Physical","sea ice retreat","10.1139/Z11-021","Decrease","good"
"4","Abundance",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Decrease","good"
"5","Abundance",11,"Biotic","migration","doi: 10.3354/cr01238","Complex change","good"
"6","Abundance",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Complex change","good"
"7","Abundance",14,"Biotic","migration","10.1525/cond.2009.080096","Complex change","good"
"8","Abundance",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Decrease","good"
"9","Abundance",22,"Biotic","biome-shift","10.1111/gcb.16770","Complex change","good"
"10","Abundance",23,"Physical","glacial melt","10.1002/hyp.7162","Increase","good"
"11","Abundance",24,"Biotic","migration","10.1890/09-0395.1","Complex change","good"
"12","Abundance",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Complex change","good"
"13","Abundance",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Complex change","good"
"14","Abundance",31,"Physical","snow melt runoff","https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367","Decrease","good"
"15","Abundance",33,"Biotic","range-shift","10.1007/s00300-023-03133-9","Complex change","good"
"16","Abundance",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Increase","good"
"17","Abundance",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Complex change","good"
"18","Abundance",44,"Biotic","range-shift","http://dx.doi.org/10.1007/s11295-024-01645-x	","Increase","good"
"19","Abundance",46,"Sociocultural","governance","10.5751/ES-08879-220131","Decrease","good"
"20","Abundance",52,"Biotic","range-shift","10.1111/jbi.13465","Complex change","good"
"21","Abundance",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Decrease","good"
"22","Abundance",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Increase","good"
"23","Abundance",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Increase","good"
"24","Abundance",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Decrease","good"
"25","Abundance",58,"Biotic","range-shift","dx.doi.org/10.1139/cjz-2019-0207","Complex change","good"
"26","Abundance",60,"Biotic","disease spread","10.1002/ecs2.4376	","Increase","good"
"27","Abundance",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Increase","good"
"28","Abundance",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Increase","good"
"29","Abundance",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Increase","good"
"30","Abundance",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Complex change","good"
"31","Abundance",71,"Biotic","disease spread","http://dx.doi.org/10.24321/0019.5138.202021	","Complex change","good"
"32","Abundance",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Increase","good"
"33","Abundance",77,"Biotic","disease spread","10.1641/B581007	","Complex change","good"
"34","Abundance",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Complex change","good"
"35","Abundance",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Complex change","good"
"36","Abundance",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Complex change","good"
"37","Abundance",84,"Biotic","range-shift","10.3133/ofr20201125","Decrease","good"
"38","Abundance",85,"Biotic","migration","10.3389/fevo.2019.00099","Decrease","good"
"39","Abundance",87,"Physical","wildfire","https://doi.org/10.1002/ece3.8026","Decrease","good"
"40","Abundance",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Decrease","good"
"41","Abundance",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Decrease","good"
"42","Abundance",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Decrease","good"
"43","Abundance",91,"Sociocultural","governance","Anderson, K.; 2022; Food Policy","Complex change","good"
"44","Abundance",100,"Biotic","disease spread","10.1089/vbz.2023.0152	","Increase","good"
"45","Abundance",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Complex change","good"
"46","Abundance",103,"Biotic","range-shift","DOI: 10.1111/fwb.13570","Complex change","good"
