Recode,Remove,Citation,DOI,ID_DOI_byFlowEntry,ID_DOI_by_Flow,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData,Exclude_Or_Recode_DOI
,," Gleick & Chalecki, 1999, JAWRA.",DOI:10.1111/j.1752-1688.1999.tb04227.x,151,162,Physical,snow melt runoff,runoff,Yes,,,,,,
,,"Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity",https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian,101,105,Physical,wind flow,wind flow,Yes,,,,,,
,,"Blum, 2015, Progress in Oceanography",http://dx.doi.org/10.1016/j.pocean.2015.07.011,157,168,Physical,sea ice retreat,sea ice retreat,Yes,,,,,,
,yes,"Chen, 2011, Journal of Sustainable Development",https://doi.org/10.5539/jsd.v4n3p32,50,51,Physical,Surface water quantity,river flow,Yes,,,,,,
,,"Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	",21,21,Physical,groundwater,groundwater,Yes,,,Yes,,,
yes,,"Covich et al., 1997, Hydrological Processes",https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N,91,93,Physical,River flow,River flow,Yes,,,,,,
yes,,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,129,134,Physical,River and groundwater flows along with sediment and pollunts,River and groundwater flows along with sediment and pollunts,Yes,,Yes,,,,
yes,,"Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT",https://doi.org/10.1002/ieam.1360,129,135,Biotic,River and groundwater flows along with sediment and pollunts,River and groundwater flows along with sediment and pollunts,Yes,,Yes,,,,
,,"Flannigan, 2000 , Science of the Total Environment",10.1016/S0048-9697(00)00524-6,34,34,Physical,wildfire,Fire,,,,,,,
,,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,93,96,Physical,nutrient flow,Nutrient Pollution Flow,,,,,,,
,yes,Foulon (2020) Water Quality Research Journal,https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading,93,97,Biotic,nutrient flow,Nutrient Pollution Flow,,,Yes,,,,
,,"Gimeno et al., 2019, WIREs Climate Change",10.1002/wcc.588,111,115,Physical,Surface water quantity,river flow,,,,,,,
,,"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf,92,94,Physical,Surface water quantity,lake flow (?? all manner of things impacting the Great Lakes),,,,,,,
,,"Hartig, 2021, Journal of Great Lakes Research",https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf,92,95,Biotic,range shift,lake flow (?? all manner of things impacting the Great Lakes),,,,,,,
,,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,85,87,Physical,wildfire,river flow,,,,,,,
,,"Jager, 2021, Ecology and Evolution",https://doi.org/10.1002/ece3.8026,185,196,Biotic,migration,migration,,,,,,,
yes,,"Jenkins et al., 2013, Advances in Parasitology",https://doi.org/10.1016/B978-0-12-407706-5.00002-2,139,145,Physical,,"range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region",Yes,Recode,Recode,Recode,Recocde,Recode,Recode
,,"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,104,108,Physical,wildfire,wildfire,,,,,,,
,,"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,188,199,Biotic,invasion,invasion,,,,,,,
,,"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,211,222,Biotic,biome-shift,biome-shift,,,,,,,
,,"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,217,228,Sociocultural,knowledge transfer,knowledge transfer,,,,,,,
,,"Miller et al., 2024, Biogeochemistry",https://doi.org/10.1007/s10533-023-01108-w,109,113,Physical,pollution flow,Mercury pollution,,,,,,,
yes?,,"Mohan, 2009, Canadian Journal of Forest Research",10.1139/er-2017-0046,165,176,Physical,Winter thaws,Winter thaws,Yes,No,Yes,,,,
,,"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,180,191,Physical,pollution flow,pollutants,Yes,Yes,,,,,
,,"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,208,219,Physical,sediment flow,sediment flow,Yes,Yes,,,,,
,,"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,23,23,Physical,Glacial melt and discharge,river flow,,Yes,,,,,
,,"Mu et al., 2011, Hydrological Processes",https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367,31,31,Physical,snow melt runoff,water flow,,,,,,,
,yes,"Nielsen, 2015, Global Change Biology",doi: 10.1111/gcb.12789,172,183,Physical,Precipiation,Precipiation,,Yes,,,,,Exclude
,,"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,118,122,Physical,pollution flow,"River flow, pollutants",,,,,,,
,,"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,191,202,Biotic,transport of toxins through animal migration,transport of toxins through animal migration,,,,,,,
,,"Ochs, 2024, Science of the Total Environment",https://doi.org/10.1016/j.scitotenv.2024.171490,146,156,Physical,pollution flow,"riverine dishcharge, lake circulation",,yes,yes - remove biotic,,,,
