"","x"
"1","Displacement; Migration"
"2","Invasion"
"3","Governance"
"4","Biome-shift; Phenological shift"
"5","River flow"
"6","sea ice"
"7","Range-shift"
"8","Migration"
"9","Dispersal"
"10","Human migration"
"11","Migration as adaptation"
"12","nutrient flow"
"13","groundwater"
"14","biome-shift"
"15","disease spread; migration"
"16","Knowledge transfer"
"17","Tourism"
"18","wildfire"
"19","water flow"
"20","Flow of invasive insect vectors of crop diseases"
"21","Economic & political influence"
"22","Glacial retreat;; range shift"
"23",""
"24","range shifts"
"25","Knowledge transfer, Legal, Laws"
"26","diplomatic"
"27","Implied range shift"
"28","migration, disease spread"
"29","gene flow"
"30","Disease spread"
"31","information/knowledge exchange + collaboration"
"32","river flow, run-off"
"33","international and transboundary governance for biodiversity conservation"
"34","stream flow"
"35","Governance, Diplomatic/Financial Aid"
"36","Range shift; Disease spread"
"37","range shift, introductions"
"38","intranational and international human migration"
"39","range shift causing hybridization"
"40","animal movement"
"41","international food policies"
"42","lake flow (?? all manner of things impacting the Great Lakes)"
"43","Nutrient Pollution Flow"
"44","Range expansion"
"45","integrated global policy framework to address the triple challenge (climate <-> biodiversity <-> human well-being impacts)"
"46","knowledge transfer, governance"
"47","wind flow"
"48","sulfate pollution"
"49","Mercury pollution"
"50","international conservation governance for mangroves"
"51","Winter ticks"
"52","international governance for environmental impact assessments in ocean areas beyond national jurisdiction"
"53","River flow, pollutants"
"54","biome shift"
"55","assisted migration"
"56","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers"
"57","international governance institutions"
"58","Range shift and Invasion because of it"
"59","River and groundwater flows along with sediment and pollunts"
"60","Hydrological flows"
"61","knowledge transfer"
"62","Range shift of a invasive species"
"63","Change in migration dynamics"
"64","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"65","Increase of foliar diseases of eastern white pine"
"66","riverine dishcharge, lake circulation"
"67","runoff"
"68","range shifts, population density increases"
"69","sea ice retreat"
"70","migration, in particular by those engaged in subsistence agriculture"
"71","Climate-induced migration"
"72","Winter thaws"
"73","riverine discharge and nutrient loading"
"74","Range expansion of bacterial infections"
"75","invasive species range shift"
"76","Freshwater level change"
"77","Precipiation"
"78","Glacial runoff"
