"","driver","altered_flow","impact","count_driver_alteration","count_driver_altflow_bdimpact","count_driver_impact","alteration","direction","count_alteredflow_impact"
"1","Climate change  generic ","Quantity","Connectivity",79,22,192,"Complex change","Decrease",128
"2","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113
"3","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115
"4","Climate change  generic ","Distance","Connectivity",120,19,192,"Increase","Decrease",103
"5","Climate change  generic ","Timing","Connectivity",72,19,192,"Complex change","Decrease",123
"6","Climate change  generic ","Frequency","Connectivity",105,16,192,"Increase","Decrease",93
"7","Climate change  generic ","Duration","Connectivity",120,19,192,"Increase","Decrease",116
"8","Climate change  generic ","Speed","Connectivity",110,18,192,"Increase","Decrease",93
"9","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Decrease",118
"10","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Decrease",97
"11","Drought","Quantity","Connectivity",30,11,97,"Complex change","Decrease",128
"12","Drought","Direction","Connectivity",124,10,97,"Complex change","Decrease",113
"13","Drought","Location","Connectivity",148,12,97,"Complex change","Decrease",115
"14","Drought","Distance","Connectivity",60,9,97,"Increase","Decrease",103
"15","Drought","Timing","Connectivity",19,10,97,"Complex change","Decrease",123
"16","Drought","Frequency","Connectivity",56,8,97,"Increase","Decrease",93
"17","Drought","Duration","Connectivity",62,10,97,"Increase","Decrease",116
"18","Drought","Speed","Connectivity",68,8,97,"Increase","Decrease",93
"19","Drought","Feedbacks","Connectivity",101,10,97,"Complex change","Decrease",118
"20","Drought","Mechanism","Connectivity",74,9,97,"Complex change","Decrease",97
"21","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Decrease",284
"22","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Decrease",179
"23","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Decrease",224
"24","Climate change  generic ","Distance","Abundance",120,29,350,"Increase","Decrease",137
"25","Climate change  generic ","Timing","Abundance",152,38,350,"Increase","Decrease",208
"26","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Decrease",132
"27","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Decrease",170
"28","Climate change  generic ","Speed","Abundance",110,23,350,"Increase","Decrease",111
"29","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Decrease",170
"30","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Decrease",112
"31","Climate change  generic ","Quantity","Composition",214,44,251,"Increase","Complex change",191
"32","Climate change  generic ","Direction","Composition",224,24,251,"Complex change","Complex change",132
"33","Climate change  generic ","Location","Composition",272,28,251,"Complex change","Complex change",146
"34","Climate change  generic ","Distance","Composition",120,21,251,"Increase","Complex change",91
"35","Climate change  generic ","Timing","Composition",152,27,251,"Increase","Complex change",131
"36","Climate change  generic ","Frequency","Composition",105,18,251,"Increase","Complex change",81
"37","Climate change  generic ","Duration","Composition",120,26,251,"Increase","Complex change",122
"38","Climate change  generic ","Speed","Composition",110,19,251,"Increase","Complex change",76
"39","Climate change  generic ","Feedbacks","Composition",206,25,251,"Complex change","Complex change",114
"40","Climate change  generic ","Mechanism","Composition",170,17,251,"Complex change","Complex change",67
"41","Climate change  generic ","Quantity","Connectivity",214,22,192,"Increase","Decrease",128
"42","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113
"43","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115
"44","Climate change  generic ","Distance","Connectivity",120,19,192,"Increase","Decrease",103
"45","Climate change  generic ","Timing","Connectivity",152,19,192,"Increase","Decrease",123
"46","Climate change  generic ","Frequency","Connectivity",105,16,192,"Increase","Decrease",93
"47","Climate change  generic ","Duration","Connectivity",120,19,192,"Increase","Decrease",116
"48","Climate change  generic ","Speed","Connectivity",110,18,192,"Increase","Decrease",93
"49","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Decrease",118
"50","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Decrease",97
"51","Climate change  generic ","Quantity","Trophic",214,27,185,"Increase","Complex change",168
"52","Climate change  generic ","Direction","Trophic",224,19,185,"Complex change","Complex change",134
"53","Climate change  generic ","Location","Trophic",272,22,185,"Complex change","Complex change",131
"54","Climate change  generic ","Distance","Trophic",120,17,185,"Increase","Complex change",111
"55","Climate change  generic ","Timing","Trophic",152,19,185,"Increase","Complex change",125
"56","Climate change  generic ","Frequency","Trophic",105,12,185,"Increase","Complex change",78
"57","Climate change  generic ","Duration","Trophic",120,18,185,"Increase","Complex change",123
"58","Climate change  generic ","Speed","Trophic",110,15,185,"Increase","Complex change",85
"59","Climate change  generic ","Feedbacks","Trophic",206,19,185,"Complex change","Complex change",121
"60","Climate change  generic ","Mechanism","Trophic",170,15,185,"Complex change","Complex change",93
"61","Climate change  generic ","Quantity","Abundance",214,60,350,"Increase","Decrease",284
"62","Climate change  generic ","Direction","Abundance",224,33,350,"Complex change","Decrease",179
"63","Climate change  generic ","Location","Abundance",272,46,350,"Complex change","Decrease",224
"64","Climate change  generic ","Distance","Abundance",61,29,350,"Complex change","Decrease",137
"65","Climate change  generic ","Timing","Abundance",152,38,350,"Increase","Decrease",208
"66","Climate change  generic ","Frequency","Abundance",105,27,350,"Increase","Decrease",132
"67","Climate change  generic ","Duration","Abundance",120,32,350,"Increase","Decrease",170
"68","Climate change  generic ","Speed","Abundance",110,23,350,"Increase","Decrease",111
"69","Climate change  generic ","Feedbacks","Abundance",206,33,350,"Complex change","Decrease",170
"70","Climate change  generic ","Mechanism","Abundance",170,25,350,"Complex change","Decrease",112
"71","Climate change  generic ","Quantity","Connectivity",214,22,192,"Increase","Decrease",128
"72","Climate change  generic ","Direction","Connectivity",224,20,192,"Complex change","Decrease",113
"73","Climate change  generic ","Location","Connectivity",272,21,192,"Complex change","Decrease",115
"74","Climate change  generic ","Distance","Connectivity",61,19,192,"Complex change","Decrease",103
"75","Climate change  generic ","Timing","Connectivity",152,19,192,"Increase","Decrease",123
"76","Climate change  generic ","Frequency","Connectivity",105,16,192,"Increase","Decrease",93
"77","Climate change  generic ","Duration","Connectivity",120,19,192,"Increase","Decrease",116
"78","Climate change  generic ","Speed","Connectivity",110,18,192,"Increase","Decrease",93
"79","Climate change  generic ","Feedbacks","Connectivity",206,19,192,"Complex change","Decrease",118
"80","Climate change  generic ","Mechanism","Connectivity",170,19,192,"Complex change","Decrease",97
"81","Climate change  generic ","Quantity","Loss",214,28,180,"Increase","Increase",157
