"","Impact","Driver","ImpactDirection","count"
"1","X2.12.Impact..Abundance","driver.Climate.change..generic.","Increase",31
"2","X2.12.Impact..Abundance","driver.Climate.change..generic.","Decrease",51
"3","X2.12.Impact..Abundance","driver.Climate.change..generic.","Complex",54
"4","X2.12.Impact..Richness","driver.Climate.change..generic.","Increase",12
"5","X2.12.Impact..Richness","driver.Climate.change..generic.","Decrease",16
"6","X2.12.Impact..Richness","driver.Climate.change..generic.","Complex",36
"7","X2.12.Impact..Richness","driver.Climate.change..generic.","NoChange",2
"8","X2.12.Impact..Loss","driver.Climate.change..generic.","Increase",26
"9","X2.12.Impact..Loss","driver.Climate.change..generic.","Decrease",7
"10","X2.12.Impact..Loss","driver.Climate.change..generic.","Complex",17
"11","X2.12.Impact..Loss","driver.Climate.change..generic.","NoChange",5
"12","X2.12.Impact..Disease","driver.Climate.change..generic.","Increase",61
"13","X2.12.Impact..Disease","driver.Climate.change..generic.","Complex",12
"14","X2.12.Impact..Disease","driver.Climate.change..generic.","NoChange",4
"15","X2.12.Impact..Invasion","driver.Climate.change..generic.","Increase",53
"16","X2.12.Impact..Invasion","driver.Climate.change..generic.","Complex",7
"17","X2.12.Impact..Invasion","driver.Climate.change..generic.","NoChange",2
"18","X2.12.Impact..Composition","driver.Climate.change..generic.","Increase",22
"19","X2.12.Impact..Composition","driver.Climate.change..generic.","Decrease",2
"20","X2.12.Impact..Composition","driver.Climate.change..generic.","Complex",77
"21","X2.12.Impact..Composition","driver.Climate.change..generic.","NoChange",3
"22","X2.12.Impact..Genetics","driver.Climate.change..generic.","Increase",2
"23","X2.12.Impact..Genetics","driver.Climate.change..generic.","Decrease",8
"24","X2.12.Impact..Genetics","driver.Climate.change..generic.","Complex",17
"25","X2.12.Impact..Genetics","driver.Climate.change..generic.","NoChange",5
"26","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Increase",25
"27","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Decrease",5
"28","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Complex",2
"29","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","NoChange",2
"30","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Increase",7
"31","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Decrease",4
"32","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Complex",5
"33","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","NoChange",2
"34","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Increase",13
"35","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Decrease",1
"36","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Complex",1
"37","X2.12.Impact..Urbanization","driver.Climate.change..generic.","NoChange",3
"38","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Increase",9
"39","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Decrease",17
"40","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Complex",10
"41","X2.12.Impact..Connectivity","driver.Climate.change..generic.","NoChange",2
"42","X2.12.Impact..Trophic","driver.Climate.change..generic.","Increase",15
"43","X2.12.Impact..Trophic","driver.Climate.change..generic.","Decrease",3
"44","X2.12.Impact..Trophic","driver.Climate.change..generic.","Complex",41
"45","X2.12.Impact..Trophic","driver.Climate.change..generic.","NoChange",7
"46","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Increase",5
"47","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Decrease",3
"48","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Complex",8
"49","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","NoChange",3
"50","X2.12.Impact..Management","driver.Climate.change..generic.","Increase",13
"51","X2.12.Impact..Management","driver.Climate.change..generic.","Decrease",1
"52","X2.12.Impact..Management","driver.Climate.change..generic.","Complex",24
"53","X2.12.Impact..Management","driver.Climate.change..generic.","NoChange",5
"54","X2.12.Impact..Other","driver.Climate.change..generic.","Increase",18
"55","X2.12.Impact..Other","driver.Climate.change..generic.","Decrease",6
"56","X2.12.Impact..Other","driver.Climate.change..generic.","Complex",7
"57","X2.12.Impact..Other","driver.Climate.change..generic.","NoChange",4
"58","X2.12.Impact..Abundance","driver.Drought","Increase",31
"59","X2.12.Impact..Abundance","driver.Drought","Decrease",51
"60","X2.12.Impact..Abundance","driver.Drought","Complex",54
"61","X2.12.Impact..Richness","driver.Drought","Increase",12
"62","X2.12.Impact..Richness","driver.Drought","Decrease",16
"63","X2.12.Impact..Richness","driver.Drought","Complex",36
"64","X2.12.Impact..Richness","driver.Drought","NoChange",2
"65","X2.12.Impact..Loss","driver.Drought","Increase",26
"66","X2.12.Impact..Loss","driver.Drought","Decrease",7
"67","X2.12.Impact..Loss","driver.Drought","Complex",17
