"","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","impact","direction"
"1",3,"Human movement","displacement","10.1007/s10113-024-02212-9","Abundance","Decrease"
"2",6,"Biotic","biome-shift","10.1002/ppp3.10500","Abundance","Decrease"
"3",8,"Physical","sea ice retreat","10.1139/Z11-021","Abundance","Decrease"
"4",10,"Biotic","migration","10.1016/j.rama.2023.07.002","Abundance","Decrease"
"5",11,"Biotic","migration","doi: 10.3354/cr01238","Abundance","Complex change"
"6",12,"Biotic","range-shift","10.1016/S0065-2504(04)35010-5","Abundance","Complex change"
"7",14,"Biotic","migration","10.1525/cond.2009.080096","Abundance","Complex change"
"8",20,"Biotic","migration","10.1650/CONDOR-17-20.1","Abundance","Decrease"
"9",22,"Biotic","biome-shift","10.1111/gcb.16770","Abundance","Complex change"
"10",23,"Physical","glacial melt","10.1002/hyp.7162","Abundance","Increase"
"11",24,"Biotic","migration","10.1890/09-0395.1","Abundance","Complex change"
"12",25,"Biotic","migration","10.1016/j.envint.2018.06.018","Abundance","Complex change"
"13",25,"Biotic","disease spread","10.1016/j.envint.2018.06.018","Abundance","Complex change"
"14",25,"Biotic","range-shift","10.1016/j.envint.2018.06.018","Abundance","Complex change"
"15",31,"Physical","snow melt runoff","https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367","Abundance","Decrease"
"16",33,"Biotic","range-shift","10.1007/s00300-023-03133-9","Abundance","Complex change"
"17",42,"Biotic","range-shift","10.1038/s41579-023-00900-7","Abundance","Increase"
"18",43,"Biotic","range-shift","10.2737/NRS-GTR-99","Abundance","Complex change"
"19",44,"Biotic","range-shift","http://dx.doi.org/10.1007/s11295-024-01645-x	","Abundance","Increase"
"20",46,"Sociocultural","governance","10.5751/ES-08879-220131","Abundance","Decrease"
"21",52,"Biotic","range-shift","10.1111/jbi.13465","Abundance","Complex change"
"22",53,"Biotic","range-shift","https://doi.org/10.1177/194008291600900111","Abundance","Decrease"
"23",54,"Biotic","range-shift","http://dx.doi.org/10.14745/ccdr.v45i04a04","Abundance","Increase"
"24",54,"Biotic","disease spread","http://dx.doi.org/10.14745/ccdr.v45i04a04","Abundance","Increase"
"25",55,"Biotic","migration","http://dx.doi.org/10.1093/aesa/saad038","Abundance","Complex change"
"26",55,"Biotic","disease spread","http://dx.doi.org/10.1093/aesa/saad038","Abundance","Complex change"
"27",55,"Biotic","range-shift","http://dx.doi.org/10.1093/aesa/saad038","Abundance","Complex change"
"28",56,"Biotic","disease spread","10.1016/j.foreco.2018.02.049	","Abundance","Increase"
"29",56,"Biotic","range-shift","10.1016/j.foreco.2018.02.049	","Abundance","Increase"
"30",57,"Biotic","migration","https://doi.org/10.1080/23308249.2024.2341023","Abundance","Decrease"
"31",58,"Biotic","range-shift","dx.doi.org/10.1139/cjz-2019-0207","Abundance","Complex change"
"32",60,"Biotic","range-shift","10.1002/ecs2.4376	","Abundance","Increase"
"33",60,"Biotic","disease spread","10.1002/ecs2.4376	","Abundance","Increase"
"34",60,"Biotic","range-shift","10.1002/ecs2.4376	","Abundance","Increase"
"35",61,"Biotic","disease spread","http://dx.doi.org/10.3390/ijerph19020893","Abundance","Increase"
"36",61,"Biotic","range-shift","http://dx.doi.org/10.3390/ijerph19020893","Abundance","Increase"
"37",65,"Biotic","disease spread","http://dx.doi.org/10.3390/pathogens9070589	","Abundance","Increase"
"38",65,"Biotic","range-shift","http://dx.doi.org/10.3390/pathogens9070589	","Abundance","Increase"
"39",68,"Physical","surface water quantity","10.1139/er-2022-0114	","Abundance","Increase"
"40",70,"Biotic","disease spread","10.5424/fs/2012212-02230	","Abundance","Complex change"
"41",70,"Biotic","range-shift","10.5424/fs/2012212-02230	","Abundance","Complex change"
"42",71,"Biotic","disease spread","http://dx.doi.org/10.24321/0019.5138.202021	","Abundance","Complex change"
"43",71,"Biotic","range-shift","http://dx.doi.org/10.24321/0019.5138.202021	","Abundance","Complex change"
"44",72,"Biotic","range-shift","https://doi.org/10.1111/j.1523-1739.2008.00950.x","Abundance","Increase"
"45",77,"Biotic","disease spread","10.1641/B581007	","Abundance","Complex change"
"46",77,"Biotic","range-shift","10.1641/B581007	","Abundance","Complex change"
"47",79,"Biotic","disease spread","10.1111/j.1439-0329.2010.00656.x","Abundance","Complex change"
"48",79,"Biotic","range-shift","10.1111/j.1439-0329.2010.00656.x","Abundance","Complex change"
"49",80,"Biotic","range-shift","10.1111/j.1466-8238.2009.00519.x	","Abundance","Complex change"
"50",84,"Biotic","range-shift","10.3133/ofr20201125","Abundance","Decrease"
"51",85,"Biotic","migration","10.3389/fevo.2019.00099","Abundance","Decrease"
"52",87,"Physical","wildfire","https://doi.org/10.1002/ece3.8026","Abundance","Decrease"
"53",88,"Biotic","range-shift","https://doi.org/10.1111/eva.13223","Abundance","Decrease"
"54",88,"Biotic","gene flow","https://doi.org/10.1111/eva.13223","Abundance","Decrease"
"55",90,"Biotic","range-shift","https://doi.org/10.1111/mam.12284","Abundance","Decrease"
"56",91,"Sociocultural","governance","Anderson, K.; 2022; Food Policy","Abundance","Complex change"
"57",100,"Biotic","disease spread","10.1089/vbz.2023.0152	","Abundance","Increase"
"58",100,"Biotic","range-shift","10.1089/vbz.2023.0152	","Abundance","Increase"
"59",102,"Physical","surface water quantity","https://doi.org/10.1016/j.jhydrol.2019.124360","Abundance","Complex change"
"60",103,"Biotic","range-shift","DOI: 10.1111/fwb.13570","Abundance","Complex change"
"61",105,"Physical","wind","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian","Abundance","Decrease"
"62",108,"Physical","wildfire","https://doi.org/10.1177/1178622120950272","Abundance","Complex change"
"63",115,"Physical","surface water quantity","10.1002/wcc.588","Abundance","Decrease"
"64",117,"Biotic","range-shift","10.5751/ES-11988-250443","Abundance","Complex change"
"65",119,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54139","Abundance","Decrease"
"66",127,"Biotic","range-shift","10.1016/j.scitotenv.2021.145788","Abundance","Decrease"
"67",129,"Biotic","disease spread","https://doi.org/10.3390/pathogens12070937","Abundance","Decrease"
"68",129,"Biotic","range-shift","https://doi.org/10.3390/pathogens12070937","Abundance","Decrease"
"69",132,"Biotic","disease spread","https://research.fs.usda.gov/treesearch/54577","Abundance","Decrease"
"70",132,"Biotic","range-shift","https://research.fs.usda.gov/treesearch/54577","Abundance","Decrease"
"71",133,"Biotic","range-shift","10.1579/0044-7447(2006)35[381:AOOEOC]2.0.CO;2","Abundance","Complex change"
"72",136,"Physical","surface water quantity","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Abundance","Complex change"
"73",138,"Biotic","range-shift","https://doi.org/10.1007/s10530-020-02244-2","Abundance","Complex change"
"74",141,"Biotic","range-shift","10.1111/gcb.14957","Abundance","Decrease"
"75",143,"Biotic","disease spread","10.1186/s13071-023-05887-x	","Abundance","Increase"
"76",143,"Biotic","range-shift","10.1186/s13071-023-05887-x	","Abundance","Increase"
"77",150,"Biotic","migration","10.1017/S0959270908000439","Abundance","Decrease"
"78",151,"Biotic","migration","10.3390/insects15010040","Abundance","Decrease"
"79",152,"Biotic","migration","10.1111/faf.12536","Abundance","Complex change"
"80",153,"Biotic","disease spread","https://doi.org/10.1016/j.foreco.2018.03.011","Abundance","Decrease"
"81",153,"Biotic","range-shift","https://doi.org/10.1016/j.foreco.2018.03.011","Abundance","Decrease"
"82",154,"Biotic","migration","10.3390/f8040115","Abundance","Complex change"
"83",155,"Biotic","range-shift","10.1111/fwb.13873","Abundance","Increase"
"84",161,"Biotic","range-shift","10.3390/tropicalmed7110388","Abundance","Increase"
"85",163,"Biotic","range-shift","https://doi.org/10.1139/X08-171","Abundance","Decrease"
"86",165,"Biotic","range-shift","https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2011.300520","Abundance","Decrease"
"87",167,"Biotic","range-shift","10.1146/annurev-ecolsys-102710-145015","Abundance","Decrease"
"88",168,"Physical","sea ice retreat","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Abundance","Complex change"
"89",169,"Biotic","range-shift","10.1007/978-1-4419-8692-4_4","Abundance","Decrease"
