"","c..Hunter.and.Simon..2022....Grayson.and.Johnson..2017..Journal.of.Animal.Ecology..."
"1","Hunter and Simon, 2022"
"2","Grayson and Johnson, 2017, Journal of Animal Ecology"
"3","Chi et al., 2024"
"4","Hori & Syugyo et al., (2020) International Environmental Agreements"
"5","Jordan & Huitema et al., (2014) Global Environmental Change"
"6","Mucioki, 2024"
"7","Sabater, 2023, Biological Reviews"
"8","Peacock, 2011, Canadian Journal of Zoology"
"9","Laamrani et al., 2020, Forests"
"10","Bernath-Plaisted et al., 2023, Rangeland Ecology & Management"
"11","Bitterlin & Van Buskirk, 2014, Climate Research"
"12","Böhning-Gaese & Lemoine, 2004, Advances in Ecological Research"
"13","Bowers & Kajuira, 2023, Environ Biol Fish"
"14","Carlisle et al., 2009, The Condor"
"15","Wrathall, 2018, Food and Agriculture Organization of the United Nations"
"16","McMichael, 2012, Environ Health Perspect"
"17","Piguet, 2010, WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE"
"18","Hunter et al., 2021, Population and Environment"
"19","Shanley, C. S., 2015, Climatic Change"
"20","Cohen et al., 2017, The Condor"
"21","Dahms & Killen, 2023, Global Change Biology"
"22","Moore, R.D.; 2009; Hydrological Processes"
"23","Faaborg et al., 2010, Ecological Monographs"
"24","Morin et al., 2018, Environment International"
"25","(Mitchell et.al., 2019, Genealogy)"
"26","Martin, 2010, The German Marshall Fund of the United States"
"27","Gawor, L.; Dolnicki, P., 2018, PRACE KOMISJI GEOGRAFII PRZEMYSLU POLSKIEGO TOWARZYSTWA GEOGRAFICZNEGO-STUDIES OF THE INDUSTRIAL GEOGRAPHY COMMISSION OF THE POLISH GEOGRAPHICAL SOCIETY"
"28","Weber, 1997, Environmental Reviews"
"29","Malpeli et al., 2020, Environmental Evidence"
"30","Mu et al., 2011, Hydrological Processes"
"31","A systematic review of the trophic ecology of eight ecologically and culturally important fish species in the North American Arctic; 2023; Polar Biology"
"32","Flannigan, 2000 , Science of the Total Environment"
"33","Santos, 2024, Annals of the Entomological Society of America"
"34","Kehl, 2018, Journal of Water Resource and Protection"
"35","Fischer et al., 2013, Biodiversity and Conservation"
"36","Oslan, 2022, Global Change Biology"
"37","Koubrak, O.; VanderZwaag, D. L.; 2020; Ecology and Society"
"38","Singh, 2023, Nature Review Microbiology"
"39","Rustad,2009, Changing climate, changing forests	"
"40","Tischekno et al., 2024, Tree Genetics and Genomes"
"41","Esteve-Gassent, ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY, 2016"
"42","Gunderson et al., 2017, Ecology and Society"
"43","D' Odorico et al., 2011, Ecohydrology"
"44","Craig, 2020, WIREs Water"
"45","Davis et. al., 2021, Canadian Science Publishing"
"46","Rossi, 2014, Agricultural Water Management"
"47","Mamet et al. 2018, Journal of Biogeography"
"48","Taylor and Kumar, 2016, Tropical Conservation Science"
"49","Ng, V.; Rees, E. E.; Lindsay, L. R.; Drebot, M. A.; Brownstone, T.; Sadeghieh, T.; Khan, S. U., 2019,  Canada Communicable Disease Report"
"50","Costanza, K. K. L.; Whitney, T. D.; McIntir, C. D.; Livingston, W. H.; Gandhi, K. J. K., 2018, Forest Ecology and Management"
"51","Dempson et al., 2024, Reviews in Fisheries Science & Aquaculture"
"52","Lefort et al., 2020, Canadian Journal of Zoology"
"53","Ogden and Gachon, 2019, Canada Communicable Disease Report"
"54","Chenery et al., 2022, Ecosphere"
