"","Impact","Driver","ImpactDirection","count"
"1","X2.12.Impact..Abundance","driver.Climate.change..generic.","Increase",27
"2","X2.12.Impact..Abundance","driver.Climate.change..generic.","Decrease",48
"3","X2.12.Impact..Abundance","driver.Climate.change..generic.","Complex",45
"4","X2.12.Impact..Richness","driver.Climate.change..generic.","Increase",7
"5","X2.12.Impact..Richness","driver.Climate.change..generic.","Decrease",12
"6","X2.12.Impact..Richness","driver.Climate.change..generic.","Complex",33
"7","X2.12.Impact..Richness","driver.Climate.change..generic.","NoChange",2
"8","X2.12.Impact..Loss","driver.Climate.change..generic.","Increase",22
"9","X2.12.Impact..Loss","driver.Climate.change..generic.","Decrease",6
"10","X2.12.Impact..Loss","driver.Climate.change..generic.","Complex",16
"11","X2.12.Impact..Loss","driver.Climate.change..generic.","NoChange",5
"12","X2.12.Impact..Disease","driver.Climate.change..generic.","Increase",60
"13","X2.12.Impact..Disease","driver.Climate.change..generic.","Complex",7
"14","X2.12.Impact..Disease","driver.Climate.change..generic.","NoChange",4
"15","X2.12.Impact..Invasion","driver.Climate.change..generic.","Increase",45
"16","X2.12.Impact..Invasion","driver.Climate.change..generic.","Complex",7
"17","X2.12.Impact..Invasion","driver.Climate.change..generic.","NoChange",2
"18","X2.12.Impact..Composition","driver.Climate.change..generic.","Increase",19
"19","X2.12.Impact..Composition","driver.Climate.change..generic.","Decrease",2
"20","X2.12.Impact..Composition","driver.Climate.change..generic.","Complex",66
"21","X2.12.Impact..Composition","driver.Climate.change..generic.","NoChange",3
"22","X2.12.Impact..Genetics","driver.Climate.change..generic.","Increase",2
"23","X2.12.Impact..Genetics","driver.Climate.change..generic.","Decrease",8
"24","X2.12.Impact..Genetics","driver.Climate.change..generic.","Complex",14
"25","X2.12.Impact..Genetics","driver.Climate.change..generic.","NoChange",5
"26","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Increase",20
"27","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Decrease",5
"28","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","Complex",2
"29","X2.12.Impact..Land.Use.Loss","driver.Climate.change..generic.","NoChange",2
"30","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Increase",6
"31","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Decrease",4
"32","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","Complex",5
"33","X2.12.Impact..Land.Use.Restore","driver.Climate.change..generic.","NoChange",2
"34","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Increase",8
"35","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Decrease",1
"36","X2.12.Impact..Urbanization","driver.Climate.change..generic.","Complex",1
"37","X2.12.Impact..Urbanization","driver.Climate.change..generic.","NoChange",3
"38","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Increase",5
"39","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Decrease",17
"40","X2.12.Impact..Connectivity","driver.Climate.change..generic.","Complex",10
"41","X2.12.Impact..Connectivity","driver.Climate.change..generic.","NoChange",2
"42","X2.12.Impact..Trophic","driver.Climate.change..generic.","Increase",14
"43","X2.12.Impact..Trophic","driver.Climate.change..generic.","Decrease",2
"44","X2.12.Impact..Trophic","driver.Climate.change..generic.","Complex",32
"45","X2.12.Impact..Trophic","driver.Climate.change..generic.","NoChange",6
"46","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Increase",4
"47","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Decrease",3
"48","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","Complex",3
"49","X2.12.Impact..Indigenous.Knowledge","driver.Climate.change..generic.","NoChange",3
"50","X2.12.Impact..Management","driver.Climate.change..generic.","Increase",12
"51","X2.12.Impact..Management","driver.Climate.change..generic.","Decrease",1
"52","X2.12.Impact..Management","driver.Climate.change..generic.","Complex",18
"53","X2.12.Impact..Management","driver.Climate.change..generic.","NoChange",4
"54","X2.12.Impact..Other","driver.Climate.change..generic.","Increase",14
"55","X2.12.Impact..Other","driver.Climate.change..generic.","Decrease",6
"56","X2.12.Impact..Other","driver.Climate.change..generic.","Complex",6
"57","X2.12.Impact..Other","driver.Climate.change..generic.","NoChange",3
"58","X2.12.Impact..Abundance","driver.Drought","Increase",27
"59","X2.12.Impact..Abundance","driver.Drought","Decrease",48
"60","X2.12.Impact..Abundance","driver.Drought","Complex",45
"61","X2.12.Impact..Richness","driver.Drought","Increase",7
"62","X2.12.Impact..Richness","driver.Drought","Decrease",12
"63","X2.12.Impact..Richness","driver.Drought","Complex",33
