"","Flow","Impact","ImpactDirection","count"
"1","X2.7.Altered.Flow..Quantity","X2.12.Impact..Abundance","Increase",27
"2","X2.7.Altered.Flow..Quantity","X2.12.Impact..Abundance","Decrease",37
"3","X2.7.Altered.Flow..Quantity","X2.12.Impact..Abundance","Complex",43
"4","X2.7.Altered.Flow..Direction","X2.12.Impact..Abundance","Increase",9
"5","X2.7.Altered.Flow..Direction","X2.12.Impact..Abundance","Decrease",18
"6","X2.7.Altered.Flow..Direction","X2.12.Impact..Abundance","Complex",25
"7","X2.7.Altered.Flow..Location","X2.12.Impact..Abundance","Increase",17
"8","X2.7.Altered.Flow..Location","X2.12.Impact..Abundance","Decrease",34
"9","X2.7.Altered.Flow..Location","X2.12.Impact..Abundance","Complex",34
"10","X2.7.Altered.Flow..Distance","X2.12.Impact..Abundance","Increase",9
"11","X2.7.Altered.Flow..Distance","X2.12.Impact..Abundance","Decrease",17
"12","X2.7.Altered.Flow..Distance","X2.12.Impact..Abundance","Complex",15
"13","X2.7.Altered.Flow..Timing","X2.12.Impact..Abundance","Increase",17
"14","X2.7.Altered.Flow..Timing","X2.12.Impact..Abundance","Decrease",23
"15","X2.7.Altered.Flow..Timing","X2.12.Impact..Abundance","Complex",29
"16","X2.7.Altered.Flow..Frequency","X2.12.Impact..Abundance","Increase",14
"17","X2.7.Altered.Flow..Frequency","X2.12.Impact..Abundance","Decrease",14
"18","X2.7.Altered.Flow..Frequency","X2.12.Impact..Abundance","Complex",25
"19","X2.7.Altered.Flow..Duration","X2.12.Impact..Abundance","Increase",17
"20","X2.7.Altered.Flow..Duration","X2.12.Impact..Abundance","Decrease",20
"21","X2.7.Altered.Flow..Duration","X2.12.Impact..Abundance","Complex",22
"22","X2.7.Altered.Flow..Speed","X2.12.Impact..Abundance","Increase",6
"23","X2.7.Altered.Flow..Speed","X2.12.Impact..Abundance","Decrease",12
"24","X2.7.Altered.Flow..Speed","X2.12.Impact..Abundance","Complex",14
"25","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Abundance","Increase",11
"26","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Abundance","Decrease",20
"27","X2.7.Altered.Flow..Feedbacks","X2.12.Impact..Abundance","Complex",25
"28","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Abundance","Increase",5
"29","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Abundance","Decrease",15
"30","X2.7.Altered.Flow..Mechanism","X2.12.Impact..Abundance","Complex",17
"31","X2.7.Altered.Flow..Other","X2.12.Impact..Abundance","Increase",1
"32","X2.7.Altered.Flow..Other","X2.12.Impact..Abundance","Decrease",2
